month_start,channel,subscribing_sessions
2024-05-01,Direct,509
2024-05-01,Email,31
2024-05-01,Organic Search,579
2024-05-01,Other,52
2024-05-01,Paid Search,855
2024-05-01,Paid Social,3
2024-05-01,Referral,41
2024-06-01,Direct,524
2024-06-01,Email,45
2024-06-01,Organic Search,511
2024-06-01,Other,48
2024-06-01,Paid Search,571
2024-06-01,Paid Social,1
2024-06-01,Referral,34
2024-07-01,Direct,445
2024-07-01,Email,27
2024-07-01,Organic Search,651
2024-07-01,Other,45
2024-07-01,Paid Search,428
2024-07-01,Paid Social,3
2024-07-01,Referral,31
2024-08-01,Direct,372
2024-08-01,Email,31
2024-08-01,Organic Search,722
2024-08-01,Other,46
2024-08-01,Paid Search,396
2024-08-01,Paid Social,3
2024-08-01,Referral,36
2024-09-01,Direct,400
2024-09-01,Email,29
2024-09-01,Organic Search,727
2024-09-01,Other,50
2024-09-01,Paid Search,445
2024-09-01,Paid Social,1
2024-09-01,Referral,44
2024-10-01,Direct,278
2024-10-01,Email,28
2024-10-01,Organic Search,789
2024-10-01,Other,67
2024-10-01,Paid Search,493
2024-10-01,Paid Social,0
2024-10-01,Referral,52
2024-11-01,Direct,250
2024-11-01,Email,66
2024-11-01,Organic Search,800
2024-11-01,Other,52
2024-11-01,Paid Search,442
2024-11-01,Paid Social,0
2024-11-01,Referral,46
2024-12-01,Direct,235
2024-12-01,Email,44
2024-12-01,Organic Search,645
2024-12-01,Other,34
2024-12-01,Paid Search,352
2024-12-01,Paid Social,4
2024-12-01,Referral,37
2025-01-01,Direct,273
2025-01-01,Email,34
2025-01-01,Organic Search,655
2025-01-01,Other,36
2025-01-01,Paid Search,340
2025-01-01,Paid Social,0
2025-01-01,Referral,51
2025-02-01,Direct,193
2025-02-01,Email,22
2025-02-01,Organic Search,592
2025-02-01,Other,41
2025-02-01,Paid Search,303
2025-02-01,Paid Social,1
2025-02-01,Referral,32
2025-03-01,Direct,232
2025-03-01,Email,25
2025-03-01,Organic Search,664
2025-03-01,Other,37
2025-03-01,Paid Search,314
2025-03-01,Paid Social,2
2025-03-01,Referral,50
2025-04-01,Direct,212
2025-04-01,Email,17
2025-04-01,Organic Search,718
2025-04-01,Other,27
2025-04-01,Paid Search,361
2025-04-01,Paid Social,2
2025-04-01,Referral,60
2025-05-01,Direct,219
2025-05-01,Email,18
2025-05-01,Organic Search,675
2025-05-01,Other,22
2025-05-01,Paid Search,278
2025-05-01,Paid Social,2
2025-05-01,Referral,55
2025-06-01,Direct,166
2025-06-01,Email,17
2025-06-01,Organic Search,562
2025-06-01,Other,30
2025-06-01,Paid Search,225
2025-06-01,Paid Social,0
2025-06-01,Referral,52
2025-07-01,Direct,178
2025-07-01,Email,23
2025-07-01,Organic Search,514
2025-07-01,Other,19
2025-07-01,Paid Search,235
2025-07-01,Paid Social,1
2025-07-01,Referral,46
2025-08-01,Direct,147
2025-08-01,Email,22
2025-08-01,Organic Search,493
2025-08-01,Other,24
2025-08-01,Paid Search,211
2025-08-01,Paid Social,1
2025-08-01,Referral,46
2025-09-01,Direct,124
2025-09-01,Email,20
2025-09-01,Organic Search,542
2025-09-01,Other,13
2025-09-01,Paid Search,249
2025-09-01,Paid Social,1
2025-09-01,Referral,37
2025-10-01,Direct,198
2025-10-01,Email,18
2025-10-01,Organic Search,449
2025-10-01,Other,9
2025-10-01,Paid Search,182
2025-10-01,Paid Social,1
2025-10-01,Referral,43
2025-11-01,Direct,132
2025-11-01,Email,20
2025-11-01,Organic Search,375
2025-11-01,Other,12
2025-11-01,Paid Search,186
2025-11-01,Paid Social,0
2025-11-01,Referral,35
2025-12-01,Direct,102
2025-12-01,Email,15
2025-12-01,Organic Search,324
2025-12-01,Other,11
2025-12-01,Paid Search,171
2025-12-01,Paid Social,0
2025-12-01,Referral,36
2026-01-01,Direct,76
2026-01-01,Email,7
2026-01-01,Organic Search,251
2026-01-01,Other,6
2026-01-01,Paid Search,129
2026-01-01,Paid Social,0
2026-01-01,Referral,29
2026-02-01,Direct,78
2026-02-01,Email,12
2026-02-01,Organic Search,233
2026-02-01,Other,9
2026-02-01,Paid Search,149
2026-02-01,Paid Social,0
2026-02-01,Referral,21
2026-03-01,Direct,90
2026-03-01,Email,16
2026-03-01,Organic Search,285
2026-03-01,Other,8
2026-03-01,Paid Search,166
2026-03-01,Paid Social,1
2026-03-01,Referral,19
2026-04-01,Direct,92
2026-04-01,Email,15
2026-04-01,Organic Search,274
2026-04-01,Other,4
2026-04-01,Paid Search,141
2026-04-01,Paid Social,0
2026-04-01,Referral,13
