window,plan_tier,subs
Y1 (May 2024 - Apr 2025),personal,11904
Y1 (May 2024 - Apr 2025),pro,6121
Y1 (May 2024 - Apr 2025),enterprise,216
Y1 (May 2024 - Apr 2025),other,44
Y1 (May 2024 - Apr 2025),pro-plus,307
Y1 (May 2024 - Apr 2025),twitch-pro,337
Y1 (May 2024 - Apr 2025),business,1
Y2 (May 2025 - Apr 2026),personal,3963
Y2 (May 2025 - Apr 2026),pro,5403
Y2 (May 2025 - Apr 2026),enterprise,333
Y2 (May 2025 - Apr 2026),other,26
Y2 (May 2025 - Apr 2026),pro-plus,197
Y2 (May 2025 - Apr 2026),twitch-pro,26
Y2 (May 2025 - Apr 2026),business,1
