month_start,pricing_submissions,enterprise_submissions,demo_submissions
2024-05-01,103.0,10.0,0
2024-06-01,98.0,9.0,0
2024-07-01,148.0,15.0,0
2024-08-01,119.0,23.0,0
2024-09-01,103.0,39.0,13.0
2024-10-01,112.0,32.0,17.0
2024-11-01,66.0,35.0,13.0
2024-12-01,48.0,28.0,9.0
2025-01-01,63.0,37.0,5.0
2025-02-01,61.0,31.0,6.0
2025-03-01,64.0,36.0,7.0
2025-04-01,50.0,43.0,11.0
2025-05-01,141.0,24.0,13.0
2025-06-01,206.0,26.0,25.0
2025-07-01,177.0,29.0,12.0
2025-08-01,184.0,22.0,18.0
2025-09-01,199.0,17.0,14.0
2025-10-01,162.0,17.0,24.0
2025-11-01,144.0,19.0,17.0
2025-12-01,110.0,21.0,14.0
2026-01-01,100.0,12.0,15.0
2026-02-01,130.0,11.0,16.0
2026-03-01,105.0,11.0,1.0
2026-04-01,83.0,5.0,0
