month_start,expansion_rate_30d,chargebee_total_change_events,chargebee_distinct_plan_changes
2024-04-01,,309,137
2024-05-01,0.013719,400,157
2024-06-01,0.011047,278,104
2024-07-01,0.017327,271,119
2024-08-01,0.013316,246,107
2024-09-01,0.017710,277,145
2024-10-01,0.023608,258,123
2024-11-01,0.024015,274,187
2024-12-01,0.015730,241,123
2025-01-01,0.019868,240,113
2025-02-01,0.013010,201,99
2025-03-01,0.017747,208,107
2025-04-01,0.020319,210,97
2025-05-01,0.021600,189,99
2025-06-01,0.012464,148,68
2025-07-01,0.010924,159,76
2025-08-01,0.016043,147,67
2025-09-01,0.010246,165,75
2025-10-01,0.014706,130,63
2025-11-01,0.024624,220,90
2025-12-01,0.020537,245,76
2026-01-01,0.018672,184,75
2026-02-01,0.006085,141,36
2026-03-01,0.005272,89,32
2026-04-01,0.007547,81,30
