cohort_month,raw_rate_30_60,lagged_clean_rate_30_60
2024-05-01,0.508089,0.5081
2024-06-01,0.529664,0.5297
2024-07-01,0.551938,0.5519
2024-08-01,0.542320,0.5423
2024-09-01,0.527149,0.5271
2024-10-01,0.541449,0.5414
2024-11-01,0.489219,0.4892
2024-12-01,0.528440,0.5284
2025-01-01,0.485060,0.4851
2025-02-01,0.500000,0.5
2025-03-01,0.522472,0.5225
2025-04-01,0.530372,0.5304
2025-05-01,0.506559,0.5066
2025-06-01,0.549279,0.5493
2025-07-01,0.555838,0.5558
2025-08-01,0.574760,0.5748
2025-09-01,0.546616,0.5466
2025-10-01,0.566334,0.5663
2025-11-01,0.526490,0.5265
2025-12-01,0.538462,0.5385
2026-01-01,0.544928,0.5449
2026-02-01,0.523121,0.5271
2026-03-01,0.341860,
2026-04-01,0.000000,
