month_start,total_change_events,distinct_subs_with_change,plan_type_changes_with_both_known,same_plan_changes,distinct_plan_changes
2024-04-01,309,301,309,172,137
2024-05-01,400,390,400,243,157
2024-06-01,278,275,278,174,104
2024-07-01,271,260,271,152,119
2024-08-01,246,239,246,139,107
2024-09-01,277,271,277,132,145
2024-10-01,258,252,258,135,123
2024-11-01,274,263,274,87,187
2024-12-01,241,235,241,118,123
2025-01-01,240,231,240,127,113
2025-02-01,201,195,201,102,99
2025-03-01,208,204,208,101,107
2025-04-01,210,209,210,113,97
2025-05-01,189,182,189,90,99
2025-06-01,148,145,148,80,68
2025-07-01,159,153,159,83,76
2025-08-01,147,142,147,80,67
2025-09-01,165,159,165,90,75
2025-10-01,130,127,130,67,63
2025-11-01,220,203,220,130,90
2025-12-01,245,215,245,169,76
2026-01-01,184,171,184,109,75
2026-02-01,141,127,141,105,36
2026-03-01,89,84,89,57,32
2026-04-01,81,72,81,51,30
