month_start,prior_plan,qualifying_subs,expansions_lookml_replication
2024-05-01,personal,1340,1340
2024-05-01,pro,673,670
2024-05-01,pro-plus,28,28
2024-06-01,personal,1128,1128
2024-06-01,pro,579,577
2024-06-01,pro-plus,13,13
2024-07-01,personal,1085,1085
2024-07-01,pro,518,518
2024-07-01,pro-plus,13,13
2024-08-01,personal,1031,1031
2024-08-01,pro,527,526
2024-08-01,pro-plus,19,19
2024-09-01,personal,1051,1051
2024-09-01,pro,508,508
2024-09-01,pro-plus,22,21
2024-10-01,personal,1116,1116
2024-10-01,pro,519,519
2024-10-01,pro-plus,17,17
2024-11-01,personal,1048,1048
2024-11-01,pro,556,554
2024-11-01,pro-plus,20,20
2024-12-01,personal,908,908
2024-12-01,pro,406,406
2024-12-01,pro-plus,21,21
2025-01-01,personal,930,930
2025-01-01,pro,419,419
2025-01-01,pro-plus,10,10
2025-02-01,personal,734,734
2025-02-01,pro,403,402
2025-02-01,pro-plus,16,16
2025-03-01,personal,844,844
2025-03-01,pro,434,434
2025-03-01,pro-plus,18,18
2025-04-01,personal,894,894
2025-04-01,pro,468,467
2025-04-01,pro-plus,16,16
2025-05-01,personal,652,652
2025-05-01,pro,590,590
2025-05-01,pro-plus,8,8
2025-06-01,personal,477,477
2025-06-01,pro,557,557
2025-06-01,pro-plus,9,9
2025-07-01,personal,445,445
2025-07-01,pro,554,553
2025-07-01,pro-plus,8,8
2025-08-01,personal,397,397
2025-08-01,pro,523,523
2025-08-01,pro-plus,15,15
2025-09-01,personal,418,418
2025-09-01,pro,550,549
2025-09-01,pro-plus,8,8
2025-10-01,personal,443,443
2025-10-01,pro,419,419
2025-10-01,pro-plus,22,22
2025-11-01,personal,260,260
2025-11-01,pro,447,445
2025-11-01,pro-plus,24,24
2025-12-01,personal,247,247
2025-12-01,pro,367,366
2025-12-01,pro-plus,19,19
2026-01-01,personal,162,162
2026-01-01,pro,304,304
2026-01-01,pro-plus,16,16
2026-02-01,personal,154,154
2026-02-01,pro,332,332
2026-02-01,pro-plus,7,7
2026-03-01,personal,194,194
2026-03-01,pro,359,358
2026-03-01,pro-plus,16,16
2026-04-01,personal,210,210
2026-04-01,pro,335,335
2026-04-01,pro-plus,15,15
