month_start,channel,sessions,subscribing_sessions,license_sessions,signed_up_visitors
2024-05-01,Direct,316743,509,58,15089
2024-05-01,Email,8037,31,3,19
2024-05-01,Organic Search,192376,579,40,2680
2024-05-01,Other,14533,52,5,212
2024-05-01,Paid Search,212268,855,53,8343
2024-05-01,Paid Social,2007,3,0,40
2024-05-01,Referral,65803,41,9,355
2024-06-01,Direct,254287,524,82,14804
2024-06-01,Email,6928,45,2,18
2024-06-01,Organic Search,168196,511,61,2348
2024-06-01,Other,12039,48,1,151
2024-06-01,Paid Search,155425,571,76,6382
2024-06-01,Paid Social,505,1,0,7
2024-06-01,Referral,31591,34,3,117
2024-07-01,Direct,196340,445,83,12503
2024-07-01,Email,7436,27,4,29
2024-07-01,Organic Search,184353,651,98,3557
2024-07-01,Other,12933,45,3,233
2024-07-01,Paid Search,129043,428,119,7157
2024-07-01,Paid Social,2137,3,0,16
2024-07-01,Referral,38289,31,5,193
2024-08-01,Direct,196543,372,48,7118
2024-08-01,Email,7972,31,5,24
2024-08-01,Organic Search,214367,722,107,7169
2024-08-01,Other,13830,46,3,334
2024-08-01,Paid Search,112311,396,101,8811
2024-08-01,Paid Social,531,3,0,15
2024-08-01,Referral,31164,36,7,356
2024-09-01,Direct,197727,400,66,7410
2024-09-01,Email,10794,29,9,27
2024-09-01,Organic Search,238438,727,125,8416
2024-09-01,Other,13915,50,2,299
2024-09-01,Paid Search,120317,445,90,10041
2024-09-01,Paid Social,703,1,0,12
2024-09-01,Referral,30604,44,7,396
2024-10-01,Direct,265814,278,49,5652
2024-10-01,Email,11131,28,0,30
2024-10-01,Organic Search,294347,789,180,11674
2024-10-01,Other,15143,67,1,444
2024-10-01,Paid Search,167441,493,115,12570
2024-10-01,Paid Social,10695,0,0,407
2024-10-01,Referral,49116,52,16,514
2024-11-01,Direct,258798,250,53,5217
2024-11-01,Email,13159,66,5,25
2024-11-01,Organic Search,275332,800,129,10488
2024-11-01,Other,17322,52,1,484
2024-11-01,Paid Search,154502,442,95,11698
2024-11-01,Paid Social,5610,0,0,223
2024-11-01,Referral,41477,46,9,596
2024-12-01,Direct,245102,235,55,4816
2024-12-01,Email,9726,44,1,24
2024-12-01,Organic Search,243656,645,112,8426
2024-12-01,Other,12598,34,0,351
2024-12-01,Paid Search,111641,352,107,11728
2024-12-01,Paid Social,2204,4,0,74
2024-12-01,Referral,34770,37,8,719
2025-01-01,Direct,238872,273,44,4956
2025-01-01,Email,7117,34,1,19
2025-01-01,Organic Search,248847,655,100,8322
2025-01-01,Other,13372,36,1,369
2025-01-01,Paid Search,89959,340,89,10243
2025-01-01,Paid Social,573,0,1,19
2025-01-01,Referral,35408,51,6,814
2025-02-01,Direct,225825,193,30,4746
2025-02-01,Email,7299,22,1,20
2025-02-01,Organic Search,256238,592,96,9260
2025-02-01,Other,12311,41,0,334
2025-02-01,Paid Search,95239,303,95,11003
2025-02-01,Paid Social,443,1,0,18
2025-02-01,Referral,32214,32,14,671
2025-03-01,Direct,275110,232,35,5143
2025-03-01,Email,9124,25,2,13
2025-03-01,Organic Search,280619,664,108,10798
2025-03-01,Other,11709,37,0,242
2025-03-01,Paid Search,87480,314,93,10429
2025-03-01,Paid Social,349,2,0,19
2025-03-01,Referral,42372,50,8,702
2025-04-01,Direct,263369,212,35,4656
2025-04-01,Email,9080,17,1,17
2025-04-01,Organic Search,253270,718,101,9224
2025-04-01,Other,10784,27,0,254
2025-04-01,Paid Search,76059,361,75,8943
2025-04-01,Paid Social,298,2,0,13
2025-04-01,Referral,36070,60,6,847
2025-05-01,Direct,160930,219,32,5082
2025-05-01,Email,8358,18,6,31
2025-05-01,Organic Search,261367,675,85,9719
2025-05-01,Other,10831,22,1,277
2025-05-01,Paid Search,66095,278,67,7210
2025-05-01,Paid Social,3292,2,1,20
2025-05-01,Referral,34453,55,10,1033
2025-06-01,Direct,128221,166,28,4066
2025-06-01,Email,9374,17,1,27
2025-06-01,Organic Search,216267,562,95,6739
2025-06-01,Other,9990,30,0,284
2025-06-01,Paid Search,46692,225,52,4183
2025-06-01,Paid Social,2696,0,0,16
2025-06-01,Referral,30593,52,5,930
2025-07-01,Direct,219038,178,23,3732
2025-07-01,Email,10437,23,1,19
2025-07-01,Organic Search,202446,514,76,5768
2025-07-01,Other,10250,19,0,286
2025-07-01,Paid Search,48636,235,34,3760
2025-07-01,Paid Social,1734,1,0,16
2025-07-01,Referral,30256,46,14,852
2025-08-01,Direct,217095,147,20,3146
2025-08-01,Email,10231,22,1,22
2025-08-01,Organic Search,204723,493,74,7011
2025-08-01,Other,7615,24,0,209
2025-08-01,Paid Search,40152,211,31,2919
2025-08-01,Paid Social,3460,1,0,34
2025-08-01,Referral,27070,46,5,786
2025-09-01,Direct,144000,124,32,3864
2025-09-01,Email,8816,20,3,23
2025-09-01,Organic Search,229060,542,74,10856
2025-09-01,Other,15579,13,2,219
2025-09-01,Paid Search,51032,249,37,4704
2025-09-01,Paid Social,2309,1,0,17
2025-09-01,Referral,28620,37,8,924
2025-10-01,Direct,173300,198,40,9209
2025-10-01,Email,9673,18,5,24
2025-10-01,Organic Search,240369,449,106,6622
2025-10-01,Other,9448,9,0,96
2025-10-01,Paid Search,54823,182,37,4258
2025-10-01,Paid Social,3291,1,0,4
2025-10-01,Referral,37264,43,16,1322
2025-11-01,Direct,212005,132,34,3714
2025-11-01,Email,9195,20,9,23
2025-11-01,Organic Search,210147,375,82,7521
