month_start,channel,sessions_total,sessions_botstripped,subscribing_sessions,license_sessions,bot_sessions_stripped
2024-05-01,Direct,316743,115152,509,58,201591
2024-05-01,Email,8037,5903,31,3,2134
2024-05-01,Organic Search,192373,132478,579,40,59895
2024-05-01,Other,14533,9679,52,5,4854
2024-05-01,Paid Search,212269,129012,855,53,83257
2024-05-01,Paid Social,2007,883,3,0,1124
2024-05-01,Referral,65803,36761,41,9,29042
2024-06-01,Direct,254288,107818,524,82,146470
2024-06-01,Email,6928,5224,45,2,1704
2024-06-01,Organic Search,168195,115384,511,61,52811
2024-06-01,Other,12037,8167,48,1,3870
2024-06-01,Paid Search,155425,97309,571,76,58116
2024-06-01,Paid Social,505,242,1,0,263
2024-06-01,Referral,31590,18433,34,3,13157
2024-07-01,Direct,196340,92558,445,83,103782
2024-07-01,Email,7436,5470,27,4,1966
2024-07-01,Organic Search,184357,127289,651,98,57068
2024-07-01,Other,12933,8391,45,3,4542
2024-07-01,Paid Search,129043,82567,428,119,46476
2024-07-01,Paid Social,2137,351,3,0,1786
2024-07-01,Referral,38289,18468,31,5,19821
2024-08-01,Direct,196543,83722,372,48,112821
2024-08-01,Email,7972,5647,31,5,2325
2024-08-01,Organic Search,214368,147871,722,107,66497
2024-08-01,Other,13830,8830,46,3,5000
2024-08-01,Paid Search,112311,69993,396,101,42318
2024-08-01,Paid Social,531,288,3,0,243
2024-08-01,Referral,31164,18508,36,7,12656
2024-09-01,Direct,197728,78599,400,66,119129
2024-09-01,Email,10794,6775,29,9,4019
2024-09-01,Organic Search,238437,159417,727,125,79020
2024-09-01,Other,13915,8780,50,2,5135
2024-09-01,Paid Search,120317,69587,445,90,50730
2024-09-01,Paid Social,703,366,1,0,337
2024-09-01,Referral,30604,16574,44,7,14030
2024-10-01,Direct,265815,71543,278,49,194272
2024-10-01,Email,11131,6787,28,0,4344
2024-10-01,Organic Search,294346,189206,789,180,105140
2024-10-01,Other,15143,8804,67,1,6339
2024-10-01,Paid Search,167441,78431,493,115,89010
2024-10-01,Paid Social,10695,2880,0,0,7815
2024-10-01,Referral,49116,20688,52,16,28428
2024-11-01,Direct,258800,67327,250,53,191473
2024-11-01,Email,13159,6807,66,5,6352
2024-11-01,Organic Search,275331,178013,800,129,97318
2024-11-01,Other,17323,8778,52,1,8545
2024-11-01,Paid Search,154502,71181,442,95,83321
2024-11-01,Paid Social,5610,1762,0,0,3848
2024-11-01,Referral,41478,18883,46,9,22595
2024-12-01,Direct,245102,56700,235,55,188402
2024-12-01,Email,9726,5584,44,1,4142
2024-12-01,Organic Search,243656,157631,645,112,86025
2024-12-01,Other,12598,6759,34,0,5839
2024-12-01,Paid Search,111639,65714,352,107,45925
2024-12-01,Paid Social,2204,902,4,0,1302
2024-12-01,Referral,34770,20724,37,8,14046
2025-01-01,Direct,238873,55326,273,44,183547
2025-01-01,Email,7117,4411,34,1,2706
2025-01-01,Organic Search,248847,153425,655,100,95422
2025-01-01,Other,13372,6867,36,1,6505
