scope,level,channel,sess_y1,sess_y2,subs_y1,subs_y2,cvr_y1,cvr_y2,within_cvr,within_vol,interaction,delta_subs
M2_agg_original,aggregate,all_sessions,8059479,6430349,18744,9710,0.002326,0.00151,-6574,-3789,1329,-9034
M2_agg_botstrip,aggregate,bot_stripped,4074128,3145854,18744,9744,0.004601,0.003097,-6125,-4271,1396,-9000
M2_perch_original,per_channel,Paid Search,1511685,589231,5300,2322,0.00350602142642151,0.003940729527129428,657.1417152186496,-3234.1434888882277,-400.99822633042214,-2978
M2_perch_original,per_channel,Direct,2934530,2813697,3923,1602,0.0013368409932766065,0.0005693576813708086,-2252.202803286921,-161.5345077405922,92.73731102751329,-2321
M2_perch_original,per_channel,Organic Search,2850039,2458854,8053,4977,0.0028255753693195076,0.00202411367246693,-2284.1970930360235,-1105.3227008472516,313.5197938832756,-3076
M2_perch_original,per_channel,Other,160489,107165,535,167,0.0033335618017434217,0.001558344608780852,-284.90283208136987,-177.7588495161662,94.66168159753606,-368
M2_perch_original,per_channel,Referral,468878,332302,514,432,0.0010962339883722417,0.0013000222688999766,95.55184139728325,-149.71925319592728,-27.83258820135591,-82
M2_perch_original,per_channel,Email,107803,102035,399,203,0.003701195699563092,0.0019895134022639292,-184.52448669574164,-21.348496795079914,9.87298349082157,-196
M2_perch_original,per_channel,Paid Social,26055,27065,20,7,0.0007676069852235655,0.000258636615555145,-13.261222981710697,0.7752830550758011,-0.5140600733651047,-13
M2_perch_botstrip,per_channel,Paid Search,894969,407126,5300,2330,0.005921992828801892,0.005723043971645142,-178.05305974071948,-2889.002747581201,97.05580732192044,-2970
M2_perch_botstrip,per_channel,Direct,893697,826399,3923,1605,0.004389630937554899,0.0019421611110371625,-2187.296441549421,-295.41338283556956,164.7098243849906,-2318
M2_perch_botstrip,per_channel,Organic Search,1861004,1597037,8053,5000,0.004327234116638116,0.0031307978462615455,-2226.572684915879,-1142.2470080666135,315.8196929824922,-3053
M2_perch_botstrip,per_channel,Other,92905,47566,535,167,0.005758570582853452,0.0035109111550266996,-208.81879914224447,-261.08783165599266,101.90663079823715,-368
M2_perch_botstrip,per_channel,Referral,255769,209711,514,432,0.0020096258733466525,0.002059977778943403,12.878456542575277,-92.55934847460011,-2.3191080679751344,-82
M2_perch_botstrip,per_channel,Email,67389,53521,399,203,0.005920847616079776,0.0037929037200351264,-143.40001121055286,-82.11031473979433,29.510325950347195,-196
M2_perch_botstrip,per_channel,Paid Social,8395,4494,20,7,0.0023823704586063135,0.001557632398753894,-6.923676012461061,-9.293627159023229,3.2173031714842883,-13
