month_start,visitors_mql_pricing,visitors_mql_enterprise,visitors_mql_demo,mql_3component_sum,mql_max_single_component,mql_visitor_sum_minus_max_lower_bound_overlap,sessions_total,rate_pricing_per_session,rate_enterprise_per_session,rate_demo_per_session,rate_3component_sum_per_session
2024-05-01,103.0,10.0,0,113.0,103.0,10.0,811767.0,0.00012688369938664666,1.231880576569385e-05,0.0,0.0001392025051523405
2024-06-01,98.0,9.0,0,107.0,98.0,9.0,628971.0,0.00015581004529620604,1.4309085792508717e-05,0.0,0.00017011913108871474
2024-07-01,148.0,15.0,0,163.0,148.0,15.0,570531.0,0.0002594074642745092,2.6291297054848906e-05,0.0,0.0002856987613293581
2024-08-01,119.0,23.0,0,142.0,119.0,23.0,576718.0,0.0002063400136635236,3.988084297698355e-05,0.0,0.00024622085664050713
2024-09-01,103.0,39.0,13.0,155.0,103.0,52.0,612498.0,0.00016816381441245524,6.367367730180344e-05,2.1224559100601146e-05,0.0002530620508148598
2024-10-01,112.0,32.0,17.0,161.0,112.0,49.0,813687.0,0.00013764506499427912,3.932716142693689e-05,2.0892554508060226e-05,0.00019786478092927626
2024-11-01,66.0,35.0,13.0,114.0,66.0,48.0,766200.0,8.613938919342209e-05,4.567997911772383e-05,1.696684938658314e-05,0.00014878621769772905
2024-12-01,48.0,28.0,9.0,85.0,48.0,37.0,659697.0,7.276067649238968e-05,4.244372795389398e-05,1.3642626842323066e-05,0.00012884703128860674
2025-01-01,63.0,37.0,5.0,105.0,63.0,42.0,634148.0,9.934589401843103e-05,5.834600124891981e-05,7.884594763367542e-06,0.00016557649003071838
2025-02-01,61.0,31.0,6.0,98.0,61.0,37.0,629569.0,9.689168304030218e-05,4.924003564343225e-05,9.530329479373984e-06,0.00015566204816310842
2025-03-01,64.0,36.0,7.0,107.0,64.0,43.0,706763.0,9.055369338802398e-05,5.0936452530763494e-05,9.904310214315124e-06,0.00015139445613310262
2025-04-01,50.0,43.0,11.0,104.0,50.0,54.0,648930.0,7.704991293359839e-05,6.626292512289461e-05,1.6950980845391644e-05,0.00016026381890188465
2025-05-01,141.0,24.0,13.0,178.0,141.0,37.0,545326.0,0.0002585609341934916,4.401037177761559e-05,2.3838951379541778e-05,0.00032641025735064894
2025-06-01,206.0,26.0,25.0,257.0,206.0,51.0,443833.0,0.00046413853859447133,5.858059224978764e-05,5.632749254787274e-05,0.0005790466233921317
2025-07-01,177.0,29.0,12.0,218.0,177.0,41.0,522797.0,0.0003385635342207396,5.547086153899123e-05,2.2953459947168787e-05,0.0004169878557068996
2025-08-01,184.0,22.0,18.0,224.0,184.0,40.0,510346.0,0.00036053971227363395,4.310800907619536e-05,3.5270189244159846e-05,0.0004389179105939892
2025-09-01,199.0,17.0,14.0,230.0,199.0,31.0,479416.0,0.00041508835750162697,3.5459809434812356e-05,2.9202196005139588e-05,0.0004797503629415789
2025-10-01,162.0,17.0,24.0,203.0,162.0,41.0,528168.0,0.0003067205889035307,3.218672846518532e-05,4.544008724496751e-05,0.00038434740461368354
2025-11-01,144.0,19.0,17.0,180.0,144.0,36.0,529792.0,0.0002718047837641942,3.5863131191108966e-05,3.20880647499396e-05,0.00033975597970524284
2025-12-01,110.0,21.0,14.0,145.0,110.0,35.0,577833.0,0.00019036642074786315,3.634268032459205e-05,2.4228453549728037e-05,0.0002509375546221832
2026-01-01,100.0,12.0,15.0,127.0,100.0,27.0,525794.0,0.00019018855293137616,2.282262635176514e-05,2.8528282939706426e-05,0.00024153946222284773
2026-02-01,130.0,11.0,16.0,157.0,130.0,27.0,478583.0,0.0002716352231483358,2.2984518881782263e-05,3.343202746441056e-05,0.00032805176949452864
2026-03-01,105.0,11.0,1.0,117.0,105.0,12.0,689603.0,0.00015226151858388086,1.595120670878752e-05,1.4501097007988655e-06,0.00016966283499346725
2026-04-01,83.0,5.0,0,88.0,83.0,5.0,598858.0,0.00013859712987052022,8.349224690995194e-06,0.0,0.00014694635456151541
