sub_start_month,cohort_fully_observable,subs_in_cohort,subs_60_plus,tile_7_pct_dl_first_7d,tile_8_songs_per_sub_0_30d,tile_9_pct_dl_30_60d,tile_10_sessions_per_engaged_30_60
2024-05-01,1,2084,1669,0.8354,9.251,0.5081,5.196
2024-06-01,1,1756,1399,0.8331,11.103,0.5297,5.567
2024-07-01,1,1643,1290,0.8411,11.399,0.5519,6.039
2024-08-01,1,1623,1276,0.8189,10.007,0.5423,5.819
2024-09-01,1,1704,1326,0.7758,9.447,0.5271,6.585
2024-10-01,1,1717,1339,0.7886,9.238,0.5414,6.375
2024-11-01,1,1667,1345,0.7756,9.073,0.4892,5.838
2024-12-01,1,1365,1090,0.767,8.072,0.5284,6.805
2025-01-01,1,1408,1004,0.777,9.8,0.4851,6.921
2025-02-01,1,1202,884,0.802,16.231,0.5,6.577
2025-03-01,1,1349,1068,0.788,8.984,0.5225,6.52
2025-04-01,1,1423,1103,0.8166,9.708,0.5304,6.45
2025-05-01,1,1295,991,0.7992,9.117,0.5066,5.806
2025-06-01,1,1078,832,0.8098,8.861,0.5493,5.598
2025-07-01,1,1034,788,0.8104,9.564,0.5558,6.579
2025-08-01,1,959,729,0.8248,11.248,0.5748,5.78
2025-09-01,1,1001,783,0.8022,9.766,0.5466,5.979
2025-10-01,1,917,701,0.7677,10.315,0.5663,6.131
2025-11-01,1,783,604,0.7905,10.674,0.5265,4.969
2025-12-01,1,666,494,0.7598,7.886,0.5385,6.211
2026-01-01,1,510,345,0.7588,8.724,0.5449,6.153
2026-02-01,1,510,351,0.7686,10.316,0.5271,5.357
