month_start,plan_tier,billing_interval,subs
2024-05-01,enterprise,year,9
2024-05-01,other,month,1
2024-05-01,other,year,1
2024-05-01,personal,month,831
2024-05-01,personal,quarter,136
2024-05-01,personal,year,356
2024-05-01,pro,month,355
2024-05-01,pro,quarter,71
2024-05-01,pro,year,255
2024-05-01,pro-plus,month,12
2024-05-01,pro-plus,quarter,1
2024-05-01,pro-plus,year,24
2024-05-01,twitch-pro,month,11
2024-05-01,twitch-pro,year,5
2024-06-01,enterprise,quarter,1
2024-06-01,enterprise,year,14
2024-06-01,other,month,1
2024-06-01,other,year,1
2024-06-01,personal,month,710
2024-06-01,personal,quarter,95
2024-06-01,personal,year,315
2024-06-01,pro,month,304
2024-06-01,pro,quarter,51
2024-06-01,pro,year,222
2024-06-01,pro-plus,month,10
2024-06-01,pro-plus,year,14
2024-06-01,twitch-pro,month,8
2024-06-01,twitch-pro,year,10
2024-07-01,enterprise,year,11
2024-07-01,other,month,2
2024-07-01,other,year,1
2024-07-01,personal,month,650
2024-07-01,personal,quarter,79
2024-07-01,personal,year,341
2024-07-01,pro,month,283
2024-07-01,pro,quarter,32
2024-07-01,pro,year,209
2024-07-01,pro-plus,month,6
2024-07-01,pro-plus,quarter,3
2024-07-01,pro-plus,year,13
2024-07-01,twitch-pro,month,10
2024-07-01,twitch-pro,year,3
2024-08-01,enterprise,year,12
2024-08-01,other,month,4
2024-08-01,other,year,2
2024-08-01,personal,month,648
2024-08-01,personal,quarter,78
2024-08-01,personal,year,292
2024-08-01,pro,month,274
2024-08-01,pro,quarter,32
2024-08-01,pro,year,233
2024-08-01,pro-plus,month,12
2024-08-01,pro-plus,year,9
2024-08-01,twitch-pro,month,20
2024-08-01,twitch-pro,year,8
2024-09-01,enterprise,quarter,3
2024-09-01,enterprise,year,9
2024-09-01,other,month,2
2024-09-01,other,year,1
2024-09-01,personal,month,682
2024-09-01,personal,quarter,77
2024-09-01,personal,year,273
2024-09-01,pro,month,272
2024-09-01,pro,quarter,33
2024-09-01,pro,year,212
2024-09-01,pro-plus,month,11
2024-09-01,pro-plus,quarter,1
2024-09-01,pro-plus,year,20
2024-09-01,twitch-pro,month,107
2024-09-01,twitch-pro,year,1
2024-10-01,enterprise,quarter,2
2024-10-01,enterprise,year,7
2024-10-01,other,month,3
2024-10-01,other,year,1
2024-10-01,personal,month,700
2024-10-01,personal,quarter,71
2024-10-01,personal,year,321
2024-10-01,pro,month,273
2024-10-01,pro,quarter,39
2024-10-01,pro,year,221
2024-10-01,pro-plus,month,15
2024-10-01,pro-plus,year,12
2024-10-01,twitch-pro,month,49
2024-10-01,twitch-pro,year,3
2024-11-01,enterprise,quarter,4
2024-11-01,enterprise,year,12
2024-11-01,other,month,4
2024-11-01,other,year,2
2024-11-01,personal,month,584
2024-11-01,personal,quarter,15
2024-11-01,personal,year,424
2024-11-01,pro,month,233
2024-11-01,pro,quarter,9
2024-11-01,pro,year,330
2024-11-01,pro-plus,month,10
2024-11-01,pro-plus,year,19
2024-11-01,twitch-pro,month,19
2024-11-01,twitch-pro,year,2
2024-12-01,business,year,1
2024-12-01,enterprise,quarter,3
2024-12-01,enterprise,year,12
2024-12-01,personal,month,552
2024-12-01,personal,quarter,60
2024-12-01,personal,year,279
2024-12-01,pro,month,195
2024-12-01,pro,quarter,21
2024-12-01,pro,year,202
2024-12-01,pro-plus,month,11
2024-12-01,pro-plus,quarter,1
2024-12-01,pro-plus,year,13
2024-12-01,twitch-pro,month,13
2024-12-01,twitch-pro,year,2
2025-01-01,enterprise,quarter,5
2025-01-01,enterprise,year,19
2025-01-01,other,month,3
2025-01-01,other,year,9
2025-01-01,personal,month,585
2025-01-01,personal,quarter,75
2025-01-01,personal,year,248
2025-01-01,pro,month,199
2025-01-01,pro,quarter,30
2025-01-01,pro,year,200
2025-01-01,pro-plus,month,7
2025-01-01,pro-plus,year,15
2025-01-01,twitch-pro,month,12
2025-01-01,twitch-pro,year,4
2025-02-01,enterprise,quarter,9
2025-02-01,enterprise,year,24
2025-02-01,other,month,1
2025-02-01,other,year,1
2025-02-01,personal,month,475
2025-02-01,personal,quarter,62
2025-02-01,personal,year,189
2025-02-01,pro,month,211
2025-02-01,pro,quarter,19
2025-02-01,pro,year,176
2025-02-01,pro-plus,month,6
2025-02-01,pro-plus,year,15
2025-02-01,twitch-pro,month,13
2025-02-01,twitch-pro,year,2
2025-03-01,enterprise,quarter,6
2025-03-01,enterprise,year,27
2025-03-01,other,month,1
2025-03-01,other,year,1
2025-03-01,personal,month,518
2025-03-01,personal,quarter,53
2025-03-01,personal,year,256
2025-03-01,pro,month,219
2025-03-01,pro,quarter,30
2025-03-01,pro,year,195
2025-03-01,pro-plus,month,11
2025-03-01,pro-plus,quarter,2
2025-03-01,pro-plus,year,11
2025-03-01,twitch-pro,month,13
2025-03-01,twitch-pro,year,6
2025-04-01,enterprise,quarter,4
2025-04-01,enterprise,year,23
2025-04-01,other,year,2
2025-04-01,personal,month,568
2025-04-01,personal,quarter,67
2025-04-01,personal,year,239
2025-04-01,pro,month,245
2025-04-01,pro,quarter,31
2025-04-01,pro,year,205
2025-04-01,pro-plus,month,8
2025-04-01,pro-plus,quarter,1
2025-04-01,pro-plus,year,14
2025-04-01,twitch-pro,month,13
2025-04-01,twitch-pro,year,3
2025-05-01,enterprise,quarter,3
2025-05-01,enterprise,year,25
2025-05-01,other,month,3
2025-05-01,other,year,1
2025-05-01,personal,month,443
2025-05-01,personal,quarter,34
2025-05-01,personal,year,153
2025-05-01,pro,month,341
2025-05-01,pro,quarter,41
2025-05-01,pro,year,225
2025-05-01,pro-plus,month,4
2025-05-01,pro-plus,year,10
2025-05-01,twitch-pro,month,8
2025-05-01,twitch-pro,year,4
2025-06-01,enterprise,quarter,1
2025-06-01,enterprise,year,24
2025-06-01,other,year,1
2025-06-01,personal,month,325
2025-06-01,personal,quarter,23
2025-06-01,personal,year,120
2025-06-01,pro,month,292
2025-06-01,pro,quarter,45
2025-06-01,pro,year,224
2025-06-01,pro-plus,month,2
2025-06-01,pro-plus,year,13
2025-06-01,twitch-pro,month,2
2025-06-01,twitch-pro,year,6
2025-07-01,enterprise,quarter,1
2025-07-01,enterprise,year,22
2025-07-01,other,month,1
2025-07-01,other,year,1
2025-07-01,personal,month,295
2025-07-01,personal,quarter,29
2025-07-01,personal,year,116
2025-07-01,pro,month,333
2025-07-01,pro,quarter,38
2025-07-01,pro,year,185
2025-07-01,pro-plus,month,3
2025-07-01,pro-plus,year,8
2025-07-01,twitch-pro,month,1
2025-07-01,twitch-pro,year,1
2025-08-01,enterprise,quarter,3
2025-08-01,enterprise,year,21
2025-08-01,personal,month,267
2025-08-01,personal,quarter,26
2025-08-01,personal,year,94
2025-08-01,pro,month,288
2025-08-01,pro,quarter,38
2025-08-01,pro,year,204
2025-08-01,pro-plus,month,7
