month_start,subs_total,revenue_modeled,sessions_total,sessions_real,subs_per_session_reported,subs_per_session_corrected,avg_ltv_per_sub,revenue_per_session_reported,revenue_per_session_corrected,share_personal,share_pro,share_pro_plus,share_business,share_enterprise,share_twitch,share_other
2024-05-01,2068,304418.68,811767,811767,0.002548,0.002548,147.2,0.375,0.375,0.6397,0.3293,0.0179,0.0,0.0044,0.0077,0.001
2024-06-01,1756,301469.6,628971,628971,0.002792,0.002792,171.68,0.4793,0.4793,0.6378,0.3286,0.0137,0.0,0.0085,0.0103,0.0011
2024-07-01,1643,264066.3,570531,570531,0.00288,0.00288,160.72,0.4628,0.4628,0.6512,0.3189,0.0134,0.0,0.0067,0.0079,0.0018
2024-08-01,1624,268208.32,576718,576718,0.002816,0.002816,165.15,0.4651,0.4651,0.6268,0.3319,0.0129,0.0,0.0074,0.0172,0.0037
2024-09-01,1704,268662.71,612498,612498,0.002782,0.002782,157.67,0.4386,0.4386,0.6056,0.3034,0.0188,0.0,0.007,0.0634,0.0018
2024-10-01,1717,257405.86,813687,813687,0.00211,0.00211,149.92,0.3163,0.3163,0.636,0.3104,0.0157,0.0,0.0052,0.0303,0.0023
2024-11-01,1667,307008.61,766200,766200,0.002176,0.002176,184.17,0.4007,0.4007,0.6137,0.3431,0.0174,0.0,0.0096,0.0126,0.0036
2024-12-01,1365,255354.46,659697,659697,0.002069,0.002069,187.07,0.3871,0.3871,0.6527,0.3062,0.0183,0.0007,0.011,0.011,0.0
2025-01-01,1411,310519.03,634148,634148,0.002225,0.002225,220.07,0.4897,0.4897,0.6435,0.304,0.0156,0.0,0.017,0.0113,0.0085
2025-02-01,1203,342799.02,629569,629569,0.001911,0.001911,284.95,0.5445,0.5445,0.6035,0.3375,0.0175,0.0,0.0274,0.0125,0.0017
2025-03-01,1349,360318.39,706763,706763,0.001909,0.001909,267.1,0.5098,0.5098,0.613,0.3291,0.0178,0.0,0.0245,0.0141,0.0015
2025-04-01,1423,334334.25,648930,648930,0.002193,0.002193,234.95,0.5152,0.5152,0.6142,0.338,0.0162,0.0,0.019,0.0112,0.0014
2025-05-01,1295,337400.7,545326,545326,0.002375,0.002375,260.54,0.6187,0.6187,0.4865,0.4687,0.0108,0.0,0.0216,0.0093,0.0031
2025-06-01,1078,297322.76,443833,443833,0.002429,0.002429,275.81,0.6699,0.6699,0.4341,0.5204,0.0139,0.0,0.0232,0.0074,0.0009
2025-07-01,1034,279292.27,522797,522797,0.001978,0.001978,270.11,0.5342,0.5342,0.4255,0.5377,0.0106,0.0,0.0222,0.0019,0.0019
2025-08-01,959,278096.88,510346,510346,0.001879,0.001879,289.99,0.5449,0.5449,0.4035,0.5527,0.0188,0.0,0.025,0.0,0.0
2025-09-01,1001,276451.7,479416,479416,0.002088,0.002088,276.18,0.5766,0.5766,0.4106,0.5554,0.009,0.0,0.023,0.0,0.002
2025-10-01,917,313952.2,528168,528168,0.001736,0.001736,342.37,0.5944,0.5944,0.4711,0.4667,0.0251,0.0011,0.0349,0.0011,0.0
2025-11-01,783,409605.24,529792,529792,0.001478,0.001478,523.12,0.7731,0.7731,0.3218,0.576,0.0358,0.0,0.0639,0.0,0.0026
2025-12-01,666,279467.17,577833,577833,0.001153,0.001153,419.62,0.4836,0.4836,0.3544,0.5646,0.0315,0.0,0.0465,0.0015,0.0015
2026-01-01,510,222642.03,525794,525794,0.00097,0.00097,436.55,0.4234,0.4234,0.302,0.6098,0.0333,0.0,0.049,0.0,0.0059
2026-02-01,510,165357.38,478583,478583,0.001066,0.001066,324.23,0.3455,0.3455,0.298,0.6549,0.0137,0.0,0.0294,0.0,0.0039
2026-03-01,603,271106.86,689603,523943,0.000874,0.001151,449.6,0.3931,0.5174,0.3217,0.592,0.0299,0.0,0.0514,0.0,0.005
2026-04-01,593,237660.99,598858,532584,0.00099,0.001113,400.78,0.3969,0.4462,0.3491,0.5666,0.027,0.0,0.0438,0.0034,0.0101
