metric,y1,y2,y2_relative_change_pct
sessions_total,8059479,6430349,-20.21
subs_modeled,18930,9949,-47.44
revenue_modeled_usd,3574565,3368356,-5.77
avg_ltv_per_sub,188.83,338.56,79.29
subs_per_session_pct,0.2349,0.1547,-34.14
revenue_per_session_usd,0.4435,0.5238,18.11

decomposition,value_usd,pct_of_total_change
within_volume_subsps_change_at_old_ltv,-0.1514,-189.0
within_mix_avg_ltv_change_at_old_subsps,0.3517,438.0
interaction,-0.12,-149.0
total,0.0803,100.0

plan_mix,y1_share_pct,y2_share_pct,delta_pp
personal,62.9,39.8,-23.1
pro,32.3,54.3,22.0
pro-plus,1.6,2.0,0.4
business,0.0,0.0,0.0
enterprise,1.1,3.3,2.2
twitch-pro,1.8,0.3,-1.5
other,0.2,0.3,0.1
