month_start,sessions_total,sessions_engaged,visitors_total,visitors_engaged,subscribing_sessions,license_sessions,visitors_signed_up,visitors_mql_pricing,visitors_mql_enterprise,visitors_mql_demo,engaged_visitors_signed_up,license_revenue,license_revenue_engaged,sessions_direct,sessions_organic,sessions_paid_search,sessions_paid_social,sessions_referral,sessions_email
2024-05-01,811767,313344,506135,168894,2070,168,26738,103,10,0,26738,25634.09,25634.09,316743,192376,212268,2007,65803,8037
2024-06-01,628971,267832,366579,138263,1734,225,23825,98,9,0,23825,20829.35,20829.35,254287,168196,155425,505,31591,6928
2024-07-01,570531,258616,330204,127709,1630,312,23688,148,15,0,23688,26606.68,26606.68,196340,184353,129043,2137,38289,7436
2024-08-01,576718,255497,320362,122752,1606,271,23826,119,23,0,23826,33368.71,33368.71,196543,214367,112311,531,31164,7972
2024-09-01,612498,260724,345680,129753,1696,299,26601,103,39,13,26601,34607.30,34607.30,197727,238438,120317,703,30604,10794
2024-10-01,813687,289905,495782,147259,1707,361,31289,112,32,17,31289,36263.05,36263.05,265814,294347,167441,10695,49116,11131
2024-11-01,766200,263645,477531,137954,1656,292,28730,66,35,13,28730,30568.61,30568.61,258798,275332,154502,5610,41477,13159
2024-12-01,659697,235498,413857,121745,1351,283,26137,48,28,9,26137,24926.06,24926.06,245102,243656,111641,2204,34770,9726
2025-01-01,634148,226286,394582,117489,1389,242,24742,63,37,5,24742,25169.52,25169.52,238872,248847,89959,573,35408,7117
2025-02-01,629569,228664,394793,121274,1184,236,26050,61,31,6,26050,23698.47,23698.47,225825,256238,95239,443,32214,7299
2025-03-01,706763,247841,451295,130362,1324,246,27344,64,36,7,27344,25446.65,25446.65,275110,280619,87480,349,42372,9124
2025-04-01,648930,225180,408230,113990,1397,218,23954,50,43,11,23954,20227.96,20227.96,263369,253270,76059,298,36070,9080
2025-05-01,545326,222219,309097,111434,1269,202,23372,141,24,13,23372,24473.68,24473.68,160930,261367,66095,3292,34453,8358
2025-06-01,443833,184597,232895,83962,1052,181,16244,206,26,25,16244,23545.80,23545.80,128221,216267,46692,2696,30593,9374
2025-07-01,522797,176931,318038,78686,1016,148,14432,177,29,12,14432,23948.11,23948.11,219038,202446,48636,1734,30256,10437
2025-08-01,510346,178750,336884,92041,944,131,14125,184,22,18,14125,20481.95,20481.95,217095,204723,40152,3460,27070,10231
2025-09-01,479416,199106,297065,108387,986,156,20604,199,17,14,20604,33981.00,33981.00,144000,229060,51032,2309,28620,8816
2025-10-01,528168,200982,329916,106488,900,204,21535,162,17,24,21535,48735.00,48735.00,173300,240369,54823,3291,37264,9673
2025-11-01,529792,177738,358198,93080,760,188,18068,144,19,17,18068,35145.00,35145.00,212005,210147,58236,3159,28647,9195
2025-12-01,577833,151297,431858,77484,659,133,13843,110,21,14,13843,25750.00,25750.00,308513,179608,51071,1401,23400,5920
2026-01-01,525794,141934,382375,73553,498,125,12834,100,12,15,12834,26603.00,26603.00,269950,172940,44833,1170,23990,5864
2026-02-01,478583,131230,344976,67512,502,155,11970,130,11,16,11970,30113.00,30113.00,246037,155168,42357,1268,21253,6001
2026-03-01,689603,150392,540986,78493,585,161,14456,105,11,1,14456,36315.00,36315.00,411747,190394,44802,1555,25454,9147
2026-04-01,598858,137689,478687,79617,539,117,15218,83,5,0,15218,27862.00,27862.00,322861,196365,40502,1730,21302,9019
