month_start,subscribers_in_cohort,subs_60_plus,subs_dl_first_7d,subs_dl_first_30d,songs_dl_first_30d_total,engaged_subs_30_60_qualifying,engaged_subs_30_60_total,sessions_in_30_60_window_engaged
2024-05-01,2084,1669,1741,1817,19280,848,939,4879
2024-06-01,1756,1399,1463,1529,19496,741,801,4459
2024-07-01,1643,1290,1382,1444,18729,712,785,4741
2024-08-01,1623,1276,1329,1392,16241,692,769,4475
2024-09-01,1704,1326,1322,1395,16097,699,763,5024
2024-10-01,1717,1339,1354,1428,15862,725,817,5208
2024-11-01,1667,1345,1293,1373,15124,658,716,4180
2024-12-01,1365,1090,1047,1130,11018,576,641,4362
2025-01-01,1408,1004,1094,1157,13798,487,646,4471
2025-02-01,1202,884,964,1017,19510,442,541,3558
2025-03-01,1349,1068,1063,1120,12120,558,614,4003
2025-04-01,1423,1103,1162,1223,13815,585,642,4141
2025-05-01,1295,991,1035,1087,11807,502,578,3356
2025-06-01,1078,832,873,923,9552,457,497,2782
2025-07-01,1034,788,838,884,9889,438,499,3283
2025-08-01,959,729,791,830,10787,419,473,2734
2025-09-01,1001,783,803,839,9776,428,467,2792
2025-10-01,917,701,704,750,9459,397,459,2814
2025-11-01,783,604,619,657,8358,318,355,1764
2025-12-01,666,494,505,534,5247,266,303,1882
2026-01-01,510,345,387,422,4448,188,262,1613
2026-02-01,510,346,392,420,5261,181,244,1307
2026-03-01,603,430,398,433,5334,147,175,731
2026-04-01,561,197,347,362,2944,0,0,
