month_start,qualifying_subs_for_expansion_rate,expansions_qualifying,expansions_all,expansion_value_total,subscriptions_total,contractions_all,no_change
2024-05-01,2041,28,28,2018.43,2068,216,1822
2024-06-01,1720,19,20,1333.93,1756,155,1579
2024-07-01,1616,28,28,1532.49,1643,114,1498
2024-08-01,1577,21,22,1677.17,1624,116,1480
2024-09-01,1581,28,28,2006.73,1704,111,1562
2024-10-01,1652,39,39,2535.45,1717,114,1560
2024-11-01,1624,39,39,2998.41,1667,30,1592
2024-12-01,1335,21,21,1633.88,1365,85,1258
2025-01-01,1359,27,27,2327.15,1411,110,1262
2025-02-01,1153,15,15,1054.69,1203,84,1102
2025-03-01,1296,23,23,7475.73,1349,85,1239
2025-04-01,1378,28,28,2125.15,1423,103,1290
2025-05-01,1250,27,28,2280.53,1295,79,1184
2025-06-01,1043,13,13,990.28,1078,66,997
2025-07-01,1007,11,11,603.27,1034,70,951
2025-08-01,935,15,15,1025.29,959,64,880
2025-09-01,976,10,10,733.21,1001,82,907
2025-10-01,884,13,13,987.51,917,53,850
2025-11-01,731,18,18,1143.08,783,32,731
2025-12-01,633,13,13,1095.34,666,24,628
2026-01-01,482,9,9,799.21,510,20,478
2026-02-01,493,3,3,219.39,510,22,483
2026-03-01,569,3,3,100.42,603,23,574
2026-04-01,530,4,4,6167.86,561,18,533
