month_start,host_bucket,sessions
2024-05-01,app_legacy,545968
2024-05-01,null,40815
2024-05-01,other,32172
2024-05-01,www_legacy,192812
2024-06-01,app_legacy,417780
2024-06-01,null,39165
2024-06-01,other,22148
2024-06-01,www_legacy,149878
2024-07-01,app_legacy,346324
2024-07-01,consolidated,12
2024-07-01,null,39366
2024-07-01,other,28239
2024-07-01,www_legacy,156590
2024-08-01,app_legacy,365004
2024-08-01,consolidated,10
2024-08-01,null,39570
2024-08-01,other,21258
2024-08-01,www_legacy,150876
2024-09-01,app_legacy,398214
2024-09-01,null,38343
2024-09-01,other,22804
2024-09-01,www_legacy,153137
2024-10-01,app_legacy,554813
2024-10-01,null,38975
2024-10-01,other,34927
2024-10-01,www_legacy,184972
2024-11-01,app_legacy,514018
2024-11-01,null,36336
2024-11-01,other,27036
2024-11-01,www_legacy,188810
2024-12-01,app_legacy,436886
2024-12-01,consolidated,1
2024-12-01,null,38108
2024-12-01,other,14809
2024-12-01,www_legacy,169893
2025-01-01,app_legacy,398424
2025-01-01,null,40258
2025-01-01,other,14069
2025-01-01,www_legacy,181397
2025-02-01,app_legacy,403727
2025-02-01,null,35754
2025-02-01,other,12895
2025-02-01,www_legacy,177193
2025-03-01,app_legacy,471023
2025-03-01,null,37791
2025-03-01,other,14819
2025-03-01,www_legacy,183130
2025-04-01,app_legacy,424102
2025-04-01,null,35169
2025-04-01,other,14437
2025-04-01,www_legacy,175222
2025-05-01,app_legacy,320276
2025-05-01,null,34759
2025-05-01,other,14000
2025-05-01,www_legacy,176291
2025-06-01,app_legacy,247765
2025-06-01,null,34132
2025-06-01,other,13651
2025-06-01,www_legacy,148285
2025-07-01,app_legacy,332809
2025-07-01,null,31026
2025-07-01,other,14272
2025-07-01,www_legacy,144690
2025-08-01,app_legacy,336599
2025-08-01,null,7001
2025-08-01,other,12908
2025-08-01,www_legacy,153838
2025-09-01,app_legacy,276761
2025-09-01,null,6482
2025-09-01,other,16073
2025-09-01,www_legacy,180100
2025-10-01,app_legacy,320657
2025-10-01,null,6677
2025-10-01,other,14180
2025-10-01,www_legacy,186654
2025-11-01,app_legacy,345164
2025-11-01,null,6500
2025-11-01,other,12708
2025-11-01,www_legacy,165420
2025-12-01,app_legacy,420518
2025-12-01,null,6192
2025-12-01,other,11883
2025-12-01,www_legacy,139240
2026-01-01,app_legacy,396110
2026-01-01,null,5844
2026-01-01,other,11581
2026-01-01,www_legacy,112259
2026-02-01,app_legacy,353282
2026-02-01,null,5354
2026-02-01,other,11509
2026-02-01,www_legacy,108438
2026-03-01,app_legacy,280233
2026-03-01,consolidated,4
2026-03-01,null,5509
2026-03-01,other,14257
2026-03-01,www_legacy,389600
2026-04-01,app_legacy,845
2026-04-01,null,4499
2026-04-01,other,12023
2026-04-01,www_legacy,581491
