sub_start_month,billing_period_unit,subs,subs_60_plus_observable,avg_observed_lifetime_days
2024-05-01,month,1210,813,184.67
2024-05-01,quarter,208,203,328.90
2024-05-01,year,650,642,610.04
2024-06-01,month,1033,687,173.44
2024-06-01,quarter,147,147,385.09
2024-06-01,year,576,565,617.56
2024-07-01,month,951,612,169.70
2024-07-01,quarter,114,113,339.22
2024-07-01,year,578,565,596.51
2024-08-01,month,958,619,164.22
2024-08-01,quarter,110,109,356.74
2024-08-01,year,556,548,617.35
2024-09-01,month,1074,702,153.98
2024-09-01,quarter,114,112,340.03
2024-09-01,year,516,512,600.53
2024-10-01,month,1040,673,153.75
2024-10-01,quarter,112,111,330.93
2024-10-01,year,565,555,602.05
2024-11-01,month,850,540,152.55
2024-11-01,quarter,28,28,309.61
2024-11-01,year,789,777,571.89
2024-12-01,month,771,511,156.82
2024-12-01,quarter,85,85,278.88
2024-12-01,year,509,494,590.17
2025-01-01,month,806,412,145.95
2025-01-01,quarter,110,109,322.27
2025-01-01,year,495,486,652.66
2025-02-01,month,706,398,151.32
2025-02-01,quarter,90,90,289.62
2025-02-01,year,407,397,672.19
2025-03-01,month,762,502,140.68
2025-03-01,quarter,91,89,288.33
2025-03-01,year,496,477,609.81
2025-04-01,month,834,528,141.39
2025-04-01,quarter,103,101,254.68
2025-04-01,year,486,474,596.34
2025-05-01,month,799,512,138.27
2025-05-01,quarter,78,78,254.76
2025-05-01,year,418,401,427.45
2025-06-01,month,621,393,125.70
2025-06-01,quarter,69,68,261.48
2025-06-01,year,388,371,460.98
2025-07-01,month,633,405,126.40
2025-07-01,quarter,68,65,216.25
2025-07-01,year,333,318,393.41
2025-08-01,month,562,339,113.98
2025-08-01,quarter,68,66,197.34
2025-08-01,year,329,324,420.99
2025-09-01,month,583,380,110.27
2025-09-01,quarter,83,82,208.48
2025-09-01,year,335,321,467.83
2025-10-01,month,527,323,100.24
2025-10-01,quarter,65,65,190.83
2025-10-01,year,325,313,455.01
2025-11-01,month,445,277,92.34
2025-11-01,quarter,54,54,161.85
2025-11-01,year,284,273,511.30
2025-12-01,month,390,220,79.47
2025-12-01,quarter,43,43,159.21
2025-12-01,year,233,231,405.73
2026-01-01,month,306,148,73.24
2026-01-01,quarter,29,26,131.93
2026-01-01,year,175,171,490.05
2026-02-01,month,303,146,62.46
2026-02-01,quarter,28,28,88.93
2026-02-01,year,179,172,425.05
2026-03-01,month,365,198,47.58
2026-03-01,quarter,34,34,91.91
2026-03-01,year,204,198,564.31
2026-04-01,month,360,0,29.84
2026-04-01,quarter,28,28,91.00
2026-04-01,year,173,169,489.81
