month_start,avg_revenue_per_transaction,transactions,censored_flag
2024-05-01,196.44061215370868,2238.0,0
2024-06-01,187.66174068402245,1959.0,0
2024-07-01,181.56883625128734,1942.0,0
2024-08-01,188.9018167288226,1877.0,0
2024-09-01,187.37208020050124,1995.0,0
2024-10-01,182.62236460348163,2068.0,0
2024-11-01,185.7128388090349,1948.0,0
2024-12-01,180.61570379436964,1634.0,0
2025-01-01,185.75690987124466,1631.0,0
2025-02-01,183.44962676056338,1420.0,0
2025-03-01,184.8704777070064,1570.0,0
2025-04-01,185.52814860681116,1615.0,0
2025-05-01,189.1731339225017,1471.0,0
2025-06-01,189.73706407137064,1233.0,0
2025-07-01,195.1444243986254,1164.0,0
2025-08-01,194.68088372093024,1075.0,0
2025-09-01,202.4352014010508,1142.0,0
2025-10-01,207.1875,1104.0,0
2025-11-01,197.41033755274262,948.0,0
2025-12-01,198.92676767676767,792.0,0
2026-01-01,202.57303370786516,623.0,0
2026-02-01,198.64992389649925,657.0,0
2026-03-01,205.51608579088472,746.0,0
2026-04-01,206.8018292682927,656.0,0
