month_start,songs_per_subscriber,subscribers_in_cohort,censored_flag
2024-05-01,9.251439539347409,2084.0,0
2024-06-01,11.10250569476082,1756.0,0
2024-07-01,11.399269628727938,1643.0,0
2024-08-01,10.006777572396796,1623.0,0
2024-09-01,9.446596244131456,1704.0,0
2024-10-01,9.238206173558533,1717.0,0
2024-11-01,9.072585482903419,1667.0,0
2024-12-01,8.071794871794872,1365.0,0
2025-01-01,9.799715909090908,1408.0,0
2025-02-01,16.231281198003327,1202.0,0
2025-03-01,8.984432913269089,1349.0,0
2025-04-01,9.708362614195362,1423.0,0
2025-05-01,9.117374517374518,1295.0,0
2025-06-01,8.860853432282005,1078.0,0
2025-07-01,9.563829787234043,1034.0,0
2025-08-01,11.248175182481752,959.0,0
2025-09-01,9.766233766233766,1001.0,0
2025-10-01,10.31515812431843,917.0,0
2025-11-01,10.67432950191571,783.0,0
2025-12-01,7.878378378378378,666.0,0
2026-01-01,8.72156862745098,510.0,0
2026-02-01,10.315686274509805,510.0,0
2026-03-01,8.845771144278608,603.0,1
2026-04-01,5.24777183600713,561.0,1
