month_start,rate_reported,expansions_qualifying,qualifying_subs_for_expansion_rate,censored_flag
2024-05-01,0.013718765311121999,28.0,2041.0,0
2024-06-01,0.011046511627906977,19.0,1720.0,0
2024-07-01,0.017326732673267328,28.0,1616.0,0
2024-08-01,0.013316423589093214,21.0,1577.0,0
2024-09-01,0.017710309930423784,28.0,1581.0,0
2024-10-01,0.02360774818401937,39.0,1652.0,0
2024-11-01,0.02401477832512315,39.0,1624.0,0
2024-12-01,0.015730337078651686,21.0,1335.0,0
2025-01-01,0.019867549668874173,27.0,1359.0,0
2025-02-01,0.013009540329575022,15.0,1153.0,0
2025-03-01,0.017746913580246913,23.0,1296.0,0
2025-04-01,0.020319303338171262,28.0,1378.0,0
2025-05-01,0.0216,27.0,1250.0,0
2025-06-01,0.012464046021093002,13.0,1043.0,0
2025-07-01,0.010923535253227408,11.0,1007.0,0
2025-08-01,0.016042780748663103,15.0,935.0,0
2025-09-01,0.010245901639344262,10.0,976.0,0
2025-10-01,0.014705882352941176,13.0,884.0,0
2025-11-01,0.024623803009575923,18.0,731.0,0
2025-12-01,0.020537124802527645,13.0,633.0,0
2026-01-01,0.01867219917012448,9.0,482.0,0
2026-02-01,0.006085192697768763,3.0,493.0,0
2026-03-01,0.005272407732864675,3.0,569.0,0
2026-04-01,0.007547169811320755,4.0,530.0,0
