month_start,avg_expansion_value_usd,expansions_all_n,censored_flag
2024-05-01,72.08678571428571,28.0,0
2024-06-01,66.6965,20.0,0
2024-07-01,54.731785714285714,28.0,0
2024-08-01,76.235,22.0,0
2024-09-01,71.66892857142857,28.0,0
2024-10-01,65.01153846153845,39.0,0
2024-11-01,76.88230769230769,39.0,0
2024-12-01,77.80380952380953,21.0,0
2025-01-01,86.19074074074075,27.0,0
2025-02-01,70.31266666666667,15.0,0
2025-03-01,325.03173913043474,23.0,0
2025-04-01,75.89821428571429,28.0,0
2025-05-01,81.4475,28.0,0
2025-06-01,76.17538461538462,13.0,0
2025-07-01,54.842727272727274,11.0,0
2025-08-01,68.35266666666666,15.0,0
2025-09-01,73.321,10.0,0
2025-10-01,75.96230769230769,13.0,0
2025-11-01,63.50444444444444,18.0,0
2025-12-01,84.25692307692307,13.0,0
2026-01-01,88.80111111111111,9.0,0
2026-02-01,73.13,3.0,0
2026-03-01,33.473333333333336,3.0,0
2026-04-01,1541.965,4.0,0
