DAY_TYPE,LANDING_PAGE_HOST,SESSIONS,AVG_PAGEVIEWS,BOUNCE_RATE_PCT,AVG_DURATION_SEC
baseline,app.soundstripe.com,84152,1.16,94.3,60.2
baseline,www.soundstripe.com,73060,1.26,93.5,52.3
baseline,adobe.ppro.soundstripe.com,6266,1.13,93.8,246.8
baseline,musicsound.info,106,1.00,100.0,0.0
baseline,appmusic.co,84,1.00,100.0,0.0
baseline,pilot.soundstripe.com,29,1.97,3.4,5.6
baseline,127.0.0.1,17,1.00,100.0,0.0
baseline,,15,1.87,6.7,316.8
baseline,app-react.soundstripe.com,11,1.09,90.9,7.9
baseline,q7.net,10,1.00,100.0,0.0
baseline,www.musicsound.info,8,1.00,100.0,0.0
baseline,app-soundstripe-com.translate.goog,7,1.14,85.7,49.1
baseline,69b055044becbd0008465d43--soundstripe.netlify.app,5,1.20,80.0,0.6
baseline,www-soundstripe-com.translate.goog,4,1.00,100.0,3.0
baseline,697a901090568f0008e538e9--soundstripe.netlify.app,4,1.00,100.0,2.0
baseline,699c92b8e253700008d2e1af--soundstripe.netlify.app,3,1.00,100.0,6.0
baseline,69ab4c3aa4c9110008e0e592--soundstripe.netlify.app,3,1.00,100.0,3.7
baseline,6994e7444ba6db0008859fa3--soundstripe.netlify.app,3,1.00,100.0,3.3
baseline,698cfe298f3589000865eee4--soundstripe.netlify.app,3,1.00,100.0,2.7
baseline,6982686b0b7e3a00080da53b--soundstripe.netlify.app,3,1.00,100.0,3.0
baseline,698cf1560b5fca000810935b--soundstripe.netlify.app,3,1.00,100.0,0.3
baseline,69c40d59635d3f0008e251a3--soundstripe.netlify.app,3,1.00,100.0,1.0
baseline,soundstripe.netlify.app,3,1.00,100.0,8.3
baseline,69c41a991dd918000820aaae--soundstripe.netlify.app,3,1.00,100.0,0.3
baseline,69852ba730a996000854f27f--soundstripe.netlify.app,3,1.00,100.0,3.3
