DAY_TYPE,COUNTRY,SESSIONS
baseline,CN,57555
baseline,US,47267
baseline,DE,14902
baseline,SG,8308
baseline,CA,7376
baseline,NL,7265
baseline,VN,1868
baseline,IN,1836
baseline,JP,1559
baseline,GB,1399
baseline,HK,1344
baseline,AU,1152
baseline,BR,848
baseline,BD,744
baseline,MX,643
baseline,ID,621
baseline,PH,556
baseline,TR,513
baseline,FR,443
baseline,EG,387
baseline,RU,290
baseline,IT,287
baseline,ES,281
baseline,UA,276
baseline,IQ,267
baseline,IE,256
baseline,TH,240
baseline,PL,235
baseline,PK,226
baseline,ZA,224
baseline,SE,223
baseline,UZ,204
baseline,CO,196
baseline,KR,187
baseline,AR,178
baseline,SA,174
baseline,VE,166
baseline,NO,163
baseline,MY,154
baseline,BE,134
baseline,PT,121
baseline,RO,116
baseline,NZ,109
baseline,MA,97
baseline,TW,94
baseline,AT,91
baseline,CH,91
baseline,BG,82
baseline,KE,80
baseline,NG,74
baseline,LT,72
baseline,AE,70
baseline,TN,69
baseline,IL,68
baseline,PE,67
baseline,HU,65
baseline,GR,64
baseline,CL,64
baseline,CZ,59
baseline,EC,58
baseline,DK,57
baseline,NP,53
baseline,DO,51
baseline,PR,49
baseline,EE,47
baseline,FI,45
baseline,JO,44
baseline,GH,42
baseline,LV,41
baseline,GT,37
baseline,MM,37
baseline,UY,35
baseline,PY,34
baseline,LK,33
baseline,JM,32
baseline,KZ,31
baseline,BO,30
baseline,RS,28
baseline,DZ,28
baseline,LB,27
baseline,CR,22
baseline,SN,21
baseline,ET,21
baseline,SY,19
baseline,OM,18
baseline,BA,18
baseline,AL,18
baseline,QA,18
baseline,CI,17
baseline,SI,17
baseline,PS,16
baseline,AZ,16
baseline,HR,16
baseline,SK,15
baseline,MD,15
baseline,KH,14
baseline,BY,14
baseline,PA,14
baseline,SV,14
baseline,GY,12
baseline,GE,12
baseline,CY,12
baseline,LY,10
baseline,FO,10
baseline,CD,10
baseline,MK,10
baseline,SC,9
baseline,NI,9
baseline,HN,8
baseline,MG,8
baseline,AM,8
baseline,IS,8
baseline,AO,8
baseline,KW,8
baseline,PG,8
baseline,TT,7
baseline,UG,7
baseline,TZ,7
baseline,LU,7
baseline,MN,6
baseline,RE,6
baseline,YE,6
baseline,TG,6
baseline,ZW,6
baseline,GA,5
baseline,XK,5
baseline,ME,5
baseline,MU,5
baseline,MT,5
baseline,NA,5
baseline,ZM,4
baseline,GU,3
baseline,BH,3
baseline,BM,3
baseline,MC,3
baseline,RW,3
baseline,SR,3
baseline,CM,3
baseline,BB,3
baseline,IR,3
baseline,KG,3
baseline,BS,3
baseline,BW,2
baseline,SD,2
baseline,GG,2
baseline,MV,2
baseline,SZ,2
baseline,LS,2
baseline,MO,2
baseline,AD,2
baseline,ML,2
baseline,BN,2
baseline,LR,2
baseline,AI,1
baseline,KM,1
baseline,MZ,1
baseline,BJ,1
baseline,KY,1
baseline,SL,1
baseline,MP,1
baseline,MS,1
baseline,SO,1
baseline,BF,1
baseline,MR,1
baseline,AF,1
baseline,FK,1
baseline,,1
baseline,AG,1
baseline,BZ,1
baseline,CK,1
baseline,MW,1
spike,DE,84944
spike,NL,44594
spike,CA,23246
spike,US,22337
spike,CN,10780
spike,SG,1158
spike,IN,364
spike,AU,288
spike,GB,259
spike,BR,196
spike,BD,179
spike,PH,134
spike,IT,102
spike,EG,89
spike,TR,81
spike,JP,76
spike,ES,68
spike,VN,63
spike,TH,60
spike,MX,56
spike,BE,54
spike,FR,52
spike,IQ,52
spike,RU,47
spike,HK,46
spike,SE,46
spike,ZA,46
spike,AR,44
spike,ID,43
spike,IE,41
spike,PL,40
spike,CO,40
spike,KR,35
spike,MY,34
spike,NO,33
spike,RO,31
spike,UA,31
spike,MA,31
spike,LT,28
spike,SA,28
spike,PE,26
spike,PT,25
spike,NZ,24
spike,TW,21
spike,MM,21
spike,CH,18
spike,GR,18
spike,FI,17
spike,CR,17
spike,HU,17
spike,EC,16
spike,PK,15
spike,UZ,15
spike,AT,14
spike,BG,13
spike,CZ,13
spike,CL,13
spike,DK,12
spike,NG,11
spike,LK,10
spike,DO,10
spike,EE,10
spike,PR,10
spike,GT,9
spike,IL,8
spike,JM,8
spike,GY,8
spike,VE,8
spike,SI,7
spike,HR,7
spike,JO,6
spike,KZ,6
spike,AE,6
spike,LU,5
spike,BO,5
spike,DZ,5
spike,KE,4
spike,FO,4
spike,BY,4
spike,NP,4
spike,PY,4
spike,UG,4
spike,AM,4
spike,RS,3
spike,NI,3
spike,MG,3
spike,LV,3
spike,PG,3
spike,HN,3
spike,LB,3
spike,TN,3
spike,BA,2
spike,AD,2
spike,CY,2
spike,SK,2
spike,ZW,2
spike,IS,2
spike,KH,2
spike,RE,2
spike,MC,2
spike,KG,2
spike,AZ,2
spike,CI,2
spike,ME,2
spike,SN,1
spike,LI,1
spike,BH,1
spike,TZ,1
spike,IR,1
spike,LY,1
spike,ML,1
spike,OM,1
spike,GP,1
spike,GH,1
spike,UY,1
spike,GE,1
spike,PA,1
spike,LA,1
spike,MD,1
spike,MK,1
spike,MT,1
spike,AO,1
spike,AX,1
spike,MV,1
spike,AG,1
spike,TL,1
spike,YE,1
spike,SY,1
spike,PF,1
spike,,1
spike,FJ,1
