SESSION_DATE,LANDING_PAGE_HOST,SESSIONS,FASTLY_SHIELD_GEO_SESSIONS,SHIELD_GEO_PCT,AVG_PAGEVIEWS,BOUNCE_RATE_PCT,AVG_DURATION_SEC
2026-03-01,app.soundstripe.com,4439,236,5.3,1.09,95.2,40.7
2026-03-01,www.soundstripe.com,223,6,2.7,1.40,87.9,92.6
2026-03-01,adobe.ppro.soundstripe.com,117,7,6.0,1.21,93.2,238.8
2026-03-02,app.soundstripe.com,5605,165,2.9,1.16,91.6,91.7
2026-03-02,www.soundstripe.com,504,15,3.0,1.35,83.5,48.9
2026-03-02,adobe.ppro.soundstripe.com,269,12,4.5,1.12,92.6,205.2
2026-03-03,app.soundstripe.com,5385,537,10.0,1.14,93.4,60.0
2026-03-03,www.soundstripe.com,625,32,5.1,1.29,88.0,47.2
2026-03-03,adobe.ppro.soundstripe.com,269,19,7.1,1.08,94.8,158.8
2026-03-04,app.soundstripe.com,4777,887,18.6,1.16,93.3,67.9
2026-03-04,www.soundstripe.com,759,34,4.5,1.19,90.1,40.8
2026-03-04,adobe.ppro.soundstripe.com,279,18,6.5,1.15,93.2,210.4
2026-03-05,app.soundstripe.com,13860,740,5.3,1.05,97.7,27.4
2026-03-05,www.soundstripe.com,596,31,5.2,1.53,80.9,73.9
2026-03-05,adobe.ppro.soundstripe.com,279,18,6.5,1.18,91.8,237.1
2026-03-06,app.soundstripe.com,8976,1022,11.4,1.14,95.9,39.1
2026-03-06,www.soundstripe.com,523,29,5.5,3.05,79.9,93.8
2026-03-06,adobe.ppro.soundstripe.com,241,16,6.6,1.12,94.2,142.5
2026-03-07,app.soundstripe.com,5014,1009,20.1,1.07,96.3,31.0
2026-03-07,www.soundstripe.com,317,10,3.2,1.35,90.9,240.9
2026-03-07,adobe.ppro.soundstripe.com,144,18,12.5,1.18,91.7,304.2
2026-03-08,app.soundstripe.com,6993,1044,14.9,1.07,96.9,33.8
2026-03-08,www.soundstripe.com,289,9,3.1,1.52,88.2,77.1
2026-03-08,adobe.ppro.soundstripe.com,140,15,10.7,1.08,93.6,212.3
2026-03-09,app.soundstripe.com,5971,1293,21.7,1.17,91.3,119.8
2026-03-09,www.soundstripe.com,412,29,7.0,1.69,76.7,106.3
2026-03-09,adobe.ppro.soundstripe.com,305,29,9.5,1.15,92.8,926.7
