PERIOD,COUNTRY,SESSIONS
peak_spike,DE,33969
peak_spike,NL,17962
peak_spike,US,7461
peak_spike,CN,5922
peak_spike,CA,1285
peak_spike,SG,547
peak_spike,GB,133
peak_spike,AU,133
peak_spike,BD,128
peak_spike,IN,106
peak_spike,PH,66
peak_spike,BR,62
peak_spike,IT,45
peak_spike,TR,28
peak_spike,TH,28
peak_spike,JP,27
peak_spike,VN,26
peak_spike,IE,25
peak_spike,FR,25
peak_spike,SE,23
peak_spike,ZA,23
peak_spike,ES,22
peak_spike,AR,22
peak_spike,RU,22
peak_spike,UA,21
peak_spike,ID,21
peak_spike,PL,20
peak_spike,HK,19
peak_spike,CO,18
peak_spike,KR,18
peak_spike,NO,17
peak_spike,MY,14
peak_spike,TW,12
peak_spike,CR,12
peak_spike,PK,11
peak_spike,MX,11
peak_spike,RO,11
peak_spike,DK,10
peak_spike,FI,10
peak_spike,PE,10
peak_spike,NZ,10
peak_spike,LT,10
peak_spike,GR,10
peak_spike,PT,9
peak_spike,HU,8
peak_spike,CH,8
peak_spike,EC,7
peak_spike,IQ,7
peak_spike,SI,7
peak_spike,SA,6
peak_spike,IL,6
peak_spike,DO,6
peak_spike,BE,6
peak_spike,AT,6
peak_spike,EG,6
peak_spike,CZ,5
peak_spike,GY,5
peak_spike,KZ,5
peak_spike,CL,5
peak_spike,VE,4
peak_spike,MA,4
peak_spike,NG,4
peak_spike,GT,4
peak_spike,UZ,4
peak_spike,PY,3
peak_spike,NP,3
peak_spike,RS,3
peak_spike,MG,3
peak_spike,AM,3
peak_spike,BO,2
peak_spike,IS,2
peak_spike,KE,2
peak_spike,DZ,2
peak_spike,AD,2
peak_spike,LK,2
peak_spike,ME,2
peak_spike,LB,2
peak_spike,AZ,2
peak_spike,LU,2
peak_spike,BY,2
peak_spike,RE,2
peak_spike,HR,2
peak_spike,JO,2
peak_spike,BH,1
peak_spike,EE,1
peak_spike,PF,1
peak_spike,OM,1
peak_spike,MC,1
peak_spike,AE,1
peak_spike,AX,1
peak_spike,JM,1
peak_spike,GH,1
peak_spike,LV,1
peak_spike,CY,1
peak_spike,KH,1
peak_spike,FJ,1
peak_spike,GP,1
peak_spike,SY,1
peak_spike,LI,1
peak_spike,MK,1
peak_spike,CI,1
peak_spike,MV,1
peak_spike,ML,1
peak_spike,SK,1
peak_spike,KG,1
peak_spike,NI,1
peak_spike,UG,1
peak_spike,TN,1
peak_spike,MM,1
peak_spike,TL,1
peak_spike,BA,1
peak_spike,YE,1
pre_consolidation,US,1161
pre_consolidation,SG,420
pre_consolidation,FR,79
pre_consolidation,CN,57
pre_consolidation,GB,40
pre_consolidation,AU,33
pre_consolidation,NL,30
pre_consolidation,CA,30
pre_consolidation,DE,27
pre_consolidation,IN,25
pre_consolidation,IE,24
pre_consolidation,BR,16
pre_consolidation,PH,16
pre_consolidation,KR,13
pre_consolidation,PL,9
pre_consolidation,VN,7
pre_consolidation,EC,6
pre_consolidation,ID,6
pre_consolidation,RU,6
pre_consolidation,TR,5
pre_consolidation,PT,5
pre_consolidation,UA,4
pre_consolidation,EG,4
pre_consolidation,PK,4
pre_consolidation,JP,4
pre_consolidation,ZA,4
pre_consolidation,MX,4
pre_consolidation,SE,4
pre_consolidation,IL,4
pre_consolidation,DK,3
pre_consolidation,MY,3
pre_consolidation,CH,3
pre_consolidation,CZ,3
pre_consolidation,AE,3
pre_consolidation,AR,3
pre_consolidation,NO,3
pre_consolidation,ET,2
pre_consolidation,CO,2
pre_consolidation,NZ,2
pre_consolidation,TH,2
pre_consolidation,ES,2
pre_consolidation,IT,2
pre_consolidation,BD,2
pre_consolidation,LT,2
pre_consolidation,TW,2
pre_consolidation,AZ,1
pre_consolidation,CI,1
pre_consolidation,PA,1
pre_consolidation,YE,1
pre_consolidation,NP,1
pre_consolidation,CL,1
pre_consolidation,EE,1
pre_consolidation,TN,1
pre_consolidation,MD,1
pre_consolidation,SA,1
pre_consolidation,UY,1
pre_consolidation,GR,1
pre_consolidation,HU,1
pre_consolidation,CY,1
pre_consolidation,DO,1
pre_consolidation,HN,1
pre_consolidation,AT,1
pre_consolidation,OM,1
pre_consolidation,IQ,1
pre_consolidation,BE,1
pre_consolidation,LY,1
pre_consolidation,UZ,1
pre_consolidation,HK,1
pre_consolidation,LK,1
pre_consolidation,JO,1
