SESSION_DATE,REPORTED_SESSIONS,CORRECTED_SESSIONS,EXCLUDED_SESSIONS,REPORTED_SIGNUPS,CORRECTED_SIGNUPS,REPORTED_SUBSCRIPTIONS,CORRECTED_SUBSCRIPTIONS,REPORTED_TRANSACTIONS,CORRECTED_TRANSACTIONS,REPORTED_SIGNUP_RATE,REPORTED_SUB_CVR,REPORTED_TXN_CVR,CORRECTED_SIGNUP_RATE,CORRECTED_SUB_CVR,CORRECTED_TXN_CVR
2026-03-01,11921,11921,0,368,368,20,20,5,5,3.087,0.168,0.042,3.087,0.168,0.042
2026-03-02,17815,17815,0,489,489,30,30,5,5,2.745,0.168,0.028,2.745,0.168,0.028
2026-03-03,18514,18514,0,481,481,15,15,9,9,2.598,0.081,0.049,2.598,0.081,0.049
2026-03-04,17202,17202,0,514,514,15,15,7,7,2.988,0.087,0.041,2.988,0.087,0.041
2026-03-05,26593,12772,13821,467,465,23,23,5,5,1.756,0.087,0.019,3.641,0.180,0.039
2026-03-06,21004,12164,8840,511,507,10,10,2,2,2.433,0.048,0.010,4.168,0.082,0.016
2026-03-07,11965,6952,5013,329,324,6,6,2,2,2.750,0.050,0.017,4.661,0.086,0.029
2026-03-08,14244,7334,6910,309,302,19,19,5,5,2.169,0.133,0.035,4.118,0.259,0.068
2026-03-09,17699,12117,5582,478,477,21,21,6,6,2.701,0.119,0.034,3.937,0.173,0.050
2026-03-10,18340,13022,5318,523,518,14,14,10,10,2.852,0.076,0.055,3.978,0.108,0.077
2026-03-11,18781,12534,6247,511,509,10,10,6,6,2.721,0.053,0.032,4.061,0.080,0.048
2026-03-12,19464,13412,6052,515,513,23,23,6,6,2.646,0.118,0.031,3.825,0.172,0.045
2026-03-13,17508,12086,5422,381,376,21,21,7,7,2.176,0.120,0.040,3.111,0.174,0.058
2026-03-14,12001,7222,4779,271,266,12,12,1,1,2.258,0.100,0.008,3.683,0.166,0.014
2026-03-15,11644,7222,4422,292,289,5,5,2,2,2.508,0.043,0.017,4.002,0.069,0.028
2026-03-16,20151,12239,7912,459,451,20,20,4,4,2.278,0.099,0.020,3.685,0.163,0.033
2026-03-17,61208,21058,40150,513,505,26,26,8,8,0.838,0.043,0.013,2.398,0.124,0.038
2026-03-18,85179,17584,67595,485,480,14,14,4,4,0.569,0.016,0.005,2.730,0.080,0.023
2026-03-19,38230,13412,24818,550,546,21,21,6,6,1.439,0.055,0.016,4.071,0.157,0.045
2026-03-20,20881,11328,9553,441,439,25,25,4,4,2.112,0.120,0.019,3.875,0.221,0.035
2026-03-21,12104,7289,4815,310,307,13,13,4,4,2.561,0.107,0.033,4.212,0.178,0.055
2026-03-22,11779,7593,4186,330,327,14,14,3,3,2.802,0.119,0.026,4.307,0.184,0.040
2026-03-23,16860,12896,3964,577,568,28,28,5,5,3.422,0.166,0.030,4.405,0.217,0.039
2026-03-24,19830,13150,6680,544,537,19,19,8,8,2.743,0.096,0.040,4.084,0.145,0.061
2026-03-25,39977,14746,25231,548,543,25,25,5,5,1.371,0.063,0.013,3.682,0.170,0.034
2026-03-26,21351,21351,0,576,576,28,28,5,5,2.698,0.131,0.023,2.698,0.131,0.023
2026-03-27,18872,18872,0,543,543,24,24,3,3,2.877,0.127,0.016,2.877,0.127,0.016
2026-03-28,11638,11638,0,358,358,13,13,3,3,3.076,0.112,0.026,3.076,0.112,0.026
2026-03-29,13255,13255,0,394,394,14,14,1,1,2.973,0.106,0.008,2.973,0.106,0.008
2026-03-30,21218,21218,0,673,673,28,28,10,10,3.172,0.132,0.047,3.172,0.132,0.047
2026-03-31,22872,22872,0,719,719,29,29,5,5,3.144,0.127,0.022,3.144,0.127,0.022
