SESSION_DATE,CHANNEL,SESSIONS,VISITORS
2026-03-01,Affiliate,91,75
2026-03-01,Direct,6186,6007
2026-03-01,Email,111,96
2026-03-01,Organic Search,3676,3056
2026-03-01,Organic Social,78,62
2026-03-01,Paid Content,3,2
2026-03-01,Paid Search,1296,1158
2026-03-01,Paid Social,22,22
2026-03-01,Referral,458,376
2026-03-02,Affiliate,118,90
2026-03-02,Direct,8190,7792
2026-03-02,Email,163,114
2026-03-02,Organic Search,6639,5095
2026-03-02,Organic Social,87,72
2026-03-02,Paid Content,7,5
2026-03-02,Paid Search,1671,1347
2026-03-02,Paid Social,27,26
2026-03-02,Referral,913,595
2026-03-03,Affiliate,106,86
2026-03-03,Direct,8192,7779
2026-03-03,Email,444,379
2026-03-03,Organic Search,6961,5214
2026-03-03,Organic Social,81,66
2026-03-03,Paid Content,4,2
2026-03-03,Paid Search,1697,1404
2026-03-03,Paid Social,30,30
2026-03-03,Referral,999,677
2026-03-04,Affiliate,130,100
2026-03-04,Direct,7474,7074
2026-03-04,Email,211,145
2026-03-04,Organic Search,6651,5016
2026-03-04,Organic Social,83,60
2026-03-04,Paid Content,5,4
2026-03-04,Paid Search,1627,1317
2026-03-04,Paid Social,34,34
2026-03-04,Referral,987,674
2026-03-05,Affiliate,122,101
2026-03-05,Direct,16417,16025
2026-03-05,Email,395,331
2026-03-05,Organic Search,6783,5154
2026-03-05,Organic Social,79,62
2026-03-05,Paid Content,3,2
2026-03-05,Paid Search,1785,1469
2026-03-05,Paid Social,43,40
2026-03-05,Referral,966,648
2026-03-06,Affiliate,103,89
2026-03-06,Direct,11373,10988
2026-03-06,Email,473,394
2026-03-06,Organic Search,6351,4841
2026-03-06,Organic Social,89,72
2026-03-06,Paid Content,1,1
2026-03-06,Paid Search,1737,1438
2026-03-06,Paid Social,26,26
2026-03-06,Referral,851,598
2026-03-07,Affiliate,98,92
2026-03-07,Direct,6854,6677
2026-03-07,Email,129,107
2026-03-07,Organic Search,3505,2976
2026-03-07,Organic Social,90,87
2026-03-07,Paid Search,840,748
2026-03-07,Paid Social,16,16
2026-03-07,Referral,433,364
2026-03-08,Affiliate,98,86
2026-03-08,Direct,8837,8652
2026-03-08,Email,78,62
2026-03-08,Organic Search,3572,3035
2026-03-08,Organic Social,77,69
2026-03-08,Paid Search,1068,943
2026-03-08,Paid Social,18,18
2026-03-08,Referral,496,384
2026-03-09,Affiliate,113,99
2026-03-09,Direct,8335,7901
2026-03-09,Email,158,106
2026-03-09,Organic Search,6445,4946
2026-03-09,Organic Social,102,90
2026-03-09,Paid Search,1692,1410
2026-03-09,Paid Social,37,34
2026-03-09,Referral,817,607
2026-03-10,Affiliate,96,81
2026-03-10,Direct,8256,7839
2026-03-10,Email,492,426
2026-03-10,Organic Search,6714,5169
2026-03-10,Organic Social,102,82
2026-03-10,Paid Content,1,1
2026-03-10,Paid Search,1737,1427
2026-03-10,Paid Social,34,22
2026-03-10,Referral,908,674
2026-03-11,Affiliate,128,94
2026-03-11,Direct,9035,8580
2026-03-11,Email,206,154
2026-03-11,Organic Search,6670,5032
2026-03-11,Organic Social,97,78
2026-03-11,Paid Content,4,4
2026-03-11,Paid Search,1654,1353
2026-03-11,Paid Social,36,34
2026-03-11,Referral,951,652
2026-03-12,Affiliate,136,89
2026-03-12,Direct,9049,8559
2026-03-12,Email,352,292
2026-03-12,Organic Search,7062,5397
2026-03-12,Organic Social,106,97
2026-03-12,Paid Content,6,4
2026-03-12,Paid Search,1698,1369
2026-03-12,Paid Social,22,18
2026-03-12,Referral,1033,673
2026-03-13,Affiliate,123,86
2026-03-13,Direct,7967,7573
2026-03-13,Email,877,804
2026-03-13,Organic Search,6211,4692
2026-03-13,Organic Social,78,68
2026-03-13,Paid Content,6,6
2026-03-13,Paid Search,1333,1085
2026-03-13,Paid Social,29,29
2026-03-13,Referral,884,615
2026-03-14,Affiliate,85,72
2026-03-14,Direct,6770,6587
2026-03-14,Email,103,75
2026-03-14,Organic Search,3659,3072
2026-03-14,Organic Social,100,92
2026-03-14,Paid Search,700,598
2026-03-14,Paid Social,31,29
2026-03-14,Referral,553,451
2026-03-15,Affiliate,105,89
2026-03-15,Direct,6397,6214
2026-03-15,Email,68,52
2026-03-15,Organic Search,3630,3066
2026-03-15,Organic Social,135,116
2026-03-15,Paid Content,1,1
2026-03-15,Paid Search,774,652
2026-03-15,Paid Social,28,28
2026-03-15,Referral,506,432
2026-03-16,Affiliate,103,84
2026-03-16,Direct,10751,10353
2026-03-16,Email,196,144
2026-03-16,Organic Search,6394,4936
2026-03-16,Organic Social,118,99
2026-03-16,Paid Content,2,2
2026-03-16,Paid Search,1571,1274
2026-03-16,Paid Social,52,49
2026-03-16,Referral,964,679
2026-03-17,Affiliate,112,100
2026-03-17,Direct,51852,51485
2026-03-17,Email,199,146
2026-03-17,Organic Search,6442,5242
2026-03-17,Organic Social,117,98
2026-03-17,Paid Content,1,1
2026-03-17,Paid Search,1450,1266
2026-03-17,Paid Social,76,73
2026-03-17,Referral,959,684
2026-03-18,Affiliate,108,85
2026-03-18,Direct,75166,74765
2026-03-18,Email,168,107
2026-03-18,Organic Search,6848,5335
2026-03-18,Organic Social,112,99
2026-03-18,Paid Content,2,1
2026-03-18,Paid Search,1777,1465
2026-03-18,Paid Social,47,45
2026-03-18,Referral,951,628
2026-03-19,Affiliate,114,89
2026-03-19,Direct,27517,27093
2026-03-19,Email,438,319
2026-03-19,Organic Search,7355,5762
2026-03-19,Organic Social,110,96
2026-03-19,Paid Content,4,4
2026-03-19,Paid Search,1613,1306
2026-03-19,Paid Social,53,47
