DATE,VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,TWO_SIGMA_UPPER,TWO_SIGMA_LOWER,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-01-01,10422,,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,true,false,false,false,true
2023-01-02,14326,3904,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-03,17855,3529,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-04,18898,1043,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-05,19187,289,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-06,17972,1215,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-07,12517,5455,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-01-08,13274,757,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-01-09,18671,5397,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-10,20025,1354,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-11,19200,825,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-12,19599,399,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-13,18008,1591,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-14,12811,5197,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-01-15,12581,230,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,true,false,true
2023-01-16,17132,4551,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
2023-01-17,19718,2586,17954.62,2543.62,24720.66,11188.59,8310.01,22456.83,13452.41,false,false,false,false,false
