DATE,METRIC_NAME,METRIC_VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-01-01,ACTIVE_MONTHLY_SUBSCRIBERS,17723,,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-02,ACTIVE_MONTHLY_SUBSCRIBERS,17736,13,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-03,ACTIVE_MONTHLY_SUBSCRIBERS,17736,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-04,ACTIVE_MONTHLY_SUBSCRIBERS,17741,5,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-05,ACTIVE_MONTHLY_SUBSCRIBERS,17752,11,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-06,ACTIVE_MONTHLY_SUBSCRIBERS,17739,13,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-07,ACTIVE_MONTHLY_SUBSCRIBERS,17726,13,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-08,ACTIVE_MONTHLY_SUBSCRIBERS,17737,11,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-09,ACTIVE_MONTHLY_SUBSCRIBERS,17749,12,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-10,ACTIVE_MONTHLY_SUBSCRIBERS,17771,22,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-11,ACTIVE_MONTHLY_SUBSCRIBERS,17771,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-12,ACTIVE_MONTHLY_SUBSCRIBERS,17782,11,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-13,ACTIVE_MONTHLY_SUBSCRIBERS,17782,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-14,ACTIVE_MONTHLY_SUBSCRIBERS,17757,25,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-15,ACTIVE_MONTHLY_SUBSCRIBERS,17737,20,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-16,ACTIVE_MONTHLY_SUBSCRIBERS,17735,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-17,ACTIVE_MONTHLY_SUBSCRIBERS,17740,5,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-18,ACTIVE_MONTHLY_SUBSCRIBERS,17742,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-01-19,ACTIVE_MONTHLY_SUBSCRIBERS,17745,3,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
