DATE,DOW,METRIC_NAME,METRIC_VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-01-01,0,CLICKS,2952,,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,false,false
2023-01-08,0,CLICKS,3173,221,2465.15,350.31,3396.97,1533.34,1144.46,false,false,true,false,true
2023-01-15,0,CLICKS,3479,306,2465.15,350.31,3396.97,1533.34,1144.46,true,false,true,false,true
2023-01-22,0,CLICKS,2237,1242,2465.15,350.31,3396.97,1533.34,1144.46,false,false,false,true,true
2023-01-29,0,CLICKS,2758,521,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2023-02-05,0,CLICKS,3455,697,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-02-12,0,CLICKS,3275,180,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2023-02-19,0,CLICKS,3749,474,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-02-26,0,CLICKS,3003,746,2465.15,350.31,3396.97,1533.34,1144.46,false,true,false,false,true
2023-03-05,0,CLICKS,3231,228,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2023-03-12,0,CLICKS,4244,1013,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-03-19,0,CLICKS,5174,930,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-03-26,0,CLICKS,8713,3539,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-04-02,0,CLICKS,3200,5513,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,true,true
2023-04-09,0,CLICKS,1825,1375,2465.15,350.31,3396.97,1533.34,1144.46,false,false,true,true,true
2023-04-16,0,CLICKS,3483,1658,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-04-23,0,CLICKS,4886,1403,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,true,true
2023-04-30,0,CLICKS,3808,1078,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-05-07,0,CLICKS,3646,162,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-05-14,0,CLICKS,3400,246,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-05-21,0,CLICKS,3687,287,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-05-28,0,CLICKS,3122,565,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2023-06-04,0,CLICKS,3362,240,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2023-06-11,0,CLICKS,3401,39,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-06-18,0,CLICKS,3303,98,2465.15,350.31,3396.97,1533.34,1144.46,false,true,true,false,true
2023-06-25,0,CLICKS,4165,862,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-07-02,0,CLICKS,5066,901,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-07-09,0,CLICKS,5729,663,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-07-16,0,CLICKS,6568,839,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
2023-07-23,0,CLICKS,6994,426,2465.15,350.31,3396.97,1533.34,1144.46,true,true,true,false,true
