DATE,METRIC_NAME,YOY_DELTA,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2024-01-01,DELTA_ACTIVE_SUBSCRIBERS,-4515,,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-02,DELTA_ACTIVE_SUBSCRIBERS,-4550,35,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-03,DELTA_ACTIVE_SUBSCRIBERS,-4572,22,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-04,DELTA_ACTIVE_SUBSCRIBERS,-4618,46,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-05,DELTA_ACTIVE_SUBSCRIBERS,-4651,33,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-06,DELTA_ACTIVE_SUBSCRIBERS,-4663,12,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-07,DELTA_ACTIVE_SUBSCRIBERS,-4665,2,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-08,DELTA_ACTIVE_SUBSCRIBERS,-4652,13,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-09,DELTA_ACTIVE_SUBSCRIBERS,-4697,45,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-10,DELTA_ACTIVE_SUBSCRIBERS,-4734,37,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-11,DELTA_ACTIVE_SUBSCRIBERS,-4751,17,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-12,DELTA_ACTIVE_SUBSCRIBERS,-4796,45,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-13,DELTA_ACTIVE_SUBSCRIBERS,-4820,24,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-14,DELTA_ACTIVE_SUBSCRIBERS,-4824,4,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-15,DELTA_ACTIVE_SUBSCRIBERS,-4793,31,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-16,DELTA_ACTIVE_SUBSCRIBERS,-4793,0,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-17,DELTA_ACTIVE_SUBSCRIBERS,-4834,41,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-18,DELTA_ACTIVE_SUBSCRIBERS,-4840,6,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-19,DELTA_ACTIVE_SUBSCRIBERS,-4844,4,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-20,DELTA_ACTIVE_SUBSCRIBERS,-4822,22,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-21,DELTA_ACTIVE_SUBSCRIBERS,-4786,36,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-22,DELTA_ACTIVE_SUBSCRIBERS,-4756,30,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-23,DELTA_ACTIVE_SUBSCRIBERS,-4753,3,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-24,DELTA_ACTIVE_SUBSCRIBERS,-4758,5,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-25,DELTA_ACTIVE_SUBSCRIBERS,-4794,36,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-26,DELTA_ACTIVE_SUBSCRIBERS,-4833,39,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-27,DELTA_ACTIVE_SUBSCRIBERS,-4865,32,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-28,DELTA_ACTIVE_SUBSCRIBERS,-4865,0,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-29,DELTA_ACTIVE_SUBSCRIBERS,-4854,11,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-30,DELTA_ACTIVE_SUBSCRIBERS,-4884,30,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-01-31,DELTA_ACTIVE_SUBSCRIBERS,-4903,19,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-02-01,DELTA_ACTIVE_SUBSCRIBERS,-4916,13,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-02-02,DELTA_ACTIVE_SUBSCRIBERS,-4946,30,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-02-03,DELTA_ACTIVE_SUBSCRIBERS,-4986,40,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-02-04,DELTA_ACTIVE_SUBSCRIBERS,-5029,43,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-02-05,DELTA_ACTIVE_SUBSCRIBERS,-5030,1,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-02-06,DELTA_ACTIVE_SUBSCRIBERS,-5072,42,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-02-07,DELTA_ACTIVE_SUBSCRIBERS,-5097,25,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-02-08,DELTA_ACTIVE_SUBSCRIBERS,-5111,14,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
