XMR_TYPE,METRIC_NAME,LATEST_DATE,LATEST_VALUE,X_BAR,MR_BAR,UNPL,LNPL,BEYOND_LIMITS,PCT_TO_LIMIT
STANDARD,ACTIVE_MONTHLY_SUBSCRIBERS,2026-04-03,7630,11743.26,12.14,11775.56,11710.95,true,-12732.9
STANDARD,ACTIVE_SUBSCRIBERS,2026-04-03,31111,41789.9,22.32,41849.28,41730.52,true,-17984.9
STANDARD,ACTIVE_YEARLY_SUBSCRIBERS,2026-04-03,22471,28768.31,10.6,28796.51,28740.12,true,-22334.1
STANDARD,CHURNED_SUBSCRIBERS,2026-04-03,40,64.47,10.2,91.6,37.33,false,-90.2
STANDARD,CORE_MIXPANEL_SUBSCRIPTIONS,2026-04-03,0,43.3,9,67.24,19.36,true,-180.9
STANDARD,CORE_SPEND,2026-04-03,64.63,4570.65,453.57,5777.14,3364.17,true,-373.5
STANDARD,CORE_VISITORS,2026-04-03,675,17954.19,2543.49,24719.87,11188.51,true,-255.4
STANDARD,MIXPANEL_SUBSCRIPTIONS,2026-04-03,0,43.3,9,67.24,19.36,true,-180.9
STANDARD,MRR,2026-04-03,564522,727732.01,410.38,728823.62,726640.41,true,-14951.4
STANDARD,NET_CHG_ACTIVE_SUBSCRIBERS,2026-04-03,-34,-21.13,14.13,16.46,0,true,-34.2
STANDARD,NET_CHG_MRR,2026-04-03,-848,-363.11,358.01,589.2,0,true,-50.9
STANDARD,NEW_SUBSCRIBERS,2026-04-03,6,30.77,7.94,51.9,9.63,true,-117.2
STANDARD,SESSIONS,2026-04-03,675,21894.2,3283.72,30628.9,13159.5,true,-242.9
STANDARD,SPEND,2026-04-03,64.63,4570.65,453.57,5777.14,3364.17,true,-373.5
STANDARD,TOTAL_TRANSACTIONS,2026-04-03,1,8.47,4.27,19.82,0,false,-65.8
STANDARD,VISITORS,2026-04-03,675,17954.62,2543.62,24720.66,11188.59,true,-255.4
YOY_DELTA,DELTA_ACTIVE_SUBSCRIBERS,2026-04-03,-9702,-5972.39,20.62,-5917.55,-6027.23,true,-6800.9
YOY_DELTA,DELTA_CORE_SPEND,2026-04-03,-4676.4,-690.82,921.55,1760.49,-3142.14,true,-162.6
YOY_DELTA,DELTA_CORE_VISITORS,2026-04-03,-20172,-73.53,3627.64,9575.99,-9723.06,true,-208.3
YOY_DELTA,DELTA_MRR,2026-04-03,-147532,-103305.39,429.19,-102163.75,-104447.04,true,-3873.9
YOY_DELTA,DELTA_SPEND,2026-04-03,-4676.4,-497.91,935.18,1989.67,-2985.5,true,-168
YOY_DELTA,DELTA_VISITORS,2026-04-03,-20172,-59.9,3635.48,9610.47,-9730.27,true,-208
