METRIC_NAME,MIN_STABLE_WINDOW,CONVERGENCE_DATE,CONVERGED_MR_BAR,TOTAL_POINTS
ACTIVE_MONTHLY_SUBSCRIBERS,27,2023-01-27,10.8077,1189
ACTIVE_SUBSCRIBERS,27,2023-01-27,15.2308,1189
ACTIVE_YEARLY_SUBSCRIBERS,18,2023-01-18,6.2353,1189
CHURNED_SUBSCRIBERS,20,2023-01-20,11.8421,1189
CORE_MIXPANEL_SUBSCRIPTIONS,19,2023-01-19,17.0556,1189
CORE_SPEND,23,2023-01-23,903.0218,1189
CORE_VISITORS,35,2023-02-04,2352.5294,1189
MIXPANEL_SUBSCRIPTIONS,19,2023-01-19,17.0556,1189
MRR,27,2023-01-27,311.1923,1189
NET_CHG_ACTIVE_SUBSCRIBERS,20,2023-01-20,20.4737,1189
NET_CHG_MRR,28,2023-01-28,316.5185,1189
NEW_SUBSCRIBERS,19,2023-01-19,13.1111,1189
SESSIONS,35,2023-02-04,3080.0294,1189
SPEND,23,2023-01-23,903.0218,1189
TOTAL_TRANSACTIONS,21,2023-01-21,2.2,1189
VISITORS,35,2023-02-04,2352.5294,1189
