WEEK_START,VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,TWO_SIGMA_UPPER,TWO_SIGMA_LOWER,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,SIGNAL_RULE_4,MR_SIGNAL,ANY_SIGNAL
2024-01-01,356,123,399.10,37.16,497.94,300.26,121.39,464.87,333.33,false,true,false,false,true,true
2024-01-08,361,5,398.45,41.45,508.71,288.19,135.42,471.82,325.08,false,true,false,false,false,true
2024-01-15,374,13,398.15,41.60,508.81,287.49,135.91,471.78,324.52,false,true,false,false,false,true
2024-01-22,354,20,398.05,41.80,509.24,286.86,136.56,472.04,324.06,false,true,false,false,false,true
2024-01-29,327,27,398.85,40.90,507.64,290.06,133.62,471.24,326.46,false,true,false,false,false,true
2024-02-05,323,4,396.35,40.30,503.55,289.15,131.66,467.68,325.02,false,true,true,false,false,true
2024-02-12,289,34,392.90,39.75,498.64,287.17,129.86,463.26,322.54,false,true,true,false,false,true
2024-02-19,301,12,386.90,40.60,494.90,278.90,132.64,458.76,315.04,false,true,true,false,false,true
2024-02-26,326,25,381.30,41.00,490.36,272.24,133.95,453.87,308.73,false,true,false,false,false,true
2024-03-04,366,40,377.35,41.85,488.67,266.03,136.72,451.42,303.28,false,true,false,false,false,true
2024-03-11,314,52,375.40,43.85,492.04,258.76,143.26,453.01,297.79,false,true,false,false,false,true
2024-03-18,303,11,369.40,45.00,489.10,249.70,147.02,449.05,289.75,false,true,false,false,false,true
2024-03-25,279,24,363.10,45.30,483.60,242.60,148.00,443.28,282.92,false,true,true,false,false,true
2024-04-01,239,40,357.10,45.00,476.80,237.40,147.02,436.75,277.45,false,true,true,false,false,true
2024-04-08,270,31,348.70,46.60,472.66,224.74,152.24,431.18,266.22,false,true,false,false,false,true
2024-04-15,326,56,338.80,45.10,458.77,218.83,147.34,418.63,258.97,false,true,false,false,false,true
2024-04-22,355,29,326.55,42.75,440.27,212.84,139.66,402.22,250.88,false,true,false,false,false,true
2024-04-29,348,7,322.75,37.20,421.70,223.80,121.53,388.59,256.91,false,true,false,false,false,true
2024-05-06,343,5,320.35,35.80,415.58,225.12,116.96,383.72,256.98,false,true,false,false,false,true
2024-05-13,371,28,319.35,34.40,410.85,227.85,112.38,380.24,258.46,false,true,false,false,false,true
2024-05-20,332,39,326.25,29.30,404.19,248.31,95.72,378.11,274.39,false,true,false,false,false,true
2024-05-27,345,13,325.05,25.10,391.82,258.28,82.00,369.48,280.62,false,true,false,false,false,true
2024-06-03,326,19,324.25,25.50,392.08,256.42,83.31,369.39,279.12,false,true,false,false,false,true
2024-06-10,326,0,321.85,25.80,390.48,253.22,84.29,367.52,276.18,false,true,false,false,false,true
2024-06-17,290,36,320.45,24.80,386.42,254.48,81.02,364.35,276.55,false,false,false,false,false,false
2024-06-24,270,20,318.60,25.25,385.77,251.44,82.49,363.29,273.91,false,false,false,false,false,false
2024-07-01,285,15,315.95,26.05,385.24,246.66,85.11,362.06,269.84,false,false,false,false,false,false
