WEEK_START,VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,TWO_SIGMA_UPPER,TWO_SIGMA_LOWER,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,SIGNAL_RULE_4,MR_SIGNAL,ANY_SIGNAL
2024-01-01,141569,14341,151269.20,9776.37,177274.34,125264.06,31939.39,168573.37,133965.03,false,false,false,false,false,false
2024-01-08,138042,3527,152028.10,10004.60,178640.34,125415.86,32685.03,169736.24,134319.96,false,false,false,false,false,false
2024-01-15,146860,8818,152652.55,10139.05,179622.42,125682.68,33124.28,170598.67,134706.43,false,false,false,false,false,false
2024-01-22,155564,8704,153609.25,10471.30,181462.91,125755.59,34209.74,172143.45,135075.05,false,true,false,false,false,true
2024-01-29,157905,2341,155250.80,10656.85,183598.02,126903.58,34815.93,174113.42,136388.18,false,true,false,false,false,true
2024-02-05,159800,1895,156333.20,10097.70,183193.08,129473.32,32989.19,174206.13,138460.27,false,true,false,false,false,true
2024-02-12,157666,2134,157298.70,9980.80,183847.63,130749.77,32607.27,174964.72,139632.68,false,true,false,false,false,true
2024-02-19,162634,4968,157062.35,8992.35,180982.00,133142.70,29378.01,172978.81,141145.89,false,true,false,false,false,true
2024-02-26,174710,12076,156319.85,8486.20,178893.14,133746.56,27724.42,171340.42,141299.28,false,true,true,false,false,true
2024-03-04,184916,10206,156964.60,8306.55,179060.02,134869.18,27137.50,171667.19,142262.01,true,true,true,false,false,true
2024-03-11,174609,10307,158291.75,8644.75,181286.79,135296.72,28242.40,173592.96,142990.54,false,true,true,false,false,true
2024-03-18,170046,4563,158398.60,8455.15,180889.30,135907.90,27622.98,173364.22,143432.98,false,true,false,false,false,true
2024-03-25,163634,6412,158460.25,8500.35,181071.18,135849.32,27770.64,173505.87,143414.63,false,true,false,false,false,true
2024-04-01,179955,16321,158874.65,8147.60,180547.27,137202.03,26618.21,173295.90,144453.40,false,true,false,false,false,true
2024-04-08,172928,7027,159994.60,8853.15,183543.98,136445.22,28923.24,175664.68,144324.52,false,true,false,false,false,true
2024-04-15,148159,24769,161195.35,8772.35,184529.80,137860.90,28659.27,176722.41,145668.29,false,false,false,false,false,false
2024-04-22,150552,2393,160216.05,9069.20,184340.12,136091.98,29629.08,176268.53,144163.57,false,false,false,false,false,false
2024-04-29,155521,4969,159467.15,9078.10,183614.90,135319.40,29658.15,175535.39,143398.91,false,false,false,false,false,false
2024-05-06,148620,6901,158905.25,9265.10,183550.42,134260.08,30269.08,175304.48,142506.02,false,false,false,false,false,false
2024-05-13,165519,16899,158545.90,9062.55,182652.28,134439.52,29607.35,174586.61,142505.19,false,false,false,false,false,false
2024-05-20,147801,17718,160460.45,8478.55,183013.39,137907.51,27699.42,175467.48,145453.42,false,true,false,true,false,true
2024-05-27,138775,9026,160772.05,8647.40,183774.13,137769.97,28251.06,176077.95,145466.15,false,true,true,true,false,true
2024-06-03,134335,4440,160808.70,8922.35,184542.15,137075.25,29149.32,176601.26,145016.14,true,true,true,true,false,true
2024-06-10,126451,7884,160182.45,8703.45,183333.63,137031.27,28434.17,175587.56,144777.34,true,true,true,true,false,true
2024-06-17,110960,15491,158726.80,8662.45,181768.92,135684.68,28300.22,174059.34,143394.26,true,true,true,true,false,true
2024-06-24,108477,2483,156379.55,9319.95,181170.62,131588.48,30448.28,172875.86,139883.24,true,true,true,true,false,true
