WEEK_START,LANDING_PAGE_HOST,MONETIZED_SESSIONS,WITH_HAS_APP_VIEW,WITH_HAS_WWW_VIEW,WITH_NEITHER_VIEW_FLAG,SUM_PURCHASE_REV
2025-12-22,app.soundstripe.com,88,88,15,0,2781.000000
2025-12-22,www.soundstripe.com,61,60,61,0,447.000000
2025-12-22,,3,3,0,0,0.000000
2025-12-22,adobe.ppro.soundstripe.com,1,1,1,0,0.000000
2025-12-29,www.soundstripe.com,58,58,56,0,996.000000
2025-12-29,app.soundstripe.com,56,56,12,0,1739.000000
2025-12-29,,1,1,0,0,0.000000
2026-01-05,www.soundstripe.com,87,85,86,0,2083.000000
2026-01-05,app.soundstripe.com,81,81,10,0,2387.000000
2026-01-05,,2,2,0,0,0.000000
2026-01-12,app.soundstripe.com,94,94,31,0,5176.000000
2026-01-12,www.soundstripe.com,76,74,76,0,2236.000000
2026-01-12,,1,1,1,0,0.000000
2026-01-19,app.soundstripe.com,132,132,62,0,4376.000000
2026-01-19,www.soundstripe.com,39,37,39,0,1343.000000
2026-01-19,,4,4,1,0,0.000000
2026-01-26,app.soundstripe.com,165,165,68,0,7210.000000
2026-01-26,www.soundstripe.com,23,21,23,0,448.000000
2026-01-26,,1,1,1,0,0.000000
2026-02-02,app.soundstripe.com,112,112,21,0,5267.000000
2026-02-02,www.soundstripe.com,92,86,92,0,5875.000000
2026-02-02,,4,4,1,0,0.000000
2026-02-09,app.soundstripe.com,104,104,13,0,4774.000000
2026-02-09,www.soundstripe.com,83,82,82,0,790.000000
2026-02-09,,2,2,0,0,0.000000
2026-02-09,adobe.ppro.soundstripe.com,2,2,0,0,0.000000
2026-02-16,app.soundstripe.com,101,100,18,1,3671.000000
2026-02-16,www.soundstripe.com,91,91,89,0,2382.000000
2026-02-16,adobe.ppro.soundstripe.com,3,3,1,0,0.000000
2026-02-16,,2,2,0,0,0.000000
2026-02-23,app.soundstripe.com,130,130,18,0,6460.000000
2026-02-23,www.soundstripe.com,86,81,85,1,1439.000000
2026-02-23,adobe.ppro.soundstripe.com,2,2,2,0,0.000000
2026-02-23,,2,2,0,0,0.000000
2026-03-02,app.soundstripe.com,98,98,29,0,5772.000000
2026-03-02,www.soundstripe.com,82,81,81,0,1338.000000
2026-03-02,adobe.ppro.soundstripe.com,1,1,1,0,0.000000
2026-03-09,www.soundstripe.com,91,89,91,0,3527.000000
2026-03-09,app.soundstripe.com,80,80,23,0,5680.000000
2026-03-09,,1,1,0,0,0.000000
2026-03-16,www.soundstripe.com,170,11,170,0,7309.000000
2026-03-16,app.soundstripe.com,15,15,6,0,346.000000
2026-03-16,,1,0,1,0,0.000000
2026-03-23,www.soundstripe.com,197,0,197,0,8365.000000
2026-03-23,,5,0,5,0,0.000000
2026-03-30,www.soundstripe.com,249,0,249,0,6860.000000
2026-03-30,,2,0,2,0,0.000000
2026-03-30,adobe.ppro.soundstripe.com,1,0,1,0,0.000000
2026-04-06,www.soundstripe.com,194,0,194,0,6322.000000
2026-04-06,,4,0,4,0,0.000000
2026-04-06,app.soundstripe.com,1,1,1,0,98.000000
