POPULATION,SECTION,EVENTS,PCT_OF_POP,UNIQUE_PATHS,EVENTS_PER_PATH,TOP10_EVENTS,TOP10_SHARE_PCT
spike_apac_direct,library/sound-effects/{id},88628,57.8,20797,4.26,183,0.2
spike_apac_direct,library/songs/{id},29800,19.4,6840,4.36,160,0.5
spike_apac_direct,library/video*,26899,17.5,6658,4.04,895,3.3
spike_apac_direct,library/royalty-free-music*,2312,1.5,52,44.46,2056,88.9
spike_apac_direct,library/other,1973,1.3,340,5.80,539,27.3
spike_apac_direct,(homepage),878,0.6,1,878.00,878,100.0
spike_apac_direct,library (root),602,0.4,2,301.00,602,100.0
spike_apac_direct,library/sound-effects (root),593,0.4,1,593.00,593,100.0
spike_apac_direct,non-library,541,0.4,77,7.03,264,48.8
spike_apac_direct,blogs*,501,0.3,94,5.33,142,28.3
spike_apac_direct,library/playlists*,458,0.3,87,5.26,166,36.2
spike_apac_direct,library/auth*,143,0.1,2,71.50,143,100.0
spike_apac_direct,library/pricing*,46,0.0,1,46.00,46,100.0
us_direct_control,(homepage),19186,22.6,1,19186.00,19186,100.0
us_direct_control,library/royalty-free-music*,18174,21.4,85,213.81,15682,86.3
us_direct_control,library/songs/{id},8568,10.1,1656,5.17,460,5.4
us_direct_control,library (root),7631,9.0,2,3815.50,7631,100.0
us_direct_control,library/sound-effects/{id},7039,8.3,1559,4.52,249,3.5
us_direct_control,library/other,6020,7.1,363,16.58,3120,51.8
us_direct_control,library/playlists*,3701,4.4,201,18.41,2009,54.3
us_direct_control,library/sound-effects (root),3688,4.3,1,3688.00,3688,100.0
us_direct_control,non-library,3429,4.0,139,24.67,2319,67.6
us_direct_control,blogs*,3423,4.0,370,9.25,1285,37.5
us_direct_control,library/auth*,2549,3.0,2,1274.50,2549,100.0
us_direct_control,library/video*,821,1.0,79,10.39,600,73.1
us_direct_control,library/pricing*,729,0.9,1,729.00,729,100.0
us_referred_control,library/royalty-free-music*,42253,22.4,92,459.27,37164,88.0
us_referred_control,(homepage),35019,18.5,1,35019.00,35019,100.0
us_referred_control,library (root),26728,14.1,2,13364.00,26728,100.0
us_referred_control,blogs*,18154,9.6,285,63.70,10983,60.5
us_referred_control,library/other,10473,5.5,427,24.53,7211,68.9
us_referred_control,non-library,10036,5.3,107,93.79,7891,78.6
us_referred_control,library/auth*,9806,5.2,2,4903.00,9806,100.0
us_referred_control,library/sound-effects/{id},9380,5.0,1598,5.87,618,6.6
us_referred_control,library/songs/{id},7586,4.0,1358,5.59,623,8.2
us_referred_control,library/sound-effects (root),6489,3.4,1,6489.00,6489,100.0
us_referred_control,library/video*,5242,2.8,1014,5.17,1448,27.6
us_referred_control,library/playlists*,5202,2.8,180,28.90,3213,61.8
us_referred_control,library/pricing*,2562,1.4,1,2562.00,2562,100.0
