DATE,DIRECT_SESSIONS,BOUNCED,BOUNCE_PCT,AVG_DURATION_SEC,FIRST_EVER_SESSIONS,FIRST_EVER_PCT,MOBILE_APP,DESKTOP,MOBILE_WEB,TABLET,DEVICE_OTHER_OR_NULL
2026-04-01,6372,5615,88.1,125,5341,83.8,0,0,0,0,6372
2026-04-02,6840,6088,89.0,111,5936,86.8,0,0,0,0,6840
2026-04-03,6359,5746,90.4,90,5690,89.5,0,0,0,0,6359
2026-04-04,5609,4846,86.4,91,5100,90.9,0,0,0,0,5609
2026-04-05,7238,6765,93.5,64,6751,93.3,0,0,0,0,7238
2026-04-06,12407,11726,94.5,57,11486,92.6,0,0,0,0,12407
2026-04-07,8178,7379,90.2,117,7212,88.2,0,0,0,0,8178
2026-04-08,8395,7649,91.1,107,7481,89.1,0,0,0,0,8395
2026-04-09,5736,5037,87.8,154,4891,85.3,0,0,0,0,5736
2026-04-10,5472,4689,85.7,152,4517,82.5,0,0,0,0,5472
2026-04-11,4894,4433,90.6,106,4373,89.4,0,0,0,0,4894
2026-04-12,4710,4220,89.6,106,4229,89.8,0,0,0,0,4710
2026-04-13,7881,7103,90.1,100,6919,87.8,0,0,0,0,7881
2026-04-14,14729,13816,93.8,61,13622,92.5,0,0,0,0,14729
2026-04-15,16291,15434,94.7,61,15244,93.6,0,0,0,0,16291
2026-04-16,30622,29600,96.7,33,29712,97.0,0,0,0,0,30622
2026-04-17,1048,1013,96.7,15,1018,97.1,0,0,0,0,1048
