LANDING_PAGE_HOST,LANDING_PAGE_PATH,DIRECT_SESSIONS_SPIKE,BOUNCED,BOUNCE_PCT,AVG_DUR_SEC
www.soundstripe.com,library/royalty-free-music,1869,1622,86.8,275
www.soundstripe.com,"",1004,575,57.3,188
adobe.ppro.soundstripe.com,"",933,884,94.7,216
www.soundstripe.com,library/sound-effects,582,531,91.2,117
www.soundstripe.com,library/,455,274,60.2,214
www.soundstripe.com,library/video,429,425,99.1,6
www.soundstripe.com,library/sign_in,343,304,88.6,55
www.soundstripe.com,library/pricing,337,286,84.9,53
(null),(null),256,0,0.0,2373
www.soundstripe.com,library,241,74,30.7,420
www.soundstripe.com,library/signup,188,135,71.8,89
www.soundstripe.com,library/playlists/music,63,43,68.3,1079
www.soundstripe.com,library/sound-effects/7625,42,38,90.5,56
www.soundstripe.com,blogs/10-music-placements-in-tv-that-have-stuck-with-me,38,38,100.0,9
www.soundstripe.com,blogs/best-free-music-websites,37,35,94.6,20
www.soundstripe.com,library/royalty-free-music/genre/electronic,31,29,93.5,334
www.soundstripe.com,library/sound-effects/7624,30,28,93.3,26
www.soundstripe.com,library/royalty-free-music/mood/hopeful,28,26,92.9,193
www.soundstripe.com,library/royalty-free-music/mood/inspiring,28,25,89.3,1605
www.soundstripe.com,library/careers,27,27,100.0,33
www.soundstripe.com,terms-of-use,25,21,84.0,83
www.soundstripe.com,library/royalty-free-music/mood/fun,24,22,91.7,128
www.soundstripe.com,library/royalty-free-music/mood/romantic,24,20,83.3,81
www.soundstripe.com,library/reset_password,21,10,47.6,95
www.soundstripe.com,blogs/best-royalty-free-music-for-instagram,20,18,90.0,40
www.soundstripe.com,blogs/what-is-sound-design-in-film,20,20,100.0,32
www.soundstripe.com,library/royalty-free-music/characteristic/upbeat,20,19,95.0,424
www.soundstripe.com,library/royalty-free-music/mood/happy,20,18,90.0,456
www.soundstripe.com,library/royalty-free-music/instrument/strings,20,19,95.0,32
www.soundstripe.com,library/songs/40276,19,13,68.4,145
