BROWSER,BASELINE_1_13,D0414,D0415,D0416
Chrome,54681,9363,14024,28896
Mobile Safari,4405,353,338,363
Safari,2793,256,284,295
(null),14371,3667,610,222
Microsoft Edge,2341,171,190,175
Firefox,2675,226,176,173
Chrome Mobile,2512,170,140,153
Opera,589,62,34,38
Facebook,483,46,46,31
Mozilla,1086,74,78,30
Chrome iOS,316,26,41,25
Snapchat,498,48,57,25
Daum,355,27,35,23
WeChat,509,51,50,23
Chrome Webview,365,32,31,22
Microsoft Start,363,36,38,17
Android Browser,243,22,19,16
Chrome Mobile iOS,104,8,12,13
LinkedIn,276,10,10,12
Samsung Internet,159,13,12,10
