week_start,paid_search_spend,paid_social_spend,total_core_spend,visitors_total,sessions_total,direct_subs,paid_search_subs,organic_search_subs,social_subs,referral_subs,email_subs,affiliate_subs,total_subs,enterprise_form_submissions,new_subscribers
2025-09-29,19193.77,75.63,19669.67,66193,78378,21,35,77,9,4,3,0,149,36,97
2025-10-06,20985.23,585.18,22188.73,91864,111144,40,40,103,10,3,4,0,200,45,118
2025-10-13,20334.80,721.97,21842.86,94367,114522,55,35,116,10,5,2,0,224,38,139
2025-10-20,24504.53,853.10,26227.95,99030,119739,54,47,91,9,2,0,0,203,45,128
2025-10-27,26248.19,1008.32,28108.54,105029,126581,42,40,91,6,7,0,0,186,39,113
2025-11-03,29325.19,797.26,30814.38,99161,119104,33,56,83,8,4,0,0,184,52,128
2025-11-10,26548.20,699.08,28028.49,104561,125750,38,46,99,16,2,4,0,205,48,129
2025-11-17,17095.77,1138.88,19090.36,104893,126644,28,30,86,4,5,3,0,158,44,102
2025-11-24,16700.03,988.18,18386.93,121155,136115,20,42,90,7,7,1,0,169,30,110
2025-12-01,23893.94,1317.16,26089.66,116086,132580,25,47,93,13,5,2,0,185,37,108
2025-12-08,22245.27,1217.07,24905.95,147965,166112,35,47,73,7,2,4,0,168,43,101
2025-12-15,19252.53,312.93,20050.88,109107,127941,19,47,86,10,3,0,0,166,25,97
2025-12-22,10281.98,0,10399.91,97767,106078,21,25,56,5,3,2,0,112,22,72
2025-12-29,5020.18,0,5020.18,87040,94973,14,19,43,11,2,2,0,92,17,40
2026-01-05,13171.02,0,13171.02,133625,148772,21,30,59,6,1,2,0,119,34,74
2026-01-12,15752.79,480.50,16485.29,101462,118120,13,32,55,8,2,2,0,112,27,59
2026-01-19,19688.74,650.97,20659.60,88871,104541,17,25,67,8,3,0,0,121,28,68
2026-01-26,18959.68,1069.47,20376.17,101737,117186,21,40,53,1,1,1,0,117,37,65
2026-02-02,18715.30,1217.35,20330.02,126268,142428,21,38,60,6,2,1,0,128,42,76
2026-02-09,17633.84,1245.76,19221.25,99322,115572,21,35,56,2,4,1,0,120,42,77
2026-02-16,16183.21,1520.43,18084.99,93246,108094,17,35,55,10,4,1,0,122,35,71
2026-02-23,19025.50,1595.23,20856.96,95312,111767,20,43,68,8,2,3,0,145,36,83
2026-03-02,16560.15,1799.82,18587.55,111386,127306,20,26,64,4,3,0,0,118,28,79
2026-03-09,14809.15,2208.95,17254.89,99623,115135,14,34,50,4,3,2,0,107,29,59
2026-03-16,16346.32,2537.78,19295.59,235186,249477,20,35,65,4,5,4,0,133,16,84
2026-03-23,21035.61,2571.18,24285.87,125891,141735,23,40,80,3,3,1,0,151,22,92
2026-03-30,23942.65,2408.06,27079.82,108826,124040,32,55,80,6,5,0,0,178,36,102
2026-04-06,27796.85,2362.36,30748.71,108953,122186,26,38,66,4,4,1,0,139,36,91
2026-04-13,21189.88,2586.90,24358.91,179499,193409,15,36,59,3,4,1,0,118,8,60
2026-04-20,10800.19,1636.59,12811.06,93301,103703,14,23,40,0,2,1,0,81,6,44
