WEEK_START,CHANNEL,SUBSCRIBER_CATEGORY,SESSIONS
2025-09-29,Affiliate,existing subscriber,246
2025-09-29,Affiliate,non subscriber,354
2025-09-29,Affiliate,subscribing session,3
2025-09-29,Direct,existing subscriber,838
2025-09-29,Direct,non subscriber,28968
2025-09-29,Direct,subscribing session,21
2025-09-29,Email,existing subscriber,678
2025-09-29,Email,non subscriber,421
2025-09-29,Email,subscribing session,4
2025-09-29,Organic Search,existing subscriber,13443
2025-09-29,Organic Search,non subscriber,20000
2025-09-29,Organic Search,subscribing session,77
2025-09-29,Organic Social,existing subscriber,113
2025-09-29,Organic Social,non subscriber,374
2025-09-29,Paid Content,existing subscriber,17
2025-09-29,Paid Content,non subscriber,429
2025-09-29,Paid Search,existing subscriber,2155
2025-09-29,Paid Search,non subscriber,5683
2025-09-29,Paid Search,subscribing session,35
2025-09-29,Paid Social,existing subscriber,16
2025-09-29,Paid Social,non subscriber,194
2025-09-29,Referral,existing subscriber,1384
2025-09-29,Referral,non subscriber,2917
2025-09-29,Referral,subscribing session,9
2025-10-06,Affiliate,existing subscriber,367
2025-10-06,Affiliate,non subscriber,514
2025-10-06,Affiliate,subscribing session,4
2025-10-06,Direct,existing subscriber,1350
2025-10-06,Direct,non subscriber,32259
2025-10-06,Direct,subscribing session,40
2025-10-06,Email,existing subscriber,1035
2025-10-06,Email,non subscriber,1348
2025-10-06,Email,subscribing session,3
2025-10-06,Organic Search,existing subscriber,21162
2025-10-06,Organic Search,non subscriber,32451
2025-10-06,Organic Search,subscribing session,102
2025-10-06,Organic Social,existing subscriber,110
2025-10-06,Organic Social,non subscriber,672
2025-10-06,Paid Content,existing subscriber,17
2025-10-06,Paid Content,non subscriber,367
2025-10-06,Paid Search,existing subscriber,3222
2025-10-06,Paid Search,non subscriber,7478
2025-10-06,Paid Search,subscribing session,40
2025-10-06,Paid Social,existing subscriber,27
2025-10-06,Paid Social,non subscriber,818
2025-10-06,Referral,existing subscriber,2387
2025-10-06,Referral,non subscriber,5360
2025-10-06,Referral,subscribing session,10
2025-10-13,Affiliate,existing subscriber,368
2025-10-13,Affiliate,non subscriber,544
2025-10-13,Affiliate,subscribing session,2
2025-10-13,Direct,existing subscriber,1459
2025-10-13,Direct,non subscriber,36259
2025-10-13,Direct,subscribing session,55
2025-10-13,Email,existing subscriber,1181
2025-10-13,Email,non subscriber,798
2025-10-13,Email,subscribing session,5
2025-10-13,Organic Search,existing subscriber,21379
2025-10-13,Organic Search,non subscriber,31413
2025-10-13,Organic Search,subscribing session,112
2025-10-13,Organic Social,existing subscriber,185
2025-10-13,Organic Social,non subscriber,633
