WEEK_START,CHANNEL,COUNTRY,INSTANT_BOUNCE_SESSIONS
2026-01-19,Direct,CN,4578
2026-01-19,Organic Search,US,3196
2026-01-19,Direct,US,3154
2026-01-19,Direct,DE,2748
2026-01-19,Direct,NL,1331
2026-01-19,Paid Search,US,1323
2026-01-19,Organic Search,IN,855
2026-01-19,Direct,SG,603
2026-01-19,Referral,US,525
2026-01-19,Organic Search,GB,416
2026-01-19,Organic Search,CA,272
2026-01-19,Direct,IN,256
2026-01-19,Direct,GB,223
2026-01-19,Paid Search,CA,206
2026-01-19,Direct,BR,193
2026-01-19,Direct,CA,188
2026-01-19,Paid Social,US,179
2026-01-19,Direct,AU,176
2026-01-19,Organic Search,PH,176
2026-01-19,Organic Search,AU,159
2026-01-19,Affiliate,US,136
2026-01-19,Paid Search,AU,123
2026-01-19,Organic Search,FR,104
2026-01-19,Organic Search,BR,100
2026-01-26,Direct,DE,4874
2026-01-26,Direct,US,4638
2026-01-26,Direct,CN,3452
2026-01-26,Organic Search,US,3008
2026-01-26,Direct,NL,2397
2026-01-26,Paid Search,US,1258
2026-01-26,Direct,SG,1072
2026-01-26,Organic Search,IN,718
2026-01-26,Referral,US,533
2026-01-26,Organic Search,GB,373
2026-01-26,Organic Search,CA,239
2026-01-26,Direct,IN,212
2026-01-26,Paid Social,US,171
2026-01-26,Direct,GB,171
2026-01-26,Direct,CA,164
2026-01-26,Paid Search,CA,163
2026-01-26,Organic Search,AU,161
2026-01-26,Paid Search,AU,142
2026-01-26,Direct,AU,136
2026-01-26,Direct,BR,135
2026-01-26,Organic Search,PH,135
2026-01-26,Affiliate,US,122
2026-01-26,Organic Search,BR,121
2026-01-26,Organic Search,ID,113
2026-02-02,Direct,US,16927
2026-02-02,Direct,CN,8249
2026-02-02,Direct,DE,3175
2026-02-02,Organic Search,US,2948
2026-02-02,Paid Search,US,1604
2026-02-02,Direct,NL,1572
2026-02-02,Direct,BD,680
2026-02-02,Organic Search,IN,594
2026-02-02,Referral,US,544
2026-02-02,Direct,SG,544
2026-02-02,Organic Search,GB,364
2026-02-02,Email,US,292
2026-02-02,Direct,GB,278
2026-02-02,Direct,IN,257
2026-02-02,Organic Search,CA,243
2026-02-02,Direct,CA,237
2026-02-02,Paid Search,CA,229
2026-02-02,Referral,CN,191
2026-02-02,Organic Search,PH,180
2026-02-02,Direct,AU,173
2026-02-02,Organic Search,AU,164
2026-02-02,Paid Social,US,142
2026-02-02,Paid Search,AU,141
2026-02-02,Organic Search,BR,116
2026-02-02,Affiliate,US,115
2026-02-02,Organic Search,KR,113
2026-02-02,Paid Search,GB,107
2026-02-02,Organic Search,CN,101
2026-02-02,Direct,BR,101
2026-02-09,Direct,CN,8403
2026-02-09,Direct,US,6547
2026-02-09,Direct,DE,5411
2026-02-09,Organic Search,US,3428
2026-02-09,Direct,NL,2649
2026-02-09,Paid Search,US,1789
2026-02-09,Direct,SG,767
2026-02-09,Organic Search,IN,755
2026-02-09,Referral,US,597
2026-02-09,Organic Search,GB,478
2026-02-09,Organic Search,CA,324
2026-02-09,Referral,CN,308
2026-02-09,Direct,GB,280
2026-02-09,Paid Search,CA,273
2026-02-09,Direct,CA,264
2026-02-09,Direct,IN,253
2026-02-09,Organic Search,AU,212
2026-02-09,Organic Search,PH,192
2026-02-09,Paid Social,US,171
2026-02-09,Paid Search,AU,158
2026-02-09,Direct,AU,157
2026-02-09,Organic Search,BR,135
2026-02-09,Organic Search,DE,131
2026-02-09,Direct,BR,124
2026-02-09,Organic Social,US,119
2026-02-09,Direct,BD,117
2026-02-09,Affiliate,US,115
2026-02-09,Email,US,103
2026-02-09,Organic Search,ID,102
2026-02-09,Organic Search,TR,102
2026-02-16,Direct,CN,7407
2026-02-16,Direct,US,6702
2026-02-16,Direct,DE,3214
2026-02-16,Organic Search,US,3107
2026-02-16,Paid Search,US,1632
2026-02-16,Direct,NL,1479
2026-02-16,Direct,SG,734
2026-02-16,Organic Search,IN,688
2026-02-16,Referral,US,593
2026-02-16,Organic Search,GB,330
2026-02-16,Organic Search,CA,319
2026-02-16,Direct,IN,304
2026-02-16,Direct,CA,251
2026-02-16,Direct,GB,232
2026-02-16,Organic Search,AU,211
2026-02-16,Direct,AU,202
2026-02-16,Paid Search,CA,196
2026-02-16,Paid Social,US,190
2026-02-16,Referral,CN,182
2026-02-16,Organic Search,PH,180
2026-02-16,Paid Search,AU,162
2026-02-16,Organic Search,DE,143
2026-02-16,Affiliate,US,129
2026-02-16,Direct,BD,128
2026-02-16,Direct,BR,125
2026-02-16,Organic Search,CN,119
2026-02-16,Organic Search,ID,114
2026-02-16,Organic Social,US,110
2026-02-16,Email,US,107
2026-02-16,Organic Search,TR,106
2026-02-16,Direct,RU,103
2026-02-23,Direct,US,7830
2026-02-23,Direct,CN,6586
2026-02-23,Direct,DE,3671
2026-02-23,Organic Search,US,3291
2026-02-23,Direct,NL,1756
2026-02-23,Paid Search,US,1595
2026-02-23,Email,US,947
2026-02-23,Organic Search,IN,748
2026-02-23,Direct,SG,739
2026-02-23,Referral,US,643
2026-02-23,Organic Search,GB,455
2026-02-23,Direct,CA,293
2026-02-23,Direct,IN,284
2026-02-23,Organic Search,CA,284
2026-02-23,Referral,CN,251
2026-02-23,Direct,GB,246
2026-02-23,Organic Search,AU,245
2026-02-23,Paid Search,CA,230
2026-02-23,Paid Search,AU,192
2026-02-23,Direct,AU,176
2026-02-23,Direct,MX,176
2026-02-23,Organic Search,PH,169
2026-02-23,Organic Search,DE,140
2026-02-23,Affiliate,US,139
2026-02-23,Paid Social,US,139
2026-02-23,Direct,BD,133
2026-02-23,Organic Search,NL,132
2026-02-23,Direct,BR,122
2026-02-23,Organic Social,US,111
2026-02-23,Paid Search,GB,107
2026-03-02,Direct,US,20241
2026-03-02,Direct,CN,8964
2026-03-02,Organic Search,US,3526
2026-03-02,Direct,DE,3339
2026-03-02,Direct,NL,1664
2026-03-02,Paid Search,US,1369
2026-03-02,Direct,SG,790
2026-03-02,Organic Search,IN,701
2026-03-02,Referral,US,613
2026-03-02,Email,US,600
