WEEK_START,CHANNEL,HOST_BUCKET,SESSIONS,VISITORS
2025-09-29,Affiliate,app,60,40
2025-09-29,Affiliate,other,3,2
2025-09-29,Affiliate,www,294,278
2025-09-29,Direct,app,23177,21914
2025-09-29,Direct,other,1749,1062
2025-09-29,Direct,www,4063,3924
2025-09-29,Email,app,150,123
2025-09-29,Email,other,33,8
2025-09-29,Email,www,242,230
2025-09-29,Organic Search,app,6461,4813
2025-09-29,Organic Search,other,452,134
2025-09-29,Organic Search,www,13164,12387
2025-09-29,Organic Social,app,158,99
2025-09-29,Organic Social,www,216,200
2025-09-29,Paid Content,app,2,2
2025-09-29,Paid Content,www,427,414
2025-09-29,Paid Search,app,3696,3297
2025-09-29,Paid Search,other,58,29
2025-09-29,Paid Search,www,1964,1879
2025-09-29,Paid Social,app,19,10
2025-09-29,Paid Social,www,175,166
2025-09-29,Referral,app,1443,1182
2025-09-29,Referral,other,550,148
2025-09-29,Referral,www,933,866
2025-10-06,Affiliate,app,96,63
2025-10-06,Affiliate,other,2,1
2025-10-06,Affiliate,www,420,402
2025-10-06,Direct,app,23011,20563
2025-10-06,Direct,other,2159,1043
2025-10-06,Direct,www,7129,6623
2025-10-06,Email,app,659,581
2025-10-06,Email,other,43,9
2025-10-06,Email,www,649,618
2025-10-06,Organic Search,app,11386,8320
2025-10-06,Organic Search,other,597,151
2025-10-06,Organic Search,www,20570,19323
2025-10-06,Organic Social,app,332,260
2025-10-06,Organic Social,www,340,318
2025-10-06,Paid Content,app,1,1
2025-10-06,Paid Content,www,366,353
2025-10-06,Paid Search,app,4639,3950
2025-10-06,Paid Search,other,106,33
2025-10-06,Paid Search,www,2773,2660
2025-10-06,Paid Social,app,69,61
2025-10-06,Paid Social,www,749,741
2025-10-06,Referral,app,3163,2548
2025-10-06,Referral,other,928,206
2025-10-06,Referral,www,1279,1171
2025-10-13,Affiliate,app,87,51
2025-10-13,Affiliate,other,23,2
2025-10-13,Affiliate,www,436,417
2025-10-13,Direct,app,25842,22580
2025-10-13,Direct,other,2079,919
2025-10-13,Direct,www,8393,7236
2025-10-13,Email,app,538,417
