WINDOW_LABEL,CHANNEL,NC_SESSIONS,SUBBED_SESSIONS,PURCHASED_SESSIONS,TRANSACT_ONLY_SESSIONS,SUB_CVR_BPS,COMBINED_CVR_BPS,TRANSACT_CVR_BPS
A_pre_recency,Affiliate,3712,7,7,0,18.86,18.86,0
C_post_clean,Affiliate,1239,2,2,0,16.14,16.14,0
A_pre_recency,Direct,368477,126,159,34,3.42,4.32,0.92
C_post_clean,Direct,135800,71,78,7,5.23,5.74,0.52
A_pre_recency,Email,3953,17,23,6,43.01,58.18,15.18
C_post_clean,Email,6120,10,13,3,16.34,21.24,4.9
A_pre_recency,Organic Search,145150,397,496,99,27.35,34.17,6.82
C_post_clean,Organic Search,95234,200,241,41,21,25.31,4.31
A_pre_recency,Organic Social,3971,4,5,1,10.07,12.59,2.52
C_post_clean,Organic Social,1585,0,0,0,0,0,0
A_pre_recency,Paid Content,41,0,0,0,0,0,0
C_post_clean,Paid Content,13,0,0,0,0,0,0
A_pre_recency,Paid Search,48210,221,294,73,45.84,60.98,15.14
C_post_clean,Paid Search,22793,117,139,22,51.33,60.98,9.65
A_pre_recency,Paid Social,1985,0,0,0,0,0,0
C_post_clean,Paid Social,1290,0,0,0,0,0,0
A_pre_recency,Referral,21407,35,47,12,16.35,21.96,5.61
C_post_clean,Referral,8960,13,17,4,14.51,18.97,4.46
