PERIOD,WEEK_START,ACTIVE_LOGGED_IN_USERS,AVG_DIDS_PER_USER,USERS_WITH_MULTIPLE_DIDS,PCT_USERS_WITH_MULTIPLE,MAX_DIDS_IN_WEEK,AVG_SESSIONS_PER_USER
A_pre_clean,2026-01-19,11986,1.001,8,0.07,2,2.55
A_pre_clean,2026-01-26,12219,1.001,12,0.1,2,2.50
A_pre_clean,2026-02-02,12320,1.001,9,0.07,2,2.54
A_pre_clean,2026-02-09,12012,1.001,10,0.08,2,2.56
A_pre_clean,2026-02-16,11602,1.001,6,0.05,2,2.50
A_pre_clean,2026-02-23,12381,1.000,5,0.04,2,2.53
A_pre_clean,2026-03-02,12286,1.001,7,0.06,2,2.56
B_cutover_zone,2026-03-09,11987,1.001,10,0.08,2,2.53
B_cutover_zone,2026-03-16,11844,1.000,4,0.03,2,2.44
C_post_clean,2026-03-23,12447,1.001,11,0.09,2,2.48
C_post_clean,2026-03-30,12755,1.000,3,0.02,2,2.39
C_post_clean,2026-04-06,12527,1.000,4,0.03,2,2.28
C_post_clean,2026-04-13,3401,1.000,0,0,1,1.45
