LIFECYCLESTAGE,CONTACTS,MAX_INGEST_TS,MAX_LASTMOD,INGEST_MINUS_LASTMOD_MIN
lead,1488180,2026-04-14 18:59:40.364000000,2026-04-14 18:59:25.731000,0
customer,184984,2026-04-14 18:59:35.189000000,2026-04-14 18:59:35.117000,0
subscriber,44932,2026-04-14 17:36:05.790000000,2026-04-14 17:35:46.808000,1
258326067,20108,2026-04-14 18:59:34.822000000,2026-04-14 18:59:32.077000,0
258322204,4895,2026-04-14 18:59:15.231000000,2026-04-14 18:59:11.003000,0
salesqualifiedlead,4891,2026-04-14 18:57:59.914000000,2026-04-14 18:57:05.363000,0
262492257,4417,2026-04-14 18:59:19.244000000,2026-04-14 18:59:07.390000,0
,4069,2026-04-14 14:16:46.064000000,2026-04-14 14:16:46.012000,0
opportunity,955,2026-04-14 18:57:47.195000000,2026-04-14 18:57:39.407000,0
marketingqualifiedlead,67,2026-04-14 15:27:52.138000000,2026-04-14 15:27:52.088000,0
