PROPERTY_KEY,POPULATED_ROWS,SAMPLE_N,POPULATED_PCT
hs_all_contact_vids,17600,17522,100.445
with_associated_meeting__respond_to_email,17600,17522,100.445
hs_predictivescoringtier,17600,17522,100.445
hs_social_facebook_clicks,17600,17522,100.445
hs_analytics_num_visits,17600,17522,100.445
hs_analytics_average_page_views,17600,17522,100.445
hs_analytics_revenue,17600,17522,100.445
hs_social_google_plus_clicks,17600,17522,100.445
hs_analytics_source_data_1,17600,17522,100.445
hs_social_num_broadcast_clicks,17600,17522,100.445
hs_latest_source_data_1,17600,17522,100.445
of_sessions,17600,17522,100.445
hs_analytics_first_timestamp,17600,17522,100.445
hs_social_linkedin_clicks,17600,17522,100.445
hs_latest_source_timestamp,17600,17522,100.445
hs_object_id,17600,17522,100.445
with_associated_won_deals_enterprise,17600,17522,100.445
hs_is_unworked,17600,17522,100.445
hs_analytics_num_page_views,17600,17522,100.445
lastmodifieddate,17600,17522,100.445
of_meetings,17600,17522,100.445
number_of_associated_won_deals_enterprise,17600,17522,100.445
num_unique_conversion_events,17600,17522,100.445
hs_social_twitter_clicks,17600,17522,100.445
num_conversion_events,17600,17522,100.445
hs_marketable_status,17600,17522,100.445
hs_marketable_until_renewal,17600,17522,100.445
hs_analytics_source,17600,17522,100.445
hs_latest_source,17600,17522,100.445
hs_analytics_num_event_completions,17600,17522,100.445
with_associated_deal,17600,17522,100.445
number_of_associated_deals_enterprise,17600,17522,100.445
createdate,17600,17522,100.445
hs_registered_member,17599,17522,100.439
today_s_date,17598,17522,100.434
email,17595,17522,100.417
hs_email_domain,17595,17522,100.417
lifecyclestage,17555,17522,100.188
hs_email_sends_since_last_engagement,16968,17522,96.838
hs_email_last_email_name,16968,17522,96.838
firstname,16948,17522,96.724
first_name_length,16948,17522,96.724
hs_v2_date_entered_lead,16542,17522,94.407
cleansed_first_name,16527,17522,94.321
hs_object_source_label,16517,17522,94.264
customer_health_score,16515,17522,94.253
new_member_health_score,16515,17522,94.253
hubspotscore,16515,17522,94.253
ryan___lead_score_value,16515,17522,94.253
lead_score_2_0,16515,17522,94.253
hs_email_last_send_date,16403,17522,93.614
hs_email_delivered,16403,17522,93.614
hs_email_first_send_date,16381,17522,93.488
lead_type,16365,17522,93.397
lastname,16026,17522,91.462
user_type,15862,17522,90.526
hs_predictivecontactscore_v2,15793,17522,90.132
soundstripe_user_id,15668,17522,89.419
created_at,15667,17522,89.413
chargebee_customer_id,15662,17522,89.385
referral_program_ref_link,15649,17522,89.311
referral_program_no_of_referrals,15649,17522,89.311
transactional_purchase_count,15566,17522,88.837
currentlyinworkflow,15436,17522,88.095
hs_persona,15407,17522,87.929
hs_v2_date_entered_current_stage,14627,17522,83.478
hs_v2_time_in_current_stage,14627,17522,83.478
has_free_account,14059,17522,80.236
email_type,13647,17522,77.885
hs_analytics_first_visit_timestamp,12869,17522,73.445
hs_analytics_last_visit_timestamp,12869,17522,73.445
hs_analytics_last_url,12869,17522,73.445
hs_analytics_last_timestamp,12869,17522,73.445
of_days_since_last_activity,12867,17522,73.433
hs_analytics_first_url,12863,17522,73.411
hs_analytics_last_referrer,12667,17522,72.292
hs_analytics_source_data_2,12419,17522,70.877
hs_latest_source_data_2,11264,17522,64.285
has_free_song_downloads,11166,17522,63.726
hs_analytics_first_referrer,11073,17522,63.195
total_free_songs_download_count,10454,17522,59.662
current_month_free_songs_download_count,10454,17522,59.662
total_team_members,9636,17522,54.994
total_youtube_channels,9636,17522,54.994
is_team_member,9636,17522,54.994
is_account_owner,9636,17522,54.994
total_licenses,9636,17522,54.994
has_active_trial_api_key,9274,17522,52.928
became_abandon_cart_lead,9114,17522,52.015
hs_email_last_open_date,7113,17522,40.595
hs_email_open,7113,17522,40.595
hs_email_first_open_date,7097,17522,40.503
total_subscription_song_licenses,6991,17522,39.898
total_single_use_song_license_count,6943,17522,39.624
single_use_personal_song_license_count,6943,17522,39.624
single_use_expanded_song_license_count,6943,17522,39.624
single_use_digital_song_license_count,6943,17522,39.624
single_use_digital_sound_effect_license_count,6903,17522,39.396
single_use_expanded_sound_effect_license_count,6903,17522,39.396
single_use_personal_sound_effect_license_count,6903,17522,39.396
total_single_use_sound_effect_license_count,6903,17522,39.396
total_lifetime_licenses,6903,17522,39.396
subscription_video_license_count,6349,17522,36.234
subscription_sound_effect_license_count,6349,17522,36.234
subscription_song_license_count,6349,17522,36.234
hs_updated_by_user_id,6183,17522,35.287
hs_object_source_detail_1,6096,17522,34.791
marketing_contact_removal_reason,6008,17522,34.288
hs_currently_enrolled_in_prospecting_agent,5649,17522,32.239
hs_membership_has_accessed_private_content,5567,17522,31.771
country,5054,17522,28.844
associatedcompanyid,4319,17522,24.649
profiler_user_type,3888,17522,22.189
hs_timezone,3812,17522,21.756
hs_ip_timezone,3805,17522,21.716
ip_country,3805,17522,21.716
ip_country_code,3805,17522,21.716
profiler_business_type,3803,17522,21.704
profiler_distribution_type,3744,17522,21.367
hs_google_click_id,3693,17522,21.076
utm_source,3622,17522,20.671
num_notes,3494,17522,19.941
utm_medium,3488,17522,19.906
utm_campaign,3412,17522,19.473
ip_state,3301,17522,18.839
ip_state_code,3286,17522,18.754
company__number_of_employees,3242,17522,18.502
hs_legal_basis,3212,17522,18.331
annual_revenue__from_company_,3031,17522,17.298
ip_city,2866,17522,16.357
utm_keyword,2797,17522,15.963
utm_content,2454,17522,14.005
profiler_content_type,2451,17522,13.988
single_use_all_media_song_license_count,2331,17522,13.303
hs_marketable_reason_type,2079,17522,11.865
hs_marketable_reason_id,1995,17522,11.386
first_favorite_date,1987,17522,11.340
first_song_download_date,1949,17522,11.123
hs_time_between_contact_creation_and_deal_close,1931,17522,11.020
hs_v2_date_entered_customer,1931,17522,11.020
subscription_status,1927,17522,10.998
subscription_type,1926,17522,10.992
chargebee_subscription_status,1924,17522,10.980
became_active_subscriber_date,1923,17522,10.975
subscription_history2,1922,17522,10.969
first_sub_date,1891,17522,10.792
total_licenses_since_renewal,1865,17522,10.644
last_license_date,1857,17522,10.598
closedate,1807,17522,10.313
hs_email_optout_2302917329,1781,17522,10.164
hs_email_optout_2158810893,1781,17522,10.164
hs_email_optout,1779,17522,10.153
subscription_history,1761,17522,10.050
hs_v2_cumulative_time_in_lead,1636,17522,9.337
hs_v2_date_exited_lead,1634,17522,9.325
hs_v2_latest_time_in_lead,1634,17522,9.325
redeemed_2020_holiday_coupon,1601,17522,9.137
customer_churn_date,1584,17522,9.040
hs_prospecting_agent_total_enrolled_count,1572,17522,8.972
first_conversion_event_name,1470,17522,8.389
recent_conversion_event_name,1470,17522,8.389
recent_conversion_date,1470,17522,8.389
first_conversion_date,1470,17522,8.389
hs_time_to_move_from_lead_to_customer,1402,17522,8.001
status_changed_date,1311,17522,7.482
hs_email_bounce,1268,17522,7.237
hs_email_click,1257,17522,7.174
hs_email_last_click_date,1257,17522,7.174
hs_email_first_click_date,1254,17522,7.157
company_size,1244,17522,7.100
cart_items_count,1241,17522,7.083
hs_email_hard_bounce_reason_enum,1193,17522,6.809
hs_v2_date_entered_subscriber,1145,17522,6.535
cancellation_reason,1115,17522,6.363
cancellation_reason_category,1115,17522,6.363
content_creation_frequency,1052,17522,6.004
installed_extensions,970,17522,5.536
of_marketing_email_sent_today,913,17522,5.211
num_contacted_notes,899,17522,5.131
installed_twitch_extension_date,893,17522,5.096
cancellation_date,881,17522,5.028
days_between_signing_up_and_cancelling,881,17522,5.028
distribution_channels,869,17522,4.959
days_between_cancellation_and_churn_date,844,17522,4.817
notes_last_updated,839,17522,4.788
audience_reach,831,17522,4.743
business_entity,824,17522,4.703
company,817,17522,4.663
first_playlist_created_date,796,17522,4.543
hs_email_optout_5294966,780,17522,4.452
notes_last_contacted,772,17522,4.406
hs_email_optout_23206365,753,17522,4.297
first_youtube_channel_created_date,728,17522,4.155
first_playlist_item_created_date,690,17522,3.938
hs_email_optout_8109174,676,17522,3.858
first_song_playlist_item_created_date,673,17522,3.841
hs_v2_cumulative_time_in_subscriber,669,17522,3.818
hs_v2_date_exited_subscriber,669,17522,3.818
hs_v2_latest_time_in_subscriber,669,17522,3.818
stripe_customer_id,653,17522,3.727
first_sound_effect_download_date,623,17522,3.556
subscription_type__core_type_,621,17522,3.544
cart_last_activity_at,609,17522,3.476
billing_zipcode,606,17522,3.459
downloaded_artist_ids,598,17522,3.413
hs_email_optout_4638025,588,17522,3.356
jobtitle,586,17522,3.344
hs_email_optout_7651089,578,17522,3.299
clay__enrichment_reason_source,577,17522,3.293
hubspot_owner_id,575,17522,3.282
hubspot_owner_assigneddate,575,17522,3.282
clay__enrichment_date,571,17522,3.259
persona_email_giveaway,559,17522,3.190
org_size,522,17522,2.979
hs_sales_email_last_replied,514,17522,2.933
became_free_song_giveaway_lead,478,17522,2.728
clay__email_validation,472,17522,2.694
hs_sequences_is_enrolled,445,17522,2.540
hs_lead_status,425,17522,2.426
revenue_on_first_transaction,412,17522,2.351
hs_last_sales_activity_timestamp,391,17522,2.231
hubspot_team_id,384,17522,2.192
phone,383,17522,2.186
next_renewal_date,379,17522,2.163
billing_city,378,17522,2.157
first_project_created_date,375,17522,2.140
prosperstack__what_is_your_primary_reason_for_leaving_,367,17522,2.095
billing_address,360,17522,2.055
clay__company_linkedin_profile_url,357,17522,2.037
abandon_cart_type,351,17522,2.003
prosperstack__what_gave_you_the_most_value_,349,17522,1.992
hs_latest_sequence_enrolled_date,345,17522,1.969
hs_sequences_enrolled_count,345,17522,1.969
hs_latest_sequence_enrolled,345,17522,1.969
clay__company_linkedin_follower_count,341,17522,1.946
hs_sales_email_last_opened,339,17522,1.935
clay__employee_count,339,17522,1.935
hs_latest_sequence_ended_date,336,17522,1.918
clay__industry,335,17522,1.912
sigma__source,333,17522,1.900
sigma__probability_category,330,17522,1.883
clay__linkedin_url,325,17522,1.855
city,318,17522,1.815
clay__company_instagram_profile_url,317,17522,1.809
partner_program_referral_,313,17522,1.786
vidora___conversion_probability,303,17522,1.729
vidora___conversion_probability__,303,17522,1.729
vidora___percentile_rank__,303,17522,1.729
vidora___percentile_rank,303,17522,1.729
hs_time_to_move_from_subscriber_to_customer,302,17522,1.724
state,302,17522,1.724
coupon_codes_list,301,17522,1.718
rb2b___visitor_type,295,17522,1.684
hs_analytics_last_touch_converting_campaign,288,17522,1.644
experiment_bucket,284,17522,1.621
clay__company_instagram_follower_count,284,17522,1.621
clay__company_revenue,282,17522,1.609
hs_is_enriched,273,17522,1.558
snowflake__lead_score,273,17522,1.558
hs_analytics_first_touch_converting_campaign,270,17522,1.541
clay__job_title,268,17522,1.530
snowflake__update_at,265,17522,1.512
became_a_ntr_lead_status,237,17522,1.353
graduation_date,226,17522,1.290
hs_created_by_user_id,226,17522,1.290
mql_source,224,17522,1.278
hs_v2_date_entered_258326067,224,17522,1.278
hs_feedback_last_nps_rating,221,17522,1.261
hs_sa_first_engagement_descr,221,17522,1.261
hs_feedback_last_nps_rating_number,221,17522,1.261
hs_sa_first_engagement_date,221,17522,1.261
hs_first_engagement_object_id,221,17522,1.261
hs_feedback_last_survey_date,221,17522,1.261
hs_sa_first_engagement_object_type,221,17522,1.261
hs_time_to_first_engagement,221,17522,1.261
coupon_code,213,17522,1.216
billing_country,204,17522,1.164
hs_email_type,191,17522,1.090
became_a_sal_lead_status,186,17522,1.062
last_lead_status_change_date,177,17522,1.010
sst_look_alike,172,17522,0.982
password_updated_at,170,17522,0.970
website,165,17522,0.942
has_team_addon,163,17522,0.930
hs_v2_cumulative_time_in_customer,161,17522,0.919
hs_v2_latest_time_in_customer,160,17522,0.913
hs_v2_date_exited_customer,160,17522,0.913
followed_artist_ids,157,17522,0.896
last_free_song_download_date,146,17522,0.833
are_you_using_any_other_platform_for_your_music_needs_,144,17522,0.822
became_try_button_lead,143,17522,0.816
clay__phone_number,137,17522,0.782
hs_linkedin_url,136,17522,0.776
test___non_renewing_upsell_for_enterprise,135,17522,0.770
cb_autocollection,131,17522,0.748
cb_preferredcurrencycode,131,17522,0.748
cb_customermrr,131,17522,0.748
cb_nettermdays,131,17522,0.748
cb_taxexemptstatus,131,17522,0.748
chargebee_customer_site,131,17522,0.748
cb_invoiceamountpaid,131,17522,0.748
chargebeecustomerid,131,17522,0.748
cb_custcst_updated_at,131,17522,0.748
enterprise_customer_status,129,17522,0.736
hs_facebook_click_id,125,17522,0.713
first_trx_date,125,17522,0.713
last_plan_changed_event,120,17522,0.685
last_plan_changed_event_date,120,17522,0.685
billing_state,118,17522,0.673
source,108,17522,0.616
campaign,108,17522,0.616
medium,108,17522,0.616
content,108,17522,0.616
are_you_interested_in_royalty_free_copyright_safe_music_sound_effects_or_stock_video,108,17522,0.616
storyboard_template_download_date,103,17522,0.588
became_a_pql_lead_status,101,17522,0.576
clay__phone_number_,97,17522,0.554
cancellation_reason_comments,96,17522,0.548
industry,95,17522,0.542
hs_seniority,94,17522,0.536
hs_sub_role,94,17522,0.536
hs_role,94,17522,0.536
hs_sales_email_last_clicked,93,17522,0.531
hs_country_region_code,92,17522,0.525
dtc_campaign,90,17522,0.514
prosperstack__why_are_you_unsatisfied_with_soundstripe_s_content_,89,17522,0.508
rb2b_captured_url,89,17522,0.508
rb2b_captured_at,88,17522,0.502
hs_state_code,88,17522,0.502
became_a_mql_lead_status,88,17522,0.502
prosperstack__how_can_we_make_your_experience_better_,88,17522,0.502
zip,87,17522,0.497
prosperstack__which_concerns_do_you_have_about_the_value__cost__or_billing_experience_,87,17522,0.497
prosperstack__if_budget_was_not_an_issue__how_can_we_make_your_experience_better_,86,17522,0.491
num_associated_deals,83,17522,0.474
first_deal_created_date,83,17522,0.474
first_video_download_date,83,17522,0.474
hs_time_between_contact_creation_and_deal_creation,83,17522,0.474
downloaded_youtube_creator_pack_date,82,17522,0.468
rb2b_source,81,17522,0.462
holiday_creator_pack_download_date,80,17522,0.457
hs_v2_date_entered_salesqualifiedlead,80,17522,0.457
email_engagement_score,77,17522,0.439
engagement_score_12_17_2024_threshold,77,17522,0.439
additional_notes,75,17522,0.428
review_for_enterprise_upgrade,72,17522,0.411
address,71,17522,0.405
last_transactional_purchase_date,70,17522,0.399
associated_with_an_open_deal_,66,17522,0.377
became_a_unql_lead_status,66,17522,0.377
unqualified_reason,63,17522,0.360
engagements_last_meeting_booked,62,17522,0.354
hs_feedback_last_nps_follow_up,62,17522,0.354
became_a_sql_lead_status,62,17522,0.354
became_a_ent_cus_lead_status,61,17522,0.348
filmmaker_pack_download_date,60,17522,0.342
clay__company_descriptions,59,17522,0.337
hs_v2_date_entered_262492257,58,17522,0.331
partner_program_application_status,56,17522,0.320
mobilephone,54,17522,0.308
pql_sequence_enrolled,54,17522,0.308
time_to_pql_sequence_enrollment,54,17522,0.308
date_enrolled_in_pql_sequence,54,17522,0.308
hs_v2_date_entered_opportunity,53,17522,0.302
hs_feedback_last_csat_survey_date,50,17522,0.285
sales_unique_meeting_link,50,17522,0.285
hs_feedback_last_csat_survey_rating,50,17522,0.285
hs_v2_date_exited_opportunity,48,17522,0.274
hs_prospecting_agent_last_enrolled,48,17522,0.274
joined_the_partner_program_date,48,17522,0.274
hs_v2_latest_time_in_opportunity,48,17522,0.274
hs_v2_cumulative_time_in_opportunity,48,17522,0.274
hs_additional_emails,45,17522,0.257
termination_reason,45,17522,0.257
prosperstack__cancellation_reason,42,17522,0.240
custom_sync_contact,42,17522,0.240
hs_email_bad_address,40,17522,0.228
