LIFECYCLESTAGE,CONTACTS,WITH_SCORE,PCT_WITH_SCORE,MEAN_SCORE,P25,P50,P75,P90
lead,1488180,1488175,100.000,1.4338414897153184,0.5876881092146009,1.0846410557113426,2.2600000000000007,2.7399999999999993
customer,184984,13232,7.153,2.5109530806387834,2.2699999999999996,2.61,2.88,2.96
subscriber,44932,44932,100.000,0.6923106026885071,0.31000000000000005,0.4997110091743119,0.87,1.311866737499599
258326067,20108,12028,59.817,1.520455135861735,0.7645454545454546,1.145833333333333,2.308690909090909,2.8100000000000005
258322204,4895,3554,72.605,2.4182209534132815,2.16,2.47,2.75,2.95
salesqualifiedlead,4891,4891,100.000,3.1080757478071024,2.63925,2.83,2.98,4.89
262492257,4417,0,0.000,,,,,
,4069,4069,100.000,1.1313295650036865,0.526,0.95,1.7000000000000002,2.07
opportunity,955,950,99.476,3.6412873630680895,1.43,2.5,2.98,8.951
marketingqualifiedlead,67,67,100.000,3.658656716417911,3.66,3.66,3.66,3.98
