PROPERTY_KEY,POPULATED_ROWS,EARLIEST_DATE,LATEST_DATE
became_abandon_cart_lead,45660,2019-10-30 00:00:00.000000,2024-06-25 00:00:00.000000
became_active_subscriber_date,9867,2016-02-07 00:00:00.000000,2026-04-13 00:00:00.000000
became_free_song_giveaway_lead,2360,2019-10-30 00:00:00.000000,2022-03-11 00:00:00.000000
became_a_ntr_lead_status,1067,2022-09-21 00:00:00.000000,2026-04-10 00:00:00.000000
became_a_sal_lead_status,927,2022-09-23 00:00:00.000000,2026-04-14 00:00:00.000000
became_try_button_lead,738,2019-10-31 00:00:00.000000,2021-01-19 00:00:00.000000
became_a_pql_lead_status,564,2025-04-07 00:00:00.000000,2026-04-14 00:00:00.000000
became_a_mql_lead_status,401,2022-09-21 00:00:00.000000,2026-04-13 00:00:00.000000
became_a_unql_lead_status,350,2022-09-21 00:00:00.000000,2026-04-13 00:00:00.000000
became_a_sql_lead_status,247,2022-10-18 00:00:00.000000,2026-04-13 00:00:00.000000
became_a_ent_cus_lead_status,230,2023-09-26 00:00:00.000000,2026-04-09 00:00:00.000000
became_a_dtc_lead_status,136,2025-04-10 00:00:00.000000,2026-04-01 00:00:00.000000
became_a_new_lead_status,119,2024-02-07 00:00:00.000000,2024-06-10 00:00:00.000000
became_a_exclude_lead_status,4,2023-09-21 00:00:00.000000,2023-09-21 00:00:00.000000
