POLYTOMIC_WRITE_MONTH,LIFECYCLESTAGE,CONTACTS_WRITTEN,MEAN_SCORE_WRITTEN,P50_SCORE_WRITTEN
2025-08-01,258322204,328,0.6589024390243903,0.65
2025-08-01,258326067,315,0.6621587301587301,0.64
2025-08-01,262492257,30,0.6606666666666666,0.625
2025-08-01,customer,4616,0.5739774696707106,0.59
2025-08-01,lead,1698,0.4733510011778563,0.46
2025-08-01,marketingqualifiedlead,1,0.76,0.76
2025-08-01,opportunity,14,0.6607142857142857,0.645
2025-08-01,salesqualifiedlead,379,0.7055408970976252,0.71
2025-09-01,258322204,326,0.6188957055214723,0.59
2025-09-01,258326067,157,0.6618471337579618,0.69
2025-09-01,262492257,8,0.6875,0.715
2025-09-01,customer,211,0.5434597156398104,0.53
2025-09-01,lead,1385,0.4187075812274369,0.43
2025-09-01,opportunity,11,0.6409090909090909,0.72
2025-09-01,salesqualifiedlead,313,0.6613738019169328,0.68
2025-10-01,258322204,426,0.6256807511737089,0.63
2025-10-01,258326067,829,0.6643184559710494,0.68
2025-10-01,262492257,1510,0.6410264900662251,0.68
2025-10-01,customer,1216,0.6441282894736841,0.67
2025-10-01,lead,1508,0.4135145888594164,0.43
2025-10-01,opportunity,12,0.6416666666666666,0.675
2025-10-01,salesqualifiedlead,409,0.6646943765281174,0.67
2025-10-01,subscriber,53,0.7073584905660376,0.74
2025-11-01,258322204,214,0.6168691588785048,0.6
2025-11-01,258326067,154,0.6753896103896104,0.66
2025-11-01,262492257,12,0.6225,0.615
2025-11-01,customer,164,0.47939024390243895,0.44
2025-11-01,lead,1451,0.4515713301171606,0.44
2025-11-01,opportunity,10,0.6130000000000001,0.595
2025-11-01,salesqualifiedlead,297,0.6551178451178452,0.65
2025-11-01,,3,0.8566666666666666,0.84
2025-12-01,258322204,109,0.593302752293578,0.59
2025-12-01,258326067,94,0.6751063829787234,0.68
2025-12-01,262492257,6,0.685,0.7
2025-12-01,customer,137,0.4974452554744526,0.46
2025-12-01,lead,1043,0.41837967401725795,0.43
2025-12-01,opportunity,8,0.6187499999999999,0.645
2025-12-01,salesqualifiedlead,290,0.6648965517241379,0.67
2026-01-01,258322204,92,0.6622826086956521,0.61
2026-01-01,258326067,108,0.7289814814814813,0.72
2026-01-01,262492257,11,0.6399999999999999,0.6
2026-01-01,customer,93,0.5005376344086021,0.45
2026-01-01,lead,1543,0.5805897602073882,0.52
2026-01-01,opportunity,12,0.6525,0.6599999999999999
2026-01-01,salesqualifiedlead,248,0.6665322580645162,0.67
2026-02-01,258322204,125,0.6287999999999999,0.62
2026-02-01,258326067,136,0.7000000000000001,0.69
2026-02-01,262492257,7,0.75,0.75
2026-02-01,customer,101,0.627029702970297,0.62
2026-02-01,lead,335,0.5423283582089552,0.51
2026-02-01,opportunity,18,0.6744444444444444,0.65
2026-02-01,salesqualifiedlead,691,0.6842547033285094,0.68
2026-03-01,258322204,166,0.6367469879518073,0.65
2026-03-01,258326067,142,0.7078169014084507,0.71
2026-03-01,262492257,10,0.7230000000000001,0.7949999999999999
2026-03-01,customer,129,0.6469767441860466,0.66
2026-03-01,lead,384,0.5727343750000001,0.54
2026-03-01,marketingqualifiedlead,1,0.45,0.45
2026-03-01,opportunity,41,0.7114634146341464,0.75
2026-03-01,salesqualifiedlead,819,0.698901098901099,0.71
2026-04-01,258322204,53,0.5303773584905661,0.46
2026-04-01,258326067,23,0.7169565217391304,0.74
2026-04-01,262492257,3,0.7333333333333333,0.7
2026-04-01,customer,54,0.6470370370370371,0.67
2026-04-01,lead,323,0.6547058823529412,0.68
2026-04-01,marketingqualifiedlead,22,0.46545454545454557,0.45
2026-04-01,opportunity,48,0.691875,0.74
2026-04-01,salesqualifiedlead,354,0.7043785310734463,0.715
