primary_genre,song_count,pct_of_catalog
Electronic,1209,0.1068
Hip Hop,1118,0.0988
Soundtrack / Cinematic,815,0.0720
Acoustic,810,0.0716
Rock,775,0.0685
Indie,641,0.0566
Pop,600,0.0530
Corporate / Jingle,553,0.0489
EDM,514,0.0454
Ambient,458,0.0405
Classical,416,0.0367
R&B,321,0.0284
Underscore,292,0.0258
Cinematic,292,0.0258
World,290,0.0256
Score,240,0.0212
Jazz,237,0.0209
Lo-Fi,206,0.0182
Country,193,0.0170
Funk,149,0.0132
Modern Orchestral,125,0.0110
Orchestral,121,0.0107
Corporate,112,0.0099
Ballad,91,0.0080
Latin,79,0.0070
Synthwave,75,0.0066
Rap,66,0.0058
Experimental,61,0.0054
Folk,44,0.0039
Blues,42,0.0037
Southern Rock,41,0.0036
Holiday,36,0.0032
Dub Step,33,0.0029
Metal,32,0.0028
Soundscape,32,0.0028
Gospel,22,0.0019
East Asian,20,0.0018
8-Bit,17,0.0015
Classic Rock,16,0.0014
Middle East,15,0.0013
Drum & Bass,14,0.0012
Tribal,12,0.0011
Reggae,11,0.0010
Celtic,11,0.0010
Punk,10,0.0009
Traditional Country,9,0.0008
Big Band,8,0.0007
Bollywood,8,0.0007
Western,8,0.0007
Surf Rock,6,0.0005
African,5,0.0004
Bluegrass,5,0.0004
Caribbean,3,0.0003
New Orleans / Dixieland,1,0.0001
TOTAL,11320,1.0000
