COLUMN_NAME,DATA_TYPE
ACT,TEXT
ADDITIONAL_NOTES,TEXT
ADDON_ID,TEXT
ADD_ON_ID,TEXT
AGENT_RESPONSE_SUGGESTIONS,TEXT
AGENT_TEXT_RESPONSE,TEXT
AMOUNT_PAID_WITHOUT_TAX,TEXT
API_KEY_ID,TEXT
API_KEY_OWNER_ID,TEXT
API_KEY_PERMISSIONS,TEXT
API_KEY_STATUS,TEXT
API_KEY_TYPE,TEXT
API_KEY_UUID,TEXT
API_REQUEST_ENDPOINT,TEXT
API_REQUEST_ERROR,TEXT
API_REQUEST_ERROR_MESSAGE,TEXT
API_REQUEST_ERROR_STATUS_CODE,TEXT
API_REQUEST_MEDIA_TYPE,TEXT
APP_BANNER_VISIBLE,TEXT
APP_TOKEN,TEXT
ARTIST,TEXT
ARTISTS,TEXT
ARTIST_ID,TEXT
ARTIST_NAME,TEXT
AUDIO_FILE_IDS,TEXT
BANNER_ENVIRONMENT,TEXT
BANNER_PLAN_TYPE,TEXT
BANNER_TITLE,TEXT
BANNER_TYPE,TEXT
BATCH_START_TIME,TEXT
BPM_MAX,TEXT
BPM_MIN,TEXT
BROADCAST,TEXT
BUTTON_URL,TEXT
CAN_DOWNLOAD,TEXT
CATEGORY,TEXT
CHANNEL_ID,TEXT
CHECKED,TEXT
CLIENT_EVENT_TIMESTAMP,TEXT
COLLECTION_TYPE,TEXT
COMPANY_NAME,TEXT
COMPANY_SIZE,TEXT
CONTENT_ID_CODE,TEXT
CONTENT_PARTNER,TEXT
CONTENT_PARTNERS,TEXT
CONTENT_PARTNER_SLUG,TEXT
CONTENT_TYPE,TEXT
CONTEXT,TEXT
CONVERT_CURRENT_EXPERIENCES,TEXT
CONVERT_HISTORICAL_EXPERIENCES,TEXT
CONVERT___100038332,TEXT
CONVERT___100042896,TEXT
CONVERT___100043355,TEXT
CONVERT___100043934,TEXT
CONVERT___100044134,TEXT
CONVERT___100044151,TEXT
CONVERT___100044221,TEXT
CONVERT___100044280,TEXT
CONVERT___100044728,TEXT
CONVERT___100044745,TEXT
CONVERT___TEST__100026290,TEXT
CONVERT___TEST__100026390,TEXT
CONVERT___TEST__100026391,TEXT
CONVERT___TEST__100026392,TEXT
CONVERT___TEST__100026530,TEXT
CONVERT___TEST__100026552,TEXT
CONVERT___TEST__100026965,TEXT
CONVERT___TEST__100027563,TEXT
CONVERT___TEST__100028136,TEXT
CONVERT___TEST__100028299,TEXT
CONVERT___TEST__100028642,TEXT
CONVERT___TEST__100030414,TEXT
CONVERT___TEST__100030415,TEXT
CONVERT___TEST__100030692,TEXT
CONVERT___TEST__100031058,TEXT
CONVERT___TEST__100031104,TEXT
CONVERT___TEST__100032254,TEXT
CONVERT___TEST__100032782,TEXT
CONVERT___TEST__100032953,TEXT
CONVERT___TEST__100033200,TEXT
CONVERT___TEST__100033653,TEXT
CONVERT___TEST__100036275,TEXT
CONVERT___TEST__100036453,TEXT
CONVERT___TEST__100036456,TEXT
CONVERT___TEST__100036699,TEXT
CONVERT___TEST__100036981,TEXT
CONVERT___TEST__100037185,TEXT
CONVERT___TEST__100037453,TEXT
CONVERT___TEST__100037493,TEXT
CONVERT___TEST__100038332,TEXT
CONVERT___TEST__100041909,TEXT
CONVERT___TEST__100042896,TEXT
CONVERT___TEST__100043285,TEXT
CONVERT___TEST__100043355,TEXT
CONVERT___TEST__100043934,TEXT
CONVERT___TEST__100044151,TEXT
CONVERT___TEST__100044221,TEXT
COUPON_CODE,TEXT
COUPON_ID,TEXT
COVERAGE,TEXT
CTA_ID,TEXT
CTA_NAME,TEXT
CURRENT_ACCOUNT_ID,TEXT
CURRENT_ADDONS,TEXT
CURRENT_CONVERT_EXPERIMENT,TEXT
CURRENT_DOMAIN,TEXT
CURRENT_PAGE_TITLE,TEXT
CURRENT_PLAN_ID,TEXT
CURRENT_PLAN_NAME,TEXT
CURRENT_SUBSCRIPTION_ID,TEXT
CURRENT_SUBSCRIPTION_STATUS,TEXT
