WINDOW_LABEL,EVENT,SOURCE_PATH,CONTEXT,LINK_TEXT,EVENT_COUNT,DISTINCT_USERS
1_pre,Clicked Element,pricing,Persona Pricing Page,(null),113422,8644
1_pre,Clicked Element,join,Persona Pricing Page,(null),1321,122
1_pre,Clicked Element,royalty-free-music,Audio Player CTA,(null),441,109
1_pre,Clicked Pricing Link,"",Footer,Pricing,439,93
1_pre,Clicked Element,checkout,Persona Pricing Page,(null),205,33
1_pre,Clicked Pricing Link,help,Header,Pricing,136,31
1_pre,Clicked Pricing Link,pricing,Footer,Pricing,131,31
1_pre,Clicked Element,royalty-free-music,Persona Pricing Page,(null),91,21
1_pre,Clicked Element,pricing,Audio Player CTA,(null),82,22
1_pre,Clicked Element,"",Persona Pricing Page,(null),73,20
1_pre,Clicked Element,"",Audio Player CTA,(null),62,15
1_pre,Clicked Element,sound-effects,Persona Pricing Page,(null),54,12
1_pre,Clicked Pricing Link,podcast-music,Header,Pricing,44,10
1_pre,Clicked Pricing Link,youtube,Header,Pricing,36,7
1_pre,Clicked Pricing Link,adobe-premiere-pro,Header,Pricing,33,5
1_pre,Clicked Pricing Link,artists,Header,Pricing,32,7
1_pre,Clicked Element,my_media/favorites/music,Audio Player CTA,(null),26,6
1_pre,Clicked Pricing Link,partners,Header,Pricing,22,5
1_pre,Clicked Pricing Link,twitch-extension,Header,Pricing,21,5
1_pre,Clicked Pricing Link,coupons,Header,Pricing,21,6
1_pre,Clicked Element,royalty-free-music/mood/fun,Audio Player CTA,(null),20,5
1_pre,Clicked Pricing Link,podcasts,Header,Pricing,18,3
1_pre,Clicked Pricing Link,why-soundstripe,Header,Pricing,17,4
1_pre,Clicked Pricing Link,music-for-creators,Footer,Pricing,15,2
1_pre,Clicked Pricing Link,adobe-premiere-pro,Footer,Pricing,13,2
1_pre,Clicked Pricing Link,podcast-music,Footer,Pricing,13,2
1_pre,Clicked Element,account/billing,Audio Player CTA,(null),13,3
1_pre,Clicked Element,checkout,Audio Player CTA,(null),13,3
1_pre,Clicked Element,license_checkout,Audio Player CTA,(null),12,4
