ISO_WEEK_START,PLAN_BUCKET,USERS,TOTAL_USERS,SHARE_OF_WEEK
2026-01-05 00:00:00.000000000 +00:00,1_anon,2558,3539,0.7228030517095224
2026-01-05 00:00:00.000000000 +00:00,2_free,880,3539,0.2486578129415089
2026-01-05 00:00:00.000000000 +00:00,3_paid,101,3539,0.028539135348968635
2026-01-12 00:00:00.000000000 +00:00,1_anon,2789,3672,0.7595315904139434
2026-01-12 00:00:00.000000000 +00:00,2_free,783,3672,0.21323529411764705
2026-01-12 00:00:00.000000000 +00:00,3_paid,100,3672,0.027233115468409588
2026-01-19 00:00:00.000000000 +00:00,1_anon,2651,3617,0.7329278407520045
2026-01-19 00:00:00.000000000 +00:00,2_free,879,3617,0.24301907658280342
2026-01-19 00:00:00.000000000 +00:00,3_paid,87,3617,0.024053082665192148
2026-01-26 00:00:00.000000000 +00:00,1_anon,2460,3420,0.7192982456140351
2026-01-26 00:00:00.000000000 +00:00,2_free,861,3420,0.2517543859649123
2026-01-26 00:00:00.000000000 +00:00,3_paid,99,3420,0.02894736842105263
2026-02-02 00:00:00.000000000 +00:00,1_anon,2328,3235,0.719629057187017
2026-02-02 00:00:00.000000000 +00:00,2_free,819,3235,0.2531684698608965
2026-02-02 00:00:00.000000000 +00:00,3_paid,88,3235,0.027202472952086554
2026-02-09 00:00:00.000000000 +00:00,1_anon,2268,3133,0.7239067985955953
2026-02-09 00:00:00.000000000 +00:00,2_free,798,3133,0.25470794765400573
2026-02-09 00:00:00.000000000 +00:00,3_paid,67,3133,0.02138525375039898
2026-02-16 00:00:00.000000000 +00:00,1_anon,2176,3061,0.7108787977785037
2026-02-16 00:00:00.000000000 +00:00,2_free,836,3061,0.2731133616465207
2026-02-16 00:00:00.000000000 +00:00,3_paid,49,3061,0.016007840574975497
2026-02-23 00:00:00.000000000 +00:00,1_anon,2339,3334,0.7015596880623876
2026-02-23 00:00:00.000000000 +00:00,2_free,930,3334,0.27894421115776846
2026-02-23 00:00:00.000000000 +00:00,3_paid,65,3334,0.019496100779844032
2026-03-02 00:00:00.000000000 +00:00,1_anon,2262,3244,0.6972872996300863
2026-03-02 00:00:00.000000000 +00:00,2_free,923,3244,0.2845252774352651
2026-03-02 00:00:00.000000000 +00:00,3_paid,59,3244,0.018187422934648582
2026-03-09 00:00:00.000000000 +00:00,1_anon,2215,3190,0.6943573667711599
2026-03-09 00:00:00.000000000 +00:00,2_free,921,3190,0.28871473354231975
2026-03-09 00:00:00.000000000 +00:00,3_paid,54,3190,0.016927899686520375
2026-03-16 00:00:00.000000000 +00:00,1_anon,1968,3018,0.6520874751491054
2026-03-16 00:00:00.000000000 +00:00,2_free,994,3018,0.32935719019218024
2026-03-16 00:00:00.000000000 +00:00,3_paid,56,3018,0.01855533465871438
2026-03-23 00:00:00.000000000 +00:00,1_anon,2379,3529,0.6741286483423066
2026-03-23 00:00:00.000000000 +00:00,2_free,1102,3529,0.312269764805894
2026-03-23 00:00:00.000000000 +00:00,3_paid,48,3529,0.013601586851799376
2026-03-30 00:00:00.000000000 +00:00,1_anon,2436,3725,0.6539597315436242
2026-03-30 00:00:00.000000000 +00:00,2_free,1224,3725,0.32859060402684565
2026-03-30 00:00:00.000000000 +00:00,3_paid,65,3725,0.0174496644295302
2026-04-06 00:00:00.000000000 +00:00,1_anon,2288,3583,0.6385710298632431
2026-04-06 00:00:00.000000000 +00:00,2_free,1239,3583,0.34579960926597825
2026-04-06 00:00:00.000000000 +00:00,3_paid,56,3583,0.015629360870778677
2026-04-13 00:00:00.000000000 +00:00,1_anon,2089,3301,0.6328385337776431
2026-04-13 00:00:00.000000000 +00:00,2_free,1142,3301,0.34595577097849134
2026-04-13 00:00:00.000000000 +00:00,3_paid,70,3301,0.021205695243865494
