EVENT,EVENT_COUNT,WITH_SCROLL,MIN_SCROLL_PCT,AVG_SCROLL_PCT,MAX_SCROLL_PCT
Clicked Element,285345,0,,,
$mp_web_page_view,91785,0,,,
Viewed Pricing Page,91474,0,,,
Viewed Page,90187,0,,,
$mp_click,79443,0,,,
$mp_session_record,78960,0,,,
$mp_page_leave,21194,21194,0,35.76998207039728,109
Viewed Account Avatar Menu,7035,0,,,
Viewed Enterprise Contact Form,4681,0,,,
Display Element,3783,0,,,
Played Song,3171,0,,,
$mp_dead_click,2972,0,,,
Clicked Contact Sales,2176,0,,,
Clicked Sign Up Button,1425,0,,,
free_account_registration,1224,0,,,
Signed Up,1220,0,,,
Submitted Form,641,0,,,
Viewed Modal,614,0,,,
Clicked Sign Up Link,614,0,,,
Viewed Cart Slideout,537,0,,,
Viewed Live Chat,474,0,,,
$identify,390,0,,,
Viewed Sound Effect Page,342,0,,,
Clicked Notifications Link,332,0,,,
Signed Out,328,0,,,
Viewed Sign Up Form,219,0,,,
Clicked Payment Method,196,0,,,
Viewed Purchase Page,154,0,,,
Viewed Dashboard Page,141,0,,,
Clicked Pricing Link,131,0,,,
$mp_rage_click,126,0,,,
Viewed Banner,123,0,,,
Clicked Download Sound Effect,123,0,,,
Opened Upgrade Modal,115,0,,,
Signed In,105,0,,,
Played Sound Effect,94,0,,,
Searched Songs,70,0,,,
Clicked Download Song,59,0,,,
Favorited Song,55,0,,,
Viewed Sign In Form,44,0,,,
Viewed Music Playlist Page,36,0,,,
Downloaded Song Preview,29,0,,,
Searched Sound Effects,28,0,,,
Viewed Curated Music Playlists Page,25,0,,,
Userpilot Experience (started),23,0,,,
Userpilot Experience (step),23,0,,,
Viewed My Music Download History Page,22,0,,,
Userpilot Experience (dismissed),21,0,,,
Clicked Mobile App Link,20,0,,,
Viewed Song Page,17,0,,,
Viewed Curated Sound Effects Playlists Page,11,0,,,
Unfavorited Song,10,0,,,
Previewed Video,8,0,,,
Downloaded Song,7,0,,,
Clicked Continue Upgrade,5,0,,,
Added Song Project Item,4,0,,,
Created Project,4,0,,,
Executed Agent Search,3,0,,,
Viewed My Sound Effect Download History Page,3,0,,,
Viewed My Music Following Page,2,0,,,
Clicked Pricing Product,2,0,,,
Viewed My Sound Effects Favorites Page,1,0,,,
