PLAN_ID,PLAN_NAME,CLICK_COUNT,DISTINCT_USERS,DISTINCT_SESSIONS
free,Free Account,1776,963,1049
,,1022,685,708
pro-yearly-usd,Pro (Yearly),649,389,428
creator-yearly-usd,Personal (Yearly),231,149,164
pro-monthly-usd,Pro (Monthly),177,116,121
creator-monthly-usd,Personal (Monthly),159,94,101
enterprise-music-sfx-yearly,Enterprise - Music & SFX (Yearly),130,70,84
pro-plus-yearly-usd,Pro Plus (Yearly),81,59,62
creator-quarterly-usd,Personal (Quarterly),22,18,19
pro-quarterly-usd,Pro (Quarterly),21,11,14
enterprise-business-yearly-usd,Enterprise Business (Yearly),14,10,11
enterprise-business-quarterly-usd,Enterprise Business (Quarterly),9,9,9
enterprise-music-video-sfx-yearly,"Enterprise - Music, Video & SFX (Yearly)",8,6,6
pro-plus-monthly-usd,Pro Plus (Monthly),2,2,2
music-monthly-gbp,Music (Monthly) - GBP,1,1,1
