EVENT_DATE,PRICING_SESSIONS,PRICING_DISTINCT_IDS,PRICING_EVENTS
2026-01-01,288,278,2966
2026-01-02,433,403,4610
2026-01-03,423,405,4961
2026-01-04,479,454,5643
2026-01-05,590,537,6693
2026-01-06,669,610,8572
2026-01-07,794,737,7578
2026-01-08,865,835,6743
2026-01-09,658,626,5256
2026-01-10,471,462,3170
2026-01-11,565,546,3863
2026-01-12,785,756,5107
2026-01-13,798,728,5474
2026-01-14,864,797,6538
2026-01-15,862,850,5521
2026-01-16,642,613,4274
2026-01-17,436,424,3262
2026-01-18,483,474,3789
2026-01-19,586,568,4987
2026-01-20,760,709,5594
2026-01-21,756,720,5338
2026-01-22,646,612,4636
2026-01-23,722,674,4990
2026-01-24,568,546,4270
2026-01-25,638,622,4513
2026-01-26,870,837,6188
2026-01-27,829,776,5630
2026-01-28,699,645,5202
2026-01-29,745,710,5810
2026-01-30,663,625,4511
2026-01-31,419,407,3646
2026-02-01,416,401,4795
2026-02-02,644,598,6835
2026-02-03,644,601,6505
2026-02-04,722,674,7500
2026-02-05,618,586,6052
2026-02-06,626,592,4713
2026-02-07,454,442,3326
2026-02-08,523,505,3653
2026-02-09,698,657,4577
2026-02-10,732,681,5518
2026-02-11,710,654,5169
2026-02-12,683,634,5210
2026-02-13,696,656,5004
2026-02-14,411,396,3191
2026-02-15,440,417,3359
2026-02-16,547,516,4372
2026-02-17,603,559,4976
2026-02-18,719,657,5109
2026-02-19,667,622,5095
2026-02-20,591,548,3945
2026-02-21,448,434,3096
2026-02-22,512,494,3474
2026-02-23,752,707,4885
2026-02-24,685,690,5377
2026-02-25,729,662,5541
2026-02-26,702,641,5110
2026-02-27,737,689,4658
2026-02-28,433,413,3144
2026-03-01,479,465,4659
2026-03-02,638,596,6440
2026-03-03,661,610,7048
2026-03-04,655,611,6002
2026-03-05,689,640,6473
2026-03-06,660,615,4293
2026-03-07,465,452,2853
2026-03-08,501,485,3139
2026-03-09,672,693,4319
2026-03-10,711,696,4505
2026-03-11,679,645,4867
2026-03-12,700,662,4912
2026-03-13,613,576,4072
2026-03-14,439,429,2842
2026-03-15,396,391,2481
2026-03-16,386,364,2890
2026-03-17,24,23,49
2026-03-18,4,4,13
2026-03-19,4,4,11
2026-03-20,2,2,8
2026-03-21,1,1,1
2026-03-22,2,2,6
2026-03-23,1,1,4
2026-03-24,1,1,4
2026-03-25,1,1,1
2026-03-26,1,1,3
2026-03-30,2,2,7
2026-04-02,1,1,8
2026-04-03,1,1,4
2026-04-04,1,1,4
2026-04-06,2,2,4
2026-04-07,1,1,1
2026-04-09,1,1,4
2026-04-10,2,2,8
2026-04-12,2,1,8
2026-04-14,1,1,4
2026-04-15,2,1,8
2026-04-17,2,2,5
2026-04-19,1,1,4
