WINDOW_LABEL,HOST,PATH,EVENT_COUNT,DISTINCT_USERS
1_pre,app.soundstripe.com,pricing,22488,15193
1_pre,app.soundstripe.com,join,360,236
1_pre,www.soundstripe.com,pricing,185,133
1_pre,app.soundstripe.com,royalty-free-music,51,32
1_pre,app.soundstripe.com,"",23,9
1_pre,app.soundstripe.com,sound-effects,17,10
1_pre,app.soundstripe.com,checkout,16,10
1_pre,app-soundstripe-com.translate.goog,pricing,10,7
1_pre,app.soundstripe.com,pricing/,10,10
1_pre,app.soundstripe.com,playlists/music,10,7
1_pre,app.soundstripe.com,sign_in,7,7
1_pre,app.soundstripe.com,royalty-free-music/genre/world,7,1
1_pre,app.soundstripe.com,songs/11004,4,1
1_pre,app.soundstripe.com,signup,4,3
1_pre,app.soundstripe.com,sound-effects/69013,3,3
1_pre,app.soundstripe.com,songs/15997,3,1
1_pre,app.soundstripe.com,video,2,2
1_pre,app.soundstripe.com,sound-effects/50785,2,1
1_pre,app.soundstripe.com,songs/19452,2,1
1_pre,app.soundstripe.com,recently_played,2,1
1_pre,www.soundstripe.com,join,2,2
1_pre,app.soundstripe.com,sound-effects/10045,2,1
1_pre,app.soundstripe.com,sound-effects/94035,2,1
1_pre,app.soundstripe.com,royalty-free-music/mood/reflective,2,1
1_pre,app.soundstripe.com,sound-effects/50131,1,1
1_pre,app.soundstripe.com,sound-effects/36737,1,1
1_pre,app.soundstripe.com,sound-effects/33901,1,1
1_pre,app.soundstripe.com,sound-effects/27886,1,1
1_pre,app.soundstripe.com,sound-effects/77891,1,1
1_pre,app.soundstripe.com,sound-effects/72605,1,1
1_pre,app.soundstripe.com,sound-effects/3044,1,1
1_pre,app.soundstripe.com,sound-effects/43811,1,1
1_pre,app.soundstripe.com,sound-effects/40334,1,1
1_pre,app.soundstripe.com,sound-effects/69014,1,1
1_pre,app.soundstripe.com,royalty-free-music/mood/romantic,1,1
1_pre,app.soundstripe.com,sound-effects/42654,1,1
1_pre,app.soundstripe.com,artists/4,1,1
1_pre,app.soundstripe.com,sound-effects/54482,1,1
1_pre,app.soundstripe.com,sound-effects/1564,1,1
1_pre,app.soundstripe.com,sound-effects/7662,1,1
1_pre,app.soundstripe.com,sound-effects/73779,1,1
1_pre,app.soundstripe.com,sound-effects/71288,1,1
1_pre,app.soundstripe.com,sound-effects/14846,1,1
1_pre,app.soundstripe.com,sound-effects/9242,1,1
1_pre,soundstripe.netlify.app,pricing,1,1
1_pre,app.soundstripe.com,my_media/projects,1,1
1_pre,app.soundstripe.com,artists,1,1
1_pre,app.soundstripe.com,sound-effects/69005,1,1
1_pre,app.soundstripe.com,songs/16985,1,1
1_pre,app.soundstripe.com,my_media/following/playlists/music,1,1
1_pre,app.soundstripe.com,sound-effects/38802,1,1
1_pre,app.soundstripe.com,songs/17813,1,1
1_pre,www.soundstripe.com,royalty-free-music,1,1
1_pre,app.soundstripe.com,artists/269,1,1
1_pre,www.soundstripe.com,"",1,1
1_pre,app.soundstripe.com,sound-effects/64617,1,1
1_pre,app.soundstripe.com,sound-effects/90717,1,1
2_rollout,app.soundstripe.com,pricing,7363,5128
2_rollout,www.soundstripe.com,library/pricing,6430,4288
2_rollout,app.soundstripe.com,join,110,74
2_rollout,www.soundstripe.com,library/join,83,61
2_rollout,www.soundstripe.com,library/royalty-free-music,20,16
2_rollout,app.soundstripe.com,pricing/,20,20
2_rollout,app.soundstripe.com,royalty-free-music,19,17
2_rollout,app.soundstripe.com,sound-effects,13,10
2_rollout,app.soundstripe.com,"",12,8
2_rollout,www.soundstripe.com,library/pricing/,12,11
2_rollout,app.soundstripe.com,checkout,10,9
2_rollout,www.soundstripe.com,library,9,7
2_rollout,app.soundstripe.com,library/pricing,7,6
2_rollout,www.soundstripe.com,library/checkout,7,5
2_rollout,app-soundstripe-com.translate.goog,pricing,6,5
2_rollout,www.soundstripe.com,library/sign_in,6,5
2_rollout,soundstripe.com,library/pricing,3,1
2_rollout,app.soundstripe.com,signup,3,3
2_rollout,app.soundstripe.com,sound-effects/78134,2,1
2_rollout,www.soundstripe.com,library/licenses/music,2,1
2_rollout,app.soundstripe.com,artists,2,2
2_rollout,app.soundstripe.com,account/billing,2,2
2_rollout,app.soundstripe.com,sound-effects/38802,2,2
2_rollout,app.soundstripe.com,sign_in,2,2
2_rollout,www.soundstripe.com,library/sound-effects/63568,2,1
2_rollout,www.soundstripe.com,library/sound-effects,2,2
2_rollout,app.soundstripe.com,playlists/video,2,1
2_rollout,app.soundstripe.com,sound-effects/40551,2,1
2_rollout,www.soundstripe.com,library/sound-effects/52310,1,1
2_rollout,www.soundstripe.com,library/playlists/sound-effects,1,1
2_rollout,www.soundstripe.com,library/sound-effects/73218,1,1
2_rollout,app.soundstripe.com,sound-effects/88094,1,1
