EVENT_DATE,HOST,PATH,PAGE_LEAVE_EVENTS,DISTINCT_USERS,WITH_SCROLL
2026-01-01,app.soundstripe.com,pricing,753,160,753
2026-01-02,app.soundstripe.com,pricing,1193,237,1193
2026-01-03,app.soundstripe.com,pricing,1212,265,1212
2026-01-04,app.soundstripe.com,pricing,1610,318,1610
2026-01-05,app.soundstripe.com,pricing,1697,332,1697
2026-01-06,app.soundstripe.com,pricing,2104,389,2104
2026-01-06,app-soundstripe-com.translate.goog,pricing,4,1,4
2026-01-07,app.soundstripe.com,pricing,2028,433,2028
2026-01-08,app.soundstripe.com,pricing,945,111,945
2026-01-09,app.soundstripe.com,pricing,311,77,311
2026-01-10,app.soundstripe.com,pricing,223,53,223
2026-01-10,app-soundstripe-com.translate.goog,pricing,1,1,1
2026-01-11,app.soundstripe.com,pricing,233,60,233
2026-01-12,app.soundstripe.com,pricing,391,81,391
2026-01-12,soundstripe.netlify.app,pricing,5,1,5
2026-01-12,app-soundstripe-com.translate.goog,pricing,3,1,3
2026-01-13,app.soundstripe.com,pricing,406,95,406
2026-01-14,app.soundstripe.com,pricing,315,84,315
2026-01-15,app.soundstripe.com,pricing,895,109,895
2026-01-16,app.soundstripe.com,pricing,356,92,356
2026-01-17,app.soundstripe.com,pricing,249,75,249
2026-01-18,app.soundstripe.com,pricing,317,74,317
2026-01-19,app.soundstripe.com,pricing,354,81,354
2026-01-20,app.soundstripe.com,pricing,465,100,465
2026-01-21,app.soundstripe.com,pricing,339,85,339
2026-01-22,app.soundstripe.com,pricing,311,77,311
2026-01-23,app.soundstripe.com,pricing,331,86,331
2026-01-24,app.soundstripe.com,pricing,309,68,309
2026-01-25,app.soundstripe.com,pricing,291,68,291
2026-01-26,app.soundstripe.com,pricing,441,90,441
2026-01-27,app.soundstripe.com,pricing,473,98,473
2026-01-27,app.soundstripe.com,pricing/,15,1,15
2026-01-28,app.soundstripe.com,pricing,421,95,421
2026-01-29,app.soundstripe.com,pricing,429,99,429
2026-01-30,app.soundstripe.com,pricing,344,73,344
2026-01-30,app.soundstripe.com,pricing/,4,1,4
2026-01-31,app.soundstripe.com,pricing,250,60,250
2026-02-01,app.soundstripe.com,pricing,2544,272,2544
2026-02-01,app-soundstripe-com.translate.goog,pricing,16,1,16
2026-02-02,app.soundstripe.com,pricing,1837,378,1837
2026-02-03,app.soundstripe.com,pricing,1766,397,1766
2026-02-04,app.soundstripe.com,pricing,1760,395,1760
2026-02-04,app-soundstripe-com.translate.goog,pricing,4,1,4
2026-02-05,app.soundstripe.com,pricing,1523,323,1523
2026-02-05,www.soundstripe.com,pricing,11,3,11
2026-02-06,app.soundstripe.com,pricing,261,63,261
2026-02-06,www.soundstripe.com,pricing,36,7,36
2026-02-07,app.soundstripe.com,pricing,178,41,178
2026-02-08,app.soundstripe.com,pricing,177,45,177
2026-02-09,app.soundstripe.com,pricing,358,83,358
2026-02-10,app.soundstripe.com,pricing,280,73,280
2026-02-11,app.soundstripe.com,pricing,397,80,397
2026-02-12,app.soundstripe.com,pricing,303,72,303
2026-02-13,app.soundstripe.com,pricing,302,73,302
2026-02-14,app.soundstripe.com,pricing,172,44,172
2026-02-15,app.soundstripe.com,pricing,240,47,240
2026-02-16,app.soundstripe.com,pricing,260,63,260
2026-02-17,app.soundstripe.com,pricing,274,69,274
2026-02-18,app.soundstripe.com,pricing,309,84,309
2026-02-18,app.soundstripe.com,pricing/,1,1,1
2026-02-19,app.soundstripe.com,pricing,328,70,328
2026-02-20,app.soundstripe.com,pricing,327,80,327
2026-02-21,app.soundstripe.com,pricing,228,49,228
2026-02-22,app.soundstripe.com,pricing,235,52,235
2026-02-23,app.soundstripe.com,pricing,419,92,419
2026-02-24,app.soundstripe.com,pricing,741,81,741
2026-02-25,app.soundstripe.com,pricing,359,78,6
2026-02-26,app.soundstripe.com,pricing,348,97,0
2026-02-27,app.soundstripe.com,pricing,399,95,0
2026-02-28,app.soundstripe.com,pricing,232,53,0
2026-03-01,app.soundstripe.com,pricing,1329,278,0
2026-03-02,app.soundstripe.com,pricing,1886,381,0
2026-03-03,app.soundstripe.com,pricing,2015,375,0
2026-03-04,app.soundstripe.com,pricing,1646,372,0
2026-03-05,app.soundstripe.com,pricing,2113,363,0
2026-03-05,app.soundstripe.com,library/pricing,22,3,0
2026-03-06,app.soundstripe.com,pricing,290,72,0
2026-03-07,app.soundstripe.com,pricing,8,2,0
2026-03-08,app.soundstripe.com,pricing,5,1,0
2026-03-09,app.soundstripe.com,pricing,11,1,0
2026-03-13,www.soundstripe.com,library/pricing,26,4,0
2026-03-14,app.soundstripe.com,pricing,4,1,0
2026-03-17,www.soundstripe.com,library/pricing,10,2,0
2026-03-17,app.soundstripe.com,pricing,5,1,0
2026-03-21,www.soundstripe.com,library/pricing,5,1,0
2026-03-22,www.soundstripe.com,library/pricing,4,1,0
2026-03-23,www.soundstripe.com,library/pricing,1,1,0
2026-03-26,www.soundstripe.com,library/pricing,2,1,0
2026-03-28,www.soundstripe.com,library/pricing,4,1,0
2026-03-29,www.soundstripe.com,library/pricing,4,1,0
2026-04-05,www.soundstripe.com,library/pricing,1,1,0
2026-04-06,www.soundstripe.com,library/pricing,5,1,0
2026-04-06,app.soundstripe.com,pricing,1,1,0
2026-04-10,www.soundstripe.com,library/pricing,5,1,0
2026-04-12,www.soundstripe.com,library/pricing,1,1,0
2026-04-18,www.soundstripe.com,library/pricing,5,1,0
2026-04-20,www.soundstripe.com,library/pricing,1,1,0
