WINDOW_LABEL,PLAN_BUCKET,STEP_ORDER,STEP,N,CUMULATIVE_RATE,STEP_RATE
1_pre,1_anon,1,Pricing Visitors,11346,1,
1_pre,1_anon,2,Entered Persona Flow,6433,0.5669839591045303,0.5669839591045303
1_pre,1_anon,3,Selected Persona,5125,0.4517010400141019,0.7966734027669827
1_pre,1_anon,4,Clicked Plan,1040,0.0916622598272519,0.2029268292682927
1_pre,1_anon,5,Subscribed,82,0.00722721664022563,0.07884615384615384
1_pre,2_free,1,Pricing Visitors,3611,1,
1_pre,2_free,2,Entered Persona Flow,2039,0.5646635281085571,0.5646635281085571
1_pre,2_free,3,Selected Persona,1831,0.5070617557463306,0.8979892103972535
1_pre,2_free,4,Clicked Plan,730,0.2021600664635835,0.3986892408519934
1_pre,2_free,5,Subscribed,390,0.10800332317917474,0.5342465753424658
1_pre,3_paid,1,Pricing Visitors,377,1,
1_pre,3_paid,2,Entered Persona Flow,143,0.3793103448275862,0.3793103448275862
1_pre,3_paid,3,Selected Persona,93,0.246684350132626,0.6503496503496503
1_pre,3_paid,4,Clicked Plan,41,0.10875331564986737,0.44086021505376344
1_pre,3_paid,5,Subscribed,3,0.007957559681697613,0.07317073170731707
4_post_8wk_clean,1_anon,1,Pricing Visitors,11905,1,
4_post_8wk_clean,1_anon,2,Entered Persona Flow,6420,0.5392692146157076,0.5392692146157076
4_post_8wk_clean,1_anon,3,Selected Persona,5020,0.4216715665686686,0.7819314641744548
4_post_8wk_clean,1_anon,4,Clicked Plan,1147,0.09634607307853843,0.22848605577689243
4_post_8wk_clean,1_anon,5,Subscribed,128,0.010751784964300714,0.11159546643417612
4_post_8wk_clean,2_free,1,Pricing Visitors,5868,1,
4_post_8wk_clean,2_free,2,Entered Persona Flow,2768,0.47171097477845947,0.47171097477845947
4_post_8wk_clean,2_free,3,Selected Persona,2466,0.42024539877300615,0.8908959537572254
4_post_8wk_clean,2_free,4,Clicked Plan,882,0.15030674846625766,0.35766423357664234
4_post_8wk_clean,2_free,5,Subscribed,571,0.09730743012951602,0.6473922902494331
4_post_8wk_clean,3_paid,1,Pricing Visitors,273,1,
4_post_8wk_clean,3_paid,2,Entered Persona Flow,116,0.4249084249084249,0.4249084249084249
4_post_8wk_clean,3_paid,3,Selected Persona,81,0.2967032967032967,0.6982758620689655
4_post_8wk_clean,3_paid,4,Clicked Plan,37,0.13553113553113552,0.4567901234567901
4_post_8wk_clean,3_paid,5,Subscribed,15,0.054945054945054944,0.40540540540540543
